session,adx,vol,body_atr,body_frac,lookback,retrace,dev_trades,dev_wr,dev_pf,val_trades,val_wr,val_pf,trades,wr,pf,net,eur_trades,eur_wr,gbp_trades,gbp_wr,gj_trades,gj_wr,valid_sample,target70,score
NY,28,1.0,1.0,0.72,8,0.705,68,32.35294117647059,1.434782608695652,40,37.5,1.8,108,34.25925925925926,1.5633802816901408,40.0,37,32.432432432432435,44,38.63636363636363,27,29.629629629629623,True,False,39.20479302832244
NY,28,1.0,1.0,0.6,16,0.705,75,32.0,1.411764705882353,43,34.88372093023256,1.6071428571428572,118,33.05084745762712,1.481012658227848,38.0,41,31.70731707317073,46,34.78260869565217,31,32.25806451612903,True,False,38.61016949152543
NY,28,1.0,1.0,0.6,8,0.705,85,31.76470588235294,1.396551724137931,48,35.41666666666667,1.6451612903225807,133,33.08270676691729,1.4831460674157304,43.0,45,31.11111111111111,54,35.18518518518518,34,32.35294117647059,True,False,38.3812472357364
NY,32,1.0,0.5,0.72,16,0.705,63,31.746031746031743,1.3953488372093024,46,34.78260869565217,1.6,109,33.02752293577982,1.4794520547945205,35.0,30,30.0,45,35.55555555555556,34,32.35294117647059,True,False,38.35153633318771
PRIMARY,32,1.0,1.0,0.72,16,0.705,107,30.8411214953271,1.337837837837838,60,35.0,1.6153846153846154,167,32.33532934131736,1.4336283185840708,49.0,55,21.818181818181817,65,36.92307692307693,47,38.297872340425535,True,False,37.30818736359058
NY,28,1.0,0.5,0.72,16,0.705,93,30.107526881720432,1.2923076923076924,56,37.5,1.8,149,32.88590604026846,1.47,47.0,45,33.33333333333333,58,34.48275862068966,46,30.434782608695656,True,False,36.68470808977413
PRIMARY,32,1.15,1.0,0.72,16,0.705,83,30.120481927710845,1.293103448275862,46,34.78260869565217,1.6,129,31.782945736434108,1.3977272727272727,35.0,42,19.047619047619047,47,42.5531914893617,40,32.5,True,False,36.47707107499767
NY,20,1.0,0.5,0.8,16,0.886,61,29.508196721311474,1.255813953488372,44,29.545454545454547,1.2580645161290325,105,29.52380952380953,1.2567567567567568,19.0,39,25.64102564102564,40,35.0,26,26.923076923076923,True,False,35.412958626073376
NY,28,1.0,0.8,0.72,16,0.705,80,28.75,1.2105263157894737,47,40.42553191489361,2.0357142857142856,127,33.07086614173229,1.4823529411764709,41.0,40,30.0,51,35.294117647058826,36,33.33333333333333,True,False,35.36417322834645
NY,32,1.0,0.8,0.72,8,0.705,63,28.57142857142857,1.2,44,38.63636363636363,1.8888888888888888,107,32.71028037383177,1.4583333333333333,33.0,29,20.689655172413797,46,36.95652173913043,32,37.5,True,False,35.11348464619493
