symbol,strategy,trades,wr_pct,gross_r,net_r_1bp,pf_net,avg_month,min_month,positive_years
GBPJPY,NY_OPEN60_PRECISION,36,33.3333,12,-4.1778,0.8768,0.31,0,3
EURUSD,FIBORSI8_23_77_HTF32.5,2947,30.7431,677,-4186.6632,0.2821,25.22,14,0
GBPJPY,ICT_PRENY_SWEEP_MSS,59,30.5085,13,-255.8815,0.1560,0.51,0,2
EURUSD,FIBORSI8_20_80,1831,28.8913,285,-2678.0883,0.2705,15.71,7,0
GBPJPY,FIBORSI8_23_77_HTF32.5,2753,28.7686,415,-3238.2947,0.3404,23.53,3,0
GBPUSD,FIBORSI8_20_80,1784,28.0830,220,-2708.9187,0.2717,15.30,8,0
GBPUSD,FIBORSI8_23_77_HTF32.5,2867,26.6829,193,-4356.2894,0.2568,24.58,12,0
GBPUSD,BBMA_REENTRY,1534,26.5971,98,-195.7195,0.8540,13.08,4,1
GBPJPY,TICKVOL_MOMENTUM,2930,26.2457,146,-248.8107,0.8986,25.03,12,1
GBPUSD,TICKVOL_MOMENTUM,3069,26.0020,123,-387.4978,0.8537,26.31,0,2
GBPUSD,BERMULA_ACCURATE_FAST,1522,25.9527,58,-66.7102,0.9453,12.99,4,4
