symbol,strategy,trades,wr_pct,gross_r,end_rm_gross,dd_gross_pct,avg_month,min_month,positive_years,target70
EURUSD,FIBORSI8_23_77_HTF32.5,2947,30.7431,677,335831751828.01,82.20,25.22,14,0,False
EURUSD,FIBORSI8_20_80,1831,28.8913,285,127435.85,86.49,15.71,7,0,False
GBPJPY,FIBORSI8_23_77_HTF32.5,2753,28.7686,415,2447256.73,96.28,23.53,3,0,False
GBPUSD,FIBORSI8_20_80,1784,28.0830,220,6745.34,93.83,15.30,8,0,False
GBPJPY,FIBORSI8_20_80,1771,27.8374,201,2849.72,97.05,15.10,6,0,False
GBPUSD,FIBORSI8_23_77_HTF32.5,2867,26.6829,193,40.63,99.66,24.58,12,0,False
GBPUSD,BBMA_REENTRY,1534,26.5971,98,48.03,94.88,13.08,4,1,False
GBPJPY,TICKVOL_MOMENTUM,2930,26.2457,146,3.45,99.51,25.03,12,1,False
GBPUSD,BERMULA_ACCURATE_FAST,1522,25.9527,58,7.42,98.75,12.99,4,4,False
GBPUSD,EMA_RIBBON_BREAK,813,25.5843,19,14.06,96.48,6.96,0,3,False
GBPJPY,EMA_RIBBON_BREAK,830,25.5422,18,12.62,95.96,7.14,0,6,False
GBPUSD,NAKED_SR_REVERSAL,2545,25.5403,55,0.17,99.98,21.81,7,1,False
GBPJPY,NY_OPEN60_PRECISION,36,33.3333,12,156.22,34.59,0.31,0,3,False
GBPJPY,ICT_PRENY_SWEEP_MSS,59,30.5085,13,151.09,32.11,0.51,0,2,False
EURUSD,PDH_PDL_SWEEP_MSS,88,27.2727,8,107.41,58.19,0.76,0,1,False
GBPUSD,PDH_PDL_SWEEP_MSS,107,26.1682,5,87.04,53.08,0.92,0,3,False
GBPJPY,PDH_PDL_SWEEP_MSS,88,25.0000,0,73.30,50.79,0.75,0,1,False
