month,trades,wins,losses,win_rate_pct,net_r,lock_time
2017-01,8,3,5,37.5,4.0,2017-01-02 08:05:00+00:00
2017-02,26,8,18,30.76923076923077,5.0,2017-02-01 08:00:00+00:00
2017-03,21,7,14,33.333333333333336,6.5,2017-03-01 06:10:00+00:00
2017-04,32,10,22,31.25,6.0,2017-04-03 08:10:00+00:00
2017-05,30,9,21,30.0,4.0,2017-05-01 12:30:00+00:00
2017-06,18,6,12,33.333333333333336,5.0,2017-06-01 06:50:00+00:00
2017-07,140,38,102,27.142857142857142,5.0,2017-07-04 14:55:00+00:00
2017-08,8,5,3,62.5,12.0,2017-08-01 08:30:00+00:00
2017-09,28,9,19,32.142857142857146,6.5,2017-09-01 09:05:00+00:00
2017-10,610,161,449,26.39344262295082,4.5,2017-10-12 06:00:00+00:00
2017-11,42,12,30,28.571428571428573,4.0,2017-11-01 14:25:00+00:00
2017-12,9,4,5,44.44444444444444,5.0,2017-12-01 05:20:00+00:00
2018-01,9,4,5,44.44444444444444,6.0,2018-01-02 02:25:00+00:00
2018-02,83,23,60,27.710843373493976,5.0,2018-02-02 05:55:00+00:00
2018-03,28,9,19,32.142857142857146,6.5,2018-03-01 07:10:00+00:00
2018-04,11,4,7,36.36363636363637,4.0,2018-04-02 00:35:00+00:00
2018-05,168,45,123,26.785714285714285,5.0,2018-05-02 18:20:00+00:00
2018-06,8,4,4,50.0,7.0,2018-06-01 03:20:00+00:00
2018-07,13,5,8,38.46153846153846,5.0,2018-07-02 01:35:00+00:00
2018-08,8,4,4,50.0,7.5,2018-08-01 03:00:00+00:00
2018-09,11,4,7,36.36363636363637,4.5,2018-09-03 01:20:00+00:00
2018-10,26,8,18,30.76923076923077,4.5,2018-10-01 08:05:00+00:00
2018-11,13,5,8,38.46153846153846,6.5,2018-11-01 05:35:00+00:00
2018-12,8,3,5,37.5,4.0,2018-12-03 01:10:00+00:00
2019-01,172,45,127,26.162790697674417,4.0,2019-01-04 10:25:00+00:00
2019-02,125,34,91,27.2,5.5,2019-02-04 20:50:00+00:00
2019-03,8,5,3,62.5,12.0,2019-03-01 01:55:00+00:00
2019-04,8,3,5,37.5,4.0,2019-04-01 03:00:00+00:00
2019-05,104,28,76,26.923076923076923,4.5,2019-05-02 11:40:00+00:00
2019-06,9,4,5,44.44444444444444,6.0,2019-06-03 00:15:00+00:00
2019-07,207,56,151,27.053140096618357,5.0,2019-07-05 05:15:00+00:00
2019-08,8,4,4,50.0,6.5,2019-08-01 02:40:00+00:00
2019-09,14,5,9,35.714285714285715,4.5,2019-09-02 01:00:00+00:00
2019-10,42,12,30,28.571428571428573,4.5,2019-10-01 10:25:00+00:00
2019-11,25,8,17,32.0,6.0,2019-11-01 08:35:00+00:00
2019-12,9,4,5,44.44444444444444,6.5,2019-12-02 00:35:00+00:00
2020-01,16,6,10,37.5,6.5,2020-01-02 09:05:00+00:00
2020-02,173,47,126,27.167630057803468,6.0,2020-02-05 03:30:00+00:00
2020-03,19,6,13,31.57894736842105,4.5,2020-03-02 05:05:00+00:00
2020-04,8,4,4,50.0,6.5,2020-04-01 02:05:00+00:00
2020-05,10,4,6,40.0,5.5,2020-05-01 08:50:00+00:00
2020-06,125,34,91,27.2,5.0,2020-06-02 16:05:00+00:00
2020-07,8,3,5,37.5,4.0,2020-07-01 04:15:00+00:00
2020-08,9,4,5,44.44444444444444,6.5,2020-08-03 00:30:00+00:00
2020-09,19,6,13,31.57894736842105,5.0,2020-09-01 08:40:00+00:00
2020-10,14,5,9,35.714285714285715,5.0,2020-10-01 05:25:00+00:00
2020-11,477,127,350,26.62473794549266,5.0,2020-11-09 11:35:00+00:00
2020-12,65,18,47,27.692307692307693,5.0,2020-12-01 16:30:00+00:00
2021-01,8,3,5,37.5,4.0,2021-01-04 00:40:00+00:00
2021-02,34,10,24,29.41176470588235,4.0,2021-02-01 08:30:00+00:00
2021-03,8,4,4,50.0,7.0,2021-03-01 02:45:00+00:00
2021-04,14,5,9,35.714285714285715,4.5,2021-04-01 04:05:00+00:00
2021-05,10,4,6,40.0,5.5,2021-05-03 05:45:00+00:00
2021-06,12,4,8,33.333333333333336,4.0,2021-06-01 07:15:00+00:00
2021-07,70,20,50,28.571428571428573,5.5,2021-07-01 19:40:00+00:00
2021-08,14,5,9,35.714285714285715,5.0,2021-08-02 02:10:00+00:00
2021-09,27,8,19,29.62962962962963,5.0,2021-09-01 09:00:00+00:00
2021-10,14,5,9,35.714285714285715,5.0,2021-10-01 02:00:00+00:00
2021-11,9,4,5,44.44444444444444,5.5,2021-11-01 03:40:00+00:00
2021-12,38,11,27,28.94736842105263,4.5,2021-12-01 11:40:00+00:00
2022-01,10,4,6,40.0,5.0,2022-01-03 01:30:00+00:00
2022-02,55,16,39,29.09090909090909,6.5,2022-02-02 07:50:00+00:00
2022-03,14,5,9,35.714285714285715,5.5,2022-03-01 04:05:00+00:00
2022-04,8,4,4,50.0,7.5,2022-04-01 01:30:00+00:00
2022-05,31,9,22,29.032258064516128,5.0,2022-05-02 10:00:00+00:00
2022-06,42,12,30,28.571428571428573,4.5,2022-06-01 10:25:00+00:00
2022-07,31,9,22,29.032258064516128,4.0,2022-07-01 07:25:00+00:00
2022-08,9,4,5,44.44444444444444,6.0,2022-08-01 01:40:00+00:00
2022-09,61,17,44,27.868852459016395,4.0,2022-09-01 19:55:00+00:00
2022-10,154,42,112,27.272727272727273,5.0,2022-10-05 06:50:00+00:00
2022-11,87,24,63,27.586206896551722,4.5,2022-11-02 03:30:00+00:00
2022-12,391,103,288,26.342710997442456,4.5,2022-12-07 04:00:00+00:00
2023-01,8,4,4,50.0,7.0,2023-01-02 06:05:00+00:00
2023-02,82,23,59,28.048780487804876,6.0,2023-02-01 19:35:00+00:00
2023-03,13,5,8,38.46153846153846,5.0,2023-03-01 04:15:00+00:00
2023-04,216,58,158,26.85185185185185,4.5,2023-04-05 14:05:00+00:00
2023-05,15,5,10,33.333333333333336,4.0,2023-05-01 03:30:00+00:00
2023-06,194,52,142,26.804123711340207,6.0,2023-06-05 16:15:00+00:00
2023-07,43,13,30,30.232558139534884,5.0,2023-07-03 09:15:00+00:00
2023-08,175,47,128,26.857142857142858,4.5,2023-08-03 07:35:00+00:00
2023-09,26,8,18,30.76923076923077,5.0,2023-09-01 06:35:00+00:00
2023-10,8,4,4,50.0,7.0,2023-10-02 01:25:00+00:00
2023-11,10,4,6,40.0,5.0,2023-11-01 02:25:00+00:00
2023-12,17,6,11,35.294117647058826,5.5,2023-12-01 04:10:00+00:00
2024-01,8,4,4,50.0,7.0,2024-01-02 01:20:00+00:00
2024-02,14,5,9,35.714285714285715,5.5,2024-02-01 06:25:00+00:00
2024-03,39,11,28,28.205128205128204,4.5,2024-03-01 08:55:00+00:00
2024-04,11,4,7,36.36363636363637,4.0,2024-04-01 03:30:00+00:00
2024-05,8,3,5,37.5,4.0,2024-05-01 05:45:00+00:00
2024-06,8,4,4,50.0,6.0,2024-06-02 23:35:00+00:00
2024-07,11,4,7,36.36363636363637,4.0,2024-07-01 01:40:00+00:00
2024-08,9,4,5,44.44444444444444,6.0,2024-08-01 03:25:00+00:00
2024-09,11,4,7,36.36363636363637,4.5,2024-09-02 01:00:00+00:00
2024-10,78,22,56,28.205128205128204,4.5,2024-10-01 19:35:00+00:00
2024-11,18,6,12,33.333333333333336,5.5,2024-11-01 03:45:00+00:00
2024-12,9,4,5,44.44444444444444,5.5,2024-12-02 00:15:00+00:00
2025-01,8,4,4,50.0,7.5,2025-01-02 01:10:00+00:00
2025-02,82,23,59,28.048780487804876,4.5,2025-02-03 20:05:00+00:00
2025-03,8,4,4,50.0,7.5,2025-03-03 00:20:00+00:00
2025-04,106,29,77,27.358490566037737,5.0,2025-04-02 02:35:00+00:00
2025-05,41,12,29,29.26829268292683,4.5,2025-05-01 10:45:00+00:00
2025-06,19,6,13,31.57894736842105,5.0,2025-06-02 03:40:00+00:00
2025-07,378,100,278,26.455026455026456,4.5,2025-07-07 10:50:00+00:00
2025-08,18,6,12,33.333333333333336,4.5,2025-08-01 04:30:00+00:00
2025-09,24,8,16,33.333333333333336,6.5,2025-09-01 06:45:00+00:00
2025-10,36,11,25,30.555555555555557,6.5,2025-10-01 10:35:00+00:00
2025-11,52,15,37,28.846153846153847,5.5,2025-11-03 15:10:00+00:00
2025-12,8,4,4,50.0,7.5,2025-12-01 02:10:00+00:00
2026-01,695,184,511,26.47482014388489,6.5,2026-01-14 12:00:00+00:00
2026-02,8,5,3,62.5,11.5,2026-02-02 00:20:00+00:00
2026-03,247,67,180,27.125506072874494,5.5,2026-03-05 00:45:00+00:00
2026-04,129,35,94,27.131782945736433,4.0,2026-04-02 21:25:00+00:00
2026-05,198,53,145,26.767676767676768,5.0,2026-05-05 12:55:00+00:00
2026-06,79,22,57,27.848101265822784,5.0,2026-06-02 00:35:00+00:00
2026-07,573,151,422,26.352530541012218,4.5,2026-07-13 12:15:00+00:00
2026-08,104,28,76,26.923076923076923,4.5,2026-08-04 20:30:00+00:00
