year,trades,wins,losses,win_rate_pct,net_r,start_equity_rm,end_equity_rm,return_pct,max_dd_pct,max_win_streak,max_loss_streak
2017,11,3,8,27.2727,1,100.0000,100.8980,0.8980,14.2625,1,3
2018,13,6,7,46.1538,11,100.8980,162.9801,61.5297,14.2625,2,3
2019,13,6,7,46.1538,11,162.9801,263.2612,61.5297,18.5494,3,4
2020,6,1,5,16.6667,-2,263.2612,234.2625,-11.0152,14.2625,1,3
2021,10,4,6,40.0000,6,234.2625,301.1867,28.5680,9.7500,2,2
2022,19,6,13,31.5789,5,301.1867,357.6265,18.7391,26.4908,3,6
2023,17,7,10,41.1765,11,357.6265,569.5746,59.2652,18.5494,2,4
2024,13,3,10,23.0769,-1,569.5746,518.6570,-8.9396,15.4644,1,3
2025,15,4,11,26.6667,1,518.6570,515.9780,-0.5165,23.7067,2,5
2026,8,4,4,50.0000,8,515.9780,735.0502,42.4577,5.0000,2,1
