rr,signals,closed,wins,losses,win_rate_pct,net_r,expectancy_r,profit_factor,max_drawdown_r,net_r_1bp,expectancy_r_1bp,max_win_streak,max_loss_streak
0.5,70,70,52,18,74.2857,8.0,0.1143,1.4444,3.5,6.1122,0.0873,12,3
0.8,69,69,45,24,65.2174,12.0,0.1739,1.5000,3.8,10.1395,0.1469,9,3
1.0,69,69,40,29,57.9710,11.0,0.1594,1.3793,6.0,9.1395,0.1325,9,3
1.5,69,69,31,38,44.9275,8.5,0.1232,1.2237,6.0,6.6395,0.0962,6,6
2.0,63,63,25,38,39.6825,12.0,0.1905,1.3158,9.0,10.3465,0.1642,6,7
3.0,57,57,17,40,29.8246,11.0,0.1930,1.2750,10.0,9.5031,0.1667,5,10
4.0,54,54,11,43,20.3704,1.0,0.0185,1.0233,14.0,-0.4223,-0.0078,3,14
5.0,51,51,10,41,19.6078,9.0,0.1765,1.2195,14.0,7.6714,0.1504,3,14
5.4,50,50,10,40,20.0,14.0,0.2800,1.3500,14.0,12.6872,0.2537,3,14
7.5,47,47,6,41,12.7660,4.0,0.0851,1.0976,15.0,2.7828,0.0592,2,15
9.0,53,53,6,47,11.3208,7.0,0.1321,1.1489,14.0,5.5397,0.1045,2,14
9.2,53,53,6,47,11.3208,8.2,0.1547,1.1745,14.0,6.7397,0.1272,2,14
