rr,wins,losses,win_rate_pct,gross_net_r,gross_expectancy_r,profit_factor,max_drawdown_r,net_r_1bp,expectancy_r_1bp
0.10,9,1,90.0,-0.10,-0.010,0.900,1.00,-0.210662,-0.021066
0.20,8,2,80.0,-0.40,-0.040,0.800,1.40,-0.510662,-0.051066
0.25,7,3,70.0,-1.25,-0.125,0.583,1.75,-1.360662,-0.136066
0.30,7,3,70.0,-0.90,-0.090,0.700,1.50,-1.010662,-0.101066
0.35,7,3,70.0,-0.55,-0.055,0.817,1.30,-0.660662,-0.066066
0.40,6,4,60.0,-1.60,-0.160,0.600,2.40,-1.710662,-0.171066
0.50,5,5,50.0,-2.50,-0.250,0.500,3.50,-2.610662,-0.261066
0.75,4,6,40.0,-3.00,-0.300,0.500,4.50,-3.110662,-0.311066
1.00,3,7,30.0,-4.00,-0.400,0.429,5.00,-4.110662,-0.411066
1.25,2,8,20.0,-5.50,-0.550,0.313,6.75,-5.610662,-0.561066
1.50,2,8,20.0,-5.00,-0.500,0.375,6.50,-5.110662,-0.511066
1.75,2,8,20.0,-4.50,-0.450,0.438,6.25,-4.610662,-0.461066
2.00,1,9,10.0,-7.00,-0.700,0.222,9.00,-7.110662,-0.711066
2.50,1,9,10.0,-6.50,-0.650,0.278,9.00,-6.610662,-0.661066
3.00,1,9,10.0,-6.00,-0.600,0.333,9.00,-6.110662,-0.611066
3.50,1,9,10.0,-5.50,-0.550,0.389,9.00,-5.610662,-0.561066
