setup_id,break_time,touch_time,entry_time,side,entry,stop,risk,strict_bias_ok,stop_time,best_price_before_stop,best_time_before_stop,mfe_r_before_stop,worst_price_before_stop,mae_r_before_stop,minutes_to_mfe,minutes_to_stop,hit_0.25R,hit_0.5R,hit_1R,hit_1.5R,hit_2R,hit_3R
1,2026-01-30 10:00:00+00:00,2026-01-30 10:02:00+00:00,2026-01-30 10:08:00+00:00,SHORT,5011.22,5101.9201808334865,90.70018083348623,False,2026-01-30 10:54:00+00:00,5001.09,2026-01-30 10:08:00+00:00,0.11168665714787797,5094.3,0.9159849433213814,0,46,False,False,False,False,False,False
2,2026-02-24 14:00:00+00:00,2026-02-24 14:00:00+00:00,2026-02-24 14:12:00+00:00,SHORT,5113.64,5166.1269935269165,52.486993526916194,False,2026-02-24 18:02:00+00:00,5094.24,2026-02-24 14:13:00+00:00,0.3696153789043357,5165.68,0.9914837277412926,1,230,True,False,False,False,False,False
3,2026-03-23 07:00:00+00:00,2026-03-23 09:30:00+00:00,2026-03-23 09:33:00+00:00,SHORT,4287.53,4344.0463842825675,56.51638428256774,False,2026-03-23 11:07:00+00:00,4223.79,2026-03-23 09:45:00+00:00,1.1278145410243474,4340.87,0.9437971072833239,12,94,True,True,True,False,False,False
4,2026-04-07 23:00:00+00:00,2026-04-07 23:00:00+00:00,2026-04-07 23:04:00+00:00,LONG,4821.27,4748.080769611048,73.18923038895264,False,2026-04-08 14:53:00+00:00,4857.73,2026-04-08 00:06:00+00:00,0.4981607240059528,4749.6,0.9792424325152914,62,949,True,False,False,False,False,False
5,2026-04-20 00:00:00+00:00,2026-04-20 00:30:00+00:00,2026-04-20 00:52:00+00:00,SHORT,4760.88,4803.742542744602,42.86254274460225,False,2026-04-20 01:31:00+00:00,4759.49,2026-04-20 00:52:00+00:00,0.03242924733333447,4803.7,0.9990074610165796,0,39,False,False,False,False,False,False
6,2026-04-28 10:00:00+00:00,2026-04-28 10:00:00+00:00,2026-04-28 10:49:00+00:00,SHORT,4611.77,4672.678974120234,60.90897412023366,False,2026-05-06 07:46:00+00:00,4501.05,2026-05-04 16:10:00+00:00,1.8177952586164184,4670.56,0.9652114085453446,8961,11337,True,True,True,True,False,False
7,2026-05-04 16:00:00+00:00,2026-05-05 08:43:00+00:00,2026-05-05 09:01:00+00:00,SHORT,4555.15,4584.811085829532,29.661085829531847,True,2026-05-05 13:18:00+00:00,4539.69,2026-05-05 11:01:00+00:00,0.5212216747472815,4581.37,0.8839865796967328,120,257,True,True,False,False,False,False
8,2026-06-10 12:00:00+00:00,2026-06-10 12:00:00+00:00,2026-06-10 12:11:00+00:00,SHORT,4140.01,4181.262283158021,41.2522831580209,True,2026-06-10 13:46:00+00:00,4130.65,2026-06-10 12:27:00+00:00,0.22689650243810103,4178.64,0.9364330187690859,16,95,False,False,False,False,False,False
9,2026-07-22 02:00:00+00:00,2026-07-22 02:14:00+00:00,2026-07-22 02:23:00+00:00,LONG,4125.11,4106.956504393746,18.153495606253382,False,2026-07-22 12:57:00+00:00,4141.68,2026-07-22 03:23:00+00:00,0.9127718236058198,4109.28,0.8720080604215824,60,634,True,True,False,False,False,False
10,2026-08-21 09:00:00+00:00,2026-08-21 09:18:00+00:00,2026-08-21 09:38:00+00:00,LONG,4585.02,4553.23367017721,31.78632982278964,False,2026-08-28 14:07:00+00:00,4696.99,2026-08-25 00:42:00+00:00,3.5225834257189064,4555.82,0.9186335355801114,5224,10349,True,True,True,True,True,True
