metric,rr_0.8,rr_1.0,rr_2.0,rr_3.0,rr_5.4
trades,780,775,743,694,633
win_rate_pct,55.5128,49.5484,33.5128,26.3689,16.2717
gross_net_r,-0.6,-7.0,4.0,38.0,26.2
gross_expectancy_r,-0.000769,-0.009032,0.005384,0.054755,0.041390
profit_factor,0.99827,0.98210,1.00810,1.07436,1.04943
max_drawdown_r,36.0,44.0,32.0,25.0,44.6
max_loss_streak,5,7,12,14,20
net_r_1bp,-45.5003,-51.5723,-38.9921,-2.2588,-10.6904
rm100_1pct_gross,96.34,89.70,96.66,131.46,109.46
rm100_2pct_gross,87.18,74.45,80.72,140.44,86.58
rm100_5pct_gross,44.21,26.71,20.06,53.02,7.68
