strategy,family,trades,trades_per_30d,win_rate,avg_win_r,avg_loss_r,expectancy_r,profit_factor,net_r,ending_balance_rm,return_pct,max_drawdown_pct,target_8mo_70,cost_model
Structural Portfolio 3.5R,Structural Portfolio,38,4.408992023205221,34.21052631578947,3.3602699972435977,1.058370127260721,0.45326991533286143,1.6509729002736933,17.224256782648734,193.17929447527777,93.17929447527777,31.556840535044174,NO,1.0 bps round trip
Legacy Python Regime Router,Legacy,785,91.08049311094996,41.146496815286625,1.5660305038534452,1.0,0.0558316595473411,1.0948654821313046,43.82785274466276,185.45275284923616,85.45275284923616,90.396153746923,NO,no explicit transaction cost in legacy replay
Structural Frequency STRICT_FVG,Structural Frequency,39,4.525018129079043,33.333333333333336,3.3602699972435977,1.0574680922670523,0.41511127090316424,1.5888280799280123,16.189339565223406,183.18306558015064,83.18306558015065,35.0984907423077,NO,1.0 bps round trip
V3 Classic M15 Only,V3 M5,4,0.46410442349528647,50.0,2.9620319166875237,1.013621676828515,0.9742051199295044,2.9222262944842705,3.8968204797180177,118.79133606606598,18.791336066065977,9.879365978530117,NO,1.0 bps round trip
V3 M5 Combined,V3 M5,131,15.199419869470631,34.35114503816794,2.2053933482634385,1.034633204542176,0.07835301588723335,1.1153565210038194,10.26424508122757,114.76861447161251,14.768614471612507,70.73499863693739,NO,1.0 bps round trip
Outcome First RETEST_BODY,Outcome First,7,0.8121827411167513,28.571428571428573,3.427321244298808,1.0507588553484166,0.2286926016936477,1.3047032539782337,1.6008482118555338,104.75964050807092,4.759640508070917,19.413951068108883,NO,1.0 bps round trip
Route A Structural Asymmetric,Route A/B,94,10.90645395213923,30.851063829787233,2.573012005620566,1.0456866744552773,0.07072036514258918,1.097804180306339,6.647714323403383,100.67092628171568,0.670926281715678,69.40899450506359,NO,1.0 bps round trip
V3 M5 Range Only,V3 M5,0,0.0,0.0,,,0.0,,0.0,100.0,0.0,0.0,NO,1.0 bps round trip
Structural Frequency FULL_STRUCTURAL_ROUTER,Structural Frequency,89,10.326323422770123,25.84269662921348,3.3277545830590456,1.0451708153877766,0.0849110291546606,1.1095526535935976,7.557081594764793,99.0241156837395,-0.9758843162605002,68.67154049866801,NO,1.0 bps round trip
Structural A+ R4.0 RB4 SCALE_25_2R_RUN4R,Structural A+,7,0.8121827411167513,28.571428571428573,2.4548002150930563,1.075985742627115,-0.06718975470706627,0.9125772276868437,-0.47032828294946394,95.46449643078324,-4.535503569216759,15.019030754522007,NO,1.0 bps round trip
Structural A+ R4.0 RB6 SCALE_25_2R_RUN4R,Structural A+,7,0.8121827411167513,28.571428571428573,2.4548002150930563,1.075985742627115,-0.06718975470706627,0.9125772276868437,-0.47032828294946394,95.46449643078324,-4.535503569216759,15.019030754522007,NO,1.0 bps round trip
Structural A+ R4.0 RB8 SCALE_25_2R_RUN4R,Structural A+,7,0.8121827411167513,28.571428571428573,2.4548002150930563,1.075985742627115,-0.06718975470706627,0.9125772276868437,-0.47032828294946394,95.46449643078324,-4.535503569216759,15.019030754522007,NO,1.0 bps round trip
V3 Asymmetry balanced_3_5r,V3 Asymmetry,10,1.160261058738216,20.0,4.291494931153621,1.0590083711144451,0.011092289339167971,1.013092778161299,0.11092289339167971,95.3590423872143,-4.6409576127857015,23.592770480417443,NO,1.0 bps round trip
Structural A+ R4.0 RB4 FULL_3_5R,Structural A+,7,0.8121827411167513,28.571428571428573,2.392577002569676,1.075985742627115,-0.0849678154280319,0.8894456154141916,-0.5947747079962233,94.91451626556659,-5.085483734433405,15.019030754522003,NO,1.0 bps round trip
Structural A+ R4.0 RB6 FULL_3_5R,Structural A+,7,0.8121827411167513,28.571428571428573,2.392577002569676,1.075985742627115,-0.0849678154280319,0.8894456154141916,-0.5947747079962233,94.91451626556659,-5.085483734433405,15.019030754522003,NO,1.0 bps round trip
Structural A+ R4.0 RB8 FULL_3_5R,Structural A+,7,0.8121827411167513,28.571428571428573,2.392577002569676,1.075985742627115,-0.0849678154280319,0.8894456154141916,-0.5947747079962233,94.91451626556659,-5.085483734433405,15.019030754522003,NO,1.0 bps round trip
