strategy,month,trades,win_rate,net_r,pnl_rm,ending_balance_rm
Legacy Python Regime Router,2026-01,74,50.0,21.500000000000362,149.15254357500814,249.15254357500808
Legacy Python Regime Router,2026-02,78,30.76923076923077,-17.99999999999954,-160.5710185531667,88.58152502184144
Legacy Python Regime Router,2026-03,74,29.72972972972973,-17.49999999999975,-56.278275096071255,32.30324992577019
Legacy Python Regime Router,2026-04,100,45.0,15.500000000000405,24.713722389105243,57.01697231487545
Legacy Python Regime Router,2026-05,108,50.0,31.500000000001073,160.25516442322387,217.27213673809936
Legacy Python Regime Router,2026-06,112,38.392857142857146,-1.5836221223253233e-12,-44.14510167473554,173.12703506336402
Legacy Python Regime Router,2026-07,103,43.689320388349515,10.999999999999638,71.78169460017939,244.90872966354354
Legacy Python Regime Router,2026-08,90,40.0,3.000000000000635,-7.573386597760294,237.33534306578352
Legacy Python Regime Router,2026-09,46,36.95652173913043,-3.172147255338484,-51.882590216547364,185.45275284923616
V3 M5 Combined,2026-01,16,37.5,2.6757972470017393,9.073671517798148,109.07367151779813
V3 M5 Combined,2026-02,8,25.0,-1.7211829571194723,-10.88724866172942,98.18642285606873
V3 M5 Combined,2026-03,21,38.095238095238095,4.09499994432863,15.080870429728368,113.26729328579707
V3 M5 Combined,2026-04,13,23.076923076923077,-3.8834908115200575,-22.79162131692553,90.47567196887152
V3 M5 Combined,2026-05,13,38.46153846153847,2.5819747402430098,8.57306632055212,99.04873828942365
V3 M5 Combined,2026-06,21,19.047619047619047,-8.938410467872384,-38.54040000480876,60.50833828461491
V3 M5 Combined,2026-07,12,33.33333333333333,1.0581210561333751,0.9512138025062589,61.45955208712117
V3 M5 Combined,2026-08,17,52.94117647058824,11.962902996965225,43.28779394631754,104.74734603343873
V3 M5 Combined,2026-09,10,40.0,2.433533333067506,10.021268438173776,114.76861447161251
V3 Classic M15 Only,2026-01,0,,0.0,0.0,
V3 Classic M15 Only,2026-02,1,0.0,-1.0085477516718657,-5.042738758359329,94.95726124164067
V3 Classic M15 Only,2026-03,0,,0.0,0.0,
V3 Classic M15 Only,2026-04,0,,0.0,0.0,
V3 Classic M15 Only,2026-05,0,,0.0,0.0,
V3 Classic M15 Only,2026-06,1,0.0,-1.018695601985164,-4.836627220170781,90.12063402146988
V3 Classic M15 Only,2026-07,1,100.0,2.9503347954549195,13.29430211710005,103.41493613856993
V3 Classic M15 Only,2026-08,1,100.0,2.973729037920128,15.376399927496053,118.79133606606598
V3 Classic M15 Only,2026-09,0,,0.0,0.0,
V3 M5 Trend Only,2026-01,16,37.5,2.6757972470017393,9.073671517798148,109.07367151779813
V3 M5 Trend Only,2026-02,7,28.57142857142857,-0.7126352054476057,-5.673024140015514,103.40064737778262
V3 M5 Trend Only,2026-03,21,38.095238095238095,4.09499994432863,15.88174535842142,119.28239273620403
V3 M5 Trend Only,2026-04,13,23.076923076923077,-3.8834908115200575,-24.00197838365093,95.28041435255311
V3 M5 Trend Only,2026-05,13,38.46153846153847,2.5819747402430098,9.028342022982297,104.3087563755354
V3 M5 Trend Only,2026-06,20,20.0,-7.91971486588722,-37.16726437249456,67.14149200304082
V3 M5 Trend Only,2026-07,11,27.27272727272727,-1.8922137393215444,-7.711438297095522,59.430053705945305
V3 M5 Trend Only,2026-08,17,47.05882352941176,7.92494178309564,24.055471853408868,83.48552555935417
V3 M5 Trend Only,2026-09,10,40.0,2.433533333067506,7.987131836879439,91.47265739623361
V3 M5 Range Only,2026-01,0,,0.0,0.0,
V3 M5 Range Only,2026-02,0,,0.0,0.0,
V3 M5 Range Only,2026-03,0,,0.0,0.0,
V3 M5 Range Only,2026-04,0,,0.0,0.0,
V3 M5 Range Only,2026-05,0,,0.0,0.0,
V3 M5 Range Only,2026-06,0,,0.0,0.0,
V3 M5 Range Only,2026-07,0,,0.0,0.0,
V3 M5 Range Only,2026-08,0,,0.0,0.0,
V3 M5 Range Only,2026-09,0,,0.0,0.0,
V3 Asymmetry balanced_3r,2026-01,1,0.0,-1.0238184427279582,-5.1190922136397905,94.88090778636021
V3 Asymmetry balanced_3r,2026-02,0,,0.0,0.0,
V3 Asymmetry balanced_3r,2026-03,1,0.0,-1.0228930852227598,-4.8526512247163085,90.0282565616439
V3 Asymmetry balanced_3r,2026-04,1,0.0,-1.057827275465878,-4.761717267677341,85.26653929396656
V3 Asymmetry balanced_3r,2026-05,1,0.0,-1.0609139816526298,-4.523023185205124,80.74351610876144
V3 Asymmetry balanced_3r,2026-06,3,33.33333333333333,2.861669975584864,9.729922577773333,90.47343868653478
V3 Asymmetry balanced_3r,2026-07,3,0.0,-3.200095276442856,-13.717866192270561,76.75557249426421
V3 Asymmetry balanced_3r,2026-08,1,0.0,-1.0835584591775176,-4.158457493258659,72.59711500100556
V3 Asymmetry balanced_3r,2026-09,2,50.0,2.441325039185553,8.192991840906972,80.79010684191253
V3 Asymmetry balanced_3_5r,2026-01,0,,0.0,0.0,
V3 Asymmetry balanced_3_5r,2026-02,0,,0.0,0.0,
V3 Asymmetry balanced_3_5r,2026-03,1,0.0,-1.0228930852227598,-5.114465426113799,94.8855345738862
V3 Asymmetry balanced_3_5r,2026-04,1,0.0,-1.057827275465878,-5.018625325970871,89.86690924791533
V3 Asymmetry balanced_3_5r,2026-05,1,0.0,-1.0609139816526298,-4.76705302545107,85.09985622246425
V3 Asymmetry balanced_3_5r,2026-06,3,33.33333333333333,2.9896836918644074,10.743937975907858,95.84379419837211
V3 Asymmetry balanced_3_5r,2026-07,2,0.0,-2.1489333501672863,-10.021478799643639,85.82231539872846
V3 Asymmetry balanced_3_5r,2026-08,1,0.0,-1.0835584591775176,-4.649674791824658,81.1726406069038
V3 Asymmetry balanced_3_5r,2026-09,1,100.0,3.495365353213344,14.186401780310506,95.3590423872143
V3 Asymmetry strict_4r,2026-01,0,,0.0,0.0,
V3 Asymmetry strict_4r,2026-02,0,,0.0,0.0,
V3 Asymmetry strict_4r,2026-03,1,0.0,-1.0228930852227598,-5.114465426113799,94.8855345738862
V3 Asymmetry strict_4r,2026-04,1,0.0,-1.057827275465878,-5.018625325970871,89.86690924791533
V3 Asymmetry strict_4r,2026-05,0,,0.0,0.0,
V3 Asymmetry strict_4r,2026-06,0,,0.0,0.0,
V3 Asymmetry strict_4r,2026-07,1,0.0,-1.0692408212634321,-4.804468392432366,85.06244085548296
V3 Asymmetry strict_4r,2026-08,1,0.0,-1.0835584591775176,-4.608506367362292,80.45393448812067
V3 Asymmetry strict_4r,2026-09,0,,0.0,0.0,
V3 Asymmetry quality_location,2026-01,0,,0.0,0.0,
V3 Asymmetry quality_location,2026-02,0,,0.0,0.0,
V3 Asymmetry quality_location,2026-03,0,,0.0,0.0,
V3 Asymmetry quality_location,2026-04,1,0.0,-1.057827275465878,-5.28913637732939,94.71086362267062
V3 Asymmetry quality_location,2026-05,0,,0.0,0.0,
