strategy,family,trades,trades_per_30d,min_completed_month_trades,ending_balance_rm,lowest_balance_rm,passes_frequency,passes_growth,requested_fit,translation
Outcome First M15,Outcome First,121,14.039158810732415,10,419.5960160617378,94.90608119201272,True,True,True,FVG sweep or HTF-aligned displacement pullback.
V1 Legacy M15,Legacy,321,37.244379985496735,31,345.8002294739163,69.06749024013808,True,True,True,EMA trend + M15 10-bar breakout.
Structural Frequency M15,Structural Frequency,113,13.110949963741842,8,237.78371817840258,93.30581028067014,True,True,True,Looser displacement/retrace structural engine.
Structural Portfolio M15,Structural Portfolio,125,14.5032632342277,11,199.6024166455459,95.5418627358598,True,True,True,Trend pullback + external sweep + expansion/retest playbooks.
Structural A+ M15,Structural A+,8,0.9282088469905729,0,95.22991553296153,91.32395142007864,False,False,False,Structure + sweep + FVG + daily-auction alignment.
A+ M15,A+,1,0.11602610587382162,0,94.9052670512443,94.9052670512443,False,False,False,Strict HTF alignment + fresh sweep + FVG + displacement.
Route B Precision M15,Route A/B,1,0.11602610587382162,0,94.9052670512443,94.9052670512443,False,False,False,A+ precision subset: HTF + sweep + FVG + displacement + day-open alignment.
V5 Native M15,V5,28,3.248730964467005,0,92.4110600248622,92.4110600248622,False,False,False,V5 without M5 execution: H4/H1 context -> M15 sweep/BOS/FVG -> next M15 open.
V4 Confluence M15,V4 Confluence,242,28.07831762146483,20,84.67795675496299,36.745546629958895,True,False,False,Native-M15 confluence score: trend/BOS/FVG/sweep/ADX.
V3 Trend M15,V3,16,1.8564176939811459,0,73.42627612724917,73.42627612724917,False,False,False,HTF trend + recent M15 liquidity sweep + BOS.
V7 Momentum Alt M15,V7 Momentum,79,9.166062364031907,6,52.8827881419578,52.47722264525177,False,False,False,One-bar M15 expansion-continuation variant; M15-0591 held aside and excluded.
Route A M15,Route A/B,169,19.608411892675853,13,52.58609899874089,28.945402511950082,True,False,False,Structural asymmetric engine; target graded 2R/3R/4R.
Structural Router M15,Structural Router,217,25.17766497461929,19,16.114107227836897,15.515320046972505,True,False,False,H4-ADX routes between trend continuation and sweep reversal.
V2 MTF M15,V2,272,31.559100797679477,24,10.84135514601469,6.7549857215473645,True,False,False,H4/H1 trend regime + M15 EMA20 pullback.
V3 Range M15,V3,202,23.437273386511965,19,9.886011062685494,7.549380671719848,True,False,False,Low-ADX Bollinger rejection / mean reversion.
V3 Combined M15,V3,297,34.45975344452502,28,6.922155218578976,5.269234230383425,True,False,False,Trend and range engines combined on M15.
V6 Session Reaction M15,V6,299,34.69180565627266,29,0.6202615834321419,0.5139594212691149,True,False,False,False-break reversal of completed Asia/London-morning ranges.
V3 Asymmetry M15,V3 Asymmetry,547,63.46627991298042,52,0.23588337348980434,0.2182081018835558,True,False,False,20-bar liquidity sweep reversal with asymmetric 2R-4R target.
