strategy,month,trades,pnl_rm,ending_balance_rm
V1 Legacy M15,2026-01,37,41.561484981034,141.561484981034
V1 Legacy M15,2026-02,31,52.34386297683159,193.9053479578656
V1 Legacy M15,2026-03,40,-32.788712596504894,161.1166353613607
V1 Legacy M15,2026-04,39,-61.59898492025721,99.51765044110348
V1 Legacy M15,2026-05,38,18.28691206995498,117.80456251105846
V1 Legacy M15,2026-06,39,115.68809901314242,233.49266152420088
V1 Legacy M15,2026-07,41,-44.6853414972654,188.80732002693549
V1 Legacy M15,2026-08,37,115.90728037115849,304.714600398094
V1 Legacy M15,2026-09,19,41.08562907582234,345.8002294739163
V2 MTF M15,2026-01,34,27.261430296901793,127.26143029690179
V2 MTF M15,2026-02,27,-15.570331561990116,111.69109873491168
V2 MTF M15,2026-03,42,-42.371992770986495,69.31910596392518
V2 MTF M15,2026-04,37,-36.827664482352446,32.491441481572735
V2 MTF M15,2026-05,24,-4.96599041382413,27.525451067748605
V2 MTF M15,2026-06,30,4.273537024131802,31.798988091880407
V2 MTF M15,2026-07,31,-17.45860544352898,14.340382648351426
V2 MTF M15,2026-08,29,-5.604743769770648,8.735638878580778
V2 MTF M15,2026-09,18,2.1057162674339125,10.84135514601469
V3 Trend M15,2026-01,2,9.114863755387034,109.11486375538703
V3 Trend M15,2026-02,4,6.5395300285684925,115.65439378395553
V3 Trend M15,2026-03,2,-3.8720242135262737,111.78236957042925
V3 Trend M15,2026-04,3,-16.392330947481994,95.39003862294726
V3 Trend M15,2026-05,2,-9.50280268897015,85.88723593397711
V3 Trend M15,2026-06,2,-8.507455163141287,77.37978077083582
V3 Trend M15,2026-09,1,-3.9535046435866548,73.42627612724917
V3 Range M15,2026-01,24,-47.31123601820909,52.68876398179091
V3 Range M15,2026-02,27,-4.180639847671188,48.508124134119726
V3 Range M15,2026-03,19,-16.248257045488145,32.25986708863158
V3 Range M15,2026-04,25,-15.929576059406735,16.330291029224846
V3 Range M15,2026-05,29,0.19801596975915814,16.528306998984004
V3 Range M15,2026-06,19,-3.688433952638304,12.8398730463457
V3 Range M15,2026-07,24,-5.290492374625852,7.549380671719848
V3 Range M15,2026-08,26,0.6989195741711844,8.248300245891032
V3 Range M15,2026-09,9,1.6377108167944616,9.886011062685494
V3 Combined M15,2026-01,31,26.057664050345423,126.05766405034542
V3 Combined M15,2026-02,35,4.0067246634068425,130.06438871375227
V3 Combined M15,2026-03,28,-79.45337112393639,50.611017589815866
V3 Combined M15,2026-04,38,-31.240084867165358,19.370932722650508
V3 Combined M15,2026-05,45,-4.9094166718624965,14.461516050788012
V3 Combined M15,2026-06,32,1.9258994268848522,16.387415477672864
V3 Combined M15,2026-07,36,-8.894345874841722,7.4930696028311425
V3 Combined M15,2026-08,36,-0.9784913595737059,6.514578243257437
V3 Combined M15,2026-09,16,0.4075769753215397,6.922155218578976
V3 Asymmetry M15,2026-01,57,-41.039952913792646,58.960047086207354
V3 Asymmetry M15,2026-02,52,119.04419512818397,178.00424221439133
V3 Asymmetry M15,2026-03,60,-19.112638852176644,158.89160336221468
V3 Asymmetry M15,2026-04,53,-63.12315186954143,95.76845149267325
V3 Asymmetry M15,2026-05,72,-81.44332004168228,14.325131450990963
V3 Asymmetry M15,2026-06,78,-10.563241856988054,3.7618895940029087
V3 Asymmetry M15,2026-07,70,-1.8966557757923548,1.865233818210554
