strategy_base,variant,strategy,family,signal_time,entry_time,exit_time,direction,entry,stop,target_r,gross_r,net_r,reason,balance_before_rm,balance_after_rm
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-05 11:15:00+00:00,2026-01-05 11:45:00+00:00,2026-01-05 15:00:00+00:00,-1,4416.945,4440.459698997234,3.0,-1.0,-1.0187837615974564,stop,100.0,94.90608119201272
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-06 11:30:00+00:00,2026-01-06 12:00:00+00:00,2026-01-07 05:00:00+00:00,1,4461.809,4447.384784487455,3.0,0.18760119034873718,0.1566684231828588,time_exit,94.90608119201272,95.64952049655356
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-08 12:45:00+00:00,2026-01-08 13:15:00+00:00,2026-01-08 20:30:00+00:00,1,4427.375,4406.747743719412,2.0,2.0,1.9785362874258436,target,95.64952049655356,105.11182285541923
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-09 11:45:00+00:00,2026-01-09 12:15:00+00:00,2026-01-09 12:45:00+00:00,1,4474.995,4466.298939202062,3.0,-1.0,-1.0514600243027399,stop,105.11182285541923,99.58577886471602
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-09 13:45:00+00:00,2026-01-09 14:15:00+00:00,2026-01-12 00:30:00+00:00,1,4482.178,4457.757192841831,3.0,3.0,2.981646069390869,target,99.58577886471602,114.43225617067645
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-12 12:45:00+00:00,2026-01-12 13:15:00+00:00,2026-01-12 16:15:00+00:00,1,4590.285,4577.452279810825,3.0,3.0,2.9642298364467417,target,114.43225617067645,131.39243157032826
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-12 16:45:00+00:00,2026-01-12 17:15:00+00:00,2026-01-13 06:45:00+00:00,-1,4616.675,4631.072955200949,3.0,3.0,2.9679352037454887,target,131.39243157032826,150.89064272849313
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-13 12:45:00+00:00,2026-01-13 13:15:00+00:00,2026-01-13 20:45:00+00:00,1,4592.995,4576.9553120003175,3.0,-1.0,-1.0286351891638474,stop,150.89064272849313,143.13007148718924
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-15 14:15:00+00:00,2026-01-15 14:45:00+00:00,2026-01-16 07:45:00+00:00,1,4602.495,4581.303088414037,2.0,0.00802192852261041,-0.013696239663069586,time_exit,143.13007148718924,143.0320542990852
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-19 15:45:00+00:00,2026-01-19 16:15:00+00:00,2026-01-20 00:30:00+00:00,1,4674.085,4663.135058037149,3.0,-1.0,-1.0426859340063848,stop,143.0320542990852,135.5751787426005
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-21 09:15:00+00:00,2026-01-21 09:45:00+00:00,2026-01-21 14:15:00+00:00,1,4875.485,4850.019502763962,3.0,-1.0,-1.0191454537675408,stop,135.5751787426005,128.66663738963837
Outcome First M15,M15,Outcome First M15,Outcome First,2026-01-21 14:15:00+00:00,2026-01-21 14:45:00+00:00,2026-01-21 19:45:00+00:00,-1,4860.085,4881.9389724615,3.0,3.0,2.9777610912223764,target,128.66663738963837,147.82356271750254
