strategy,variant,month,trades,pnl_rm,ending_balance_rm
Outcome First M15,M15,2026-01,18,30.85131884140509,130.8513188414051
Outcome First M15,M15,2026-02,14,-0.8238176888591511,130.02750115254594
Outcome First M15,M15,2026-03,12,129.22620803045766,259.2537091830036
Outcome First M15,M15,2026-04,16,-23.758819055000117,235.49489012800348
Outcome First M15,M15,2026-05,16,-12.859434644413426,222.63545548359005
Outcome First M15,M15,2026-06,12,98.58210424824156,321.2175597318316
Outcome First M15,M15,2026-07,10,191.0403019926435,512.2578617244751
Outcome First M15,M15,2026-08,13,-49.151716517746706,463.1061452067284
Outcome First M15,M15,2026-09,10,-43.51012914499057,419.5960160617378
Outcome First M15,MTF,2026-01,15,-5.9762715694271975,94.0237284305728
Outcome First M15,MTF,2026-02,12,-0.8003875553176556,93.22334087525515
Outcome First M15,MTF,2026-03,10,42.11386329526486,135.33720417052
Outcome First M15,MTF,2026-04,14,-12.278110073604125,123.05909409691589
Outcome First M15,MTF,2026-05,14,8.784535332850197,131.84362942976608
Outcome First M15,MTF,2026-06,11,53.459658298677084,185.30328772844317
Outcome First M15,MTF,2026-07,10,-33.91454383450548,151.3887438939377
Outcome First M15,MTF,2026-08,12,-4.481764159322381,146.9069797346153
Outcome First M15,MTF,2026-09,9,5.744957651995946,152.65193738661125
Structural Frequency M15,M15,2026-01,17,91.20507804077266,191.20507804077266
Structural Frequency M15,M15,2026-02,17,-19.301823625016283,171.90325441575638
Structural Frequency M15,M15,2026-03,10,15.575368095419435,187.47862251117581
Structural Frequency M15,M15,2026-04,14,17.043812458974656,204.52243497015047
Structural Frequency M15,M15,2026-05,13,-20.29071733604951,184.23171763410096
Structural Frequency M15,M15,2026-06,14,85.84524080296944,270.0769584370704
Structural Frequency M15,M15,2026-07,14,46.59043642916873,316.66739486623914
Structural Frequency M15,M15,2026-08,8,-35.256647660307635,281.4107472059315
Structural Frequency M15,M15,2026-09,6,-43.62702902752892,237.78371817840258
Structural Frequency M15,MTF,2026-01,17,113.15245811834282,213.15245811834282
Structural Frequency M15,MTF,2026-02,17,-26.870360516786633,186.2820976015562
Structural Frequency M15,MTF,2026-03,10,-10.289174980769445,175.99292262078674
Structural Frequency M15,MTF,2026-04,14,12.566808265252064,188.5597308860388
Structural Frequency M15,MTF,2026-05,13,-10.979240717343686,177.58049016869512
Structural Frequency M15,MTF,2026-06,14,74.00639315851848,251.5868833272136
Structural Frequency M15,MTF,2026-07,14,26.309358515737898,277.8962418429515
Structural Frequency M15,MTF,2026-08,8,-48.9000603533232,228.9961814896283
Structural Frequency M15,MTF,2026-09,6,-36.103900599840614,192.89228088978768
Structural Portfolio M15,M15,2026-01,18,78.00753984421684,178.00753984421684
Structural Portfolio M15,M15,2026-02,16,-36.13110764188633,141.8764322023305
Structural Portfolio M15,M15,2026-03,12,53.6329205613896,195.5093527637201
Structural Portfolio M15,M15,2026-04,11,19.980873219193455,215.49022598291356
Structural Portfolio M15,M15,2026-05,13,64.95135007851462,280.4415760614282
Structural Portfolio M15,M15,2026-06,15,54.240249044810696,334.6818251062389
Structural Portfolio M15,M15,2026-07,14,-139.78028308992427,194.9015420163146
Structural Portfolio M15,M15,2026-08,16,14.039222037602883,208.9407640539175
Structural Portfolio M15,M15,2026-09,10,-9.33834740837159,199.6024166455459
Structural Portfolio M15,MTF,2026-01,18,81.89402620799055,181.89402620799055
Structural Portfolio M15,MTF,2026-02,16,-30.611103428385803,151.28292277960475
Structural Portfolio M15,MTF,2026-03,12,85.61638156902063,236.89930434862538
Structural Portfolio M15,MTF,2026-04,10,44.13577560483691,281.0350799534623
Structural Portfolio M15,MTF,2026-05,13,118.74967185744669,399.784751810909
Structural Portfolio M15,MTF,2026-06,15,110.96815461810922,510.7529064290182
Structural Portfolio M15,MTF,2026-07,14,-217.25891232147217,293.49399410754603
Structural Portfolio M15,MTF,2026-08,16,49.777201385492674,343.2711954930387
Structural Portfolio M15,MTF,2026-09,10,-85.11849233768783,258.1527031553509
V1 Legacy M15,M15,2026-01,37,41.561484981034,141.561484981034
V1 Legacy M15,M15,2026-02,31,52.34386297683159,193.9053479578656
V1 Legacy M15,M15,2026-03,40,-32.788712596504894,161.1166353613607
V1 Legacy M15,M15,2026-04,39,-61.59898492025721,99.51765044110348
V1 Legacy M15,M15,2026-05,38,18.28691206995498,117.80456251105846
V1 Legacy M15,M15,2026-06,39,115.68809901314242,233.49266152420088
V1 Legacy M15,M15,2026-07,41,-44.6853414972654,188.80732002693549
V1 Legacy M15,M15,2026-08,37,115.90728037115849,304.714600398094
V1 Legacy M15,M15,2026-09,19,41.08562907582234,345.8002294739163
V1 Legacy M15,MTF,2026-01,34,54.81775680186871,154.8177568018687
V1 Legacy M15,MTF,2026-02,31,15.297313568698257,170.11507037056697
V1 Legacy M15,MTF,2026-03,36,-20.65072665125743,149.46434371930954
V1 Legacy M15,MTF,2026-04,37,-44.926452230524816,104.53789148878472
V1 Legacy M15,MTF,2026-05,38,12.919514401487959,117.45740589027268
V1 Legacy M15,MTF,2026-06,39,119.41036519165426,236.86777108192695
V1 Legacy M15,MTF,2026-07,36,3.8161796140067565,240.6839506959337
V1 Legacy M15,MTF,2026-08,33,15.653423547923666,256.33737424385737
V1 Legacy M15,MTF,2026-09,17,47.864970856533944,304.2023451003913
M15-0591,M15,2026-01,30,31.96048015839827,131.96048015839827
M15-0591,M15,2026-02,21,-59.746385206334566,72.2140949520637
M15-0591,M15,2026-03,32,-14.07877855489344,58.135316397170264
M15-0591,M15,2026-04,33,-30.575933051140204,27.55938334603006
M15-0591,M15,2026-05,31,37.25400337287422,64.81338671890428
M15-0591,M15,2026-06,34,80.05768406802183,144.8710707869261
M15-0591,M15,2026-07,33,-18.43904835154636,126.43202243537975
M15-0591,M15,2026-08,34,84.00994390911812,210.44196634449787
M15-0591,M15,2026-09,15,-20.27567057326084,190.16629577123703
M15-0591,MTF,2026-01,27,44.67923404644421,144.6792340464442
M15-0591,MTF,2026-02,21,-62.05771140700337,82.62152263944084
M15-0591,MTF,2026-03,28,1.7529952626008054,84.37451790204165
M15-0591,MTF,2026-04,30,-35.40051956963601,48.973998332405635
M15-0591,MTF,2026-05,30,62.32497871467813,111.29897704708377
M15-0591,MTF,2026-06,31,171.2005344698511,282.4995115169349
M15-0591,MTF,2026-07,27,-25.561872958954268,256.9376385579806
M15-0591,MTF,2026-08,30,164.41820983560592,421.35584839358654
M15-0591,MTF,2026-09,14,-1.6027881808694815,419.75306021271706
