variant,type,trades,trades_per_30d,min_completed_month_trades,ending_balance_rm,lowest_balance_rm,passes_frequency,passes_growth,requested_fit
REGIME-ROUTER,ensemble,284,32.951414068165334,27,842.2845698847423,75.44963127711245,True,True,True
PRIORITY-VETO,ensemble,429,49.77519941986947,45,734.0035961202901,75.90299962793459,True,True,True
ANY-FIRST,ensemble,432,50.12327773749094,45,627.7986571099585,75.90299962793459,True,True,True
M15-0591 MTF,single,238,27.614213197969544,21,419.75306021271706,42.17501665177352,True,True,True
Outcome First M15,single,121,14.039158810732415,10,419.5960160617378,94.90608119201272,True,True,True
V1 Legacy M15,single,321,37.244379985496735,31,345.8002294739163,69.06749024013808,True,True,True
CORE+BOOSTER,ensemble,309,35.85206671501088,30,303.0970118438725,72.76460944305497,True,True,True
CONSENSUS-2,ensemble,105,12.182741116751268,8,297.80714433038924,100.0,True,True,True
Structural Portfolio MTF,single,124,14.38723712835388,10,258.1527031553509,92.65306114668151,True,True,True
Structural Frequency M15,single,113,13.110949963741842,8,237.78371817840258,93.30581028067014,True,True,True
