ensemble,technique,trades
ANY-FIRST,V1 Legacy M15,188
ANY-FIRST,M15-0591 MTF,118
ANY-FIRST,Structural Portfolio MTF,57
ANY-FIRST,Outcome First M15,44
ANY-FIRST,Structural Frequency M15,25
PRIORITY-VETO,V1 Legacy M15,186
PRIORITY-VETO,M15-0591 MTF,118
PRIORITY-VETO,Structural Portfolio MTF,57
PRIORITY-VETO,Outcome First M15,43
PRIORITY-VETO,Structural Frequency M15,25
CONSENSUS-2,Structural Portfolio MTF,48
CONSENSUS-2,M15-0591 MTF,23
CONSENSUS-2,Outcome First M15,21
CONSENSUS-2,V1 Legacy M15,12
CONSENSUS-2,Structural Frequency M15,1
CORE+BOOSTER,M15-0591 MTF,194
CORE+BOOSTER,Structural Portfolio MTF,95
CORE+BOOSTER,Outcome First M15,13
CORE+BOOSTER,V1 Legacy M15,7
REGIME-ROUTER,Structural Portfolio MTF,81
REGIME-ROUTER,V1 Legacy M15,67
REGIME-ROUTER,Outcome First M15,47
REGIME-ROUTER,Structural Frequency M15,46
REGIME-ROUTER,M15-0591 MTF,43
