ensemble,technique,entry_time,exit_time,direction,entry,stop,target_r,gross_r,net_r,reason,priority,strategy,balance_before_rm,balance_after_rm,support_count,opposition_count,route_rank
ANY-FIRST,V1 Legacy M15,2026-01-02 01:00:00+00:00,2026-01-02 08:45:00+00:00,1,4353.695,4337.149156295635,2.0,2.0,1.973687077686757,target,3,Ensemble ANY-FIRST,100.0,109.86843538843378,,,
ANY-FIRST,V1 Legacy M15,2026-01-02 13:15:00+00:00,2026-01-02 13:30:00+00:00,1,4399.425,4384.061197101517,2.0,-1.0,-1.0286350002604778,stop,3,Ensemble ANY-FIRST,109.86843538843378,104.21770948521379,,,
ANY-FIRST,Structural Frequency M15,2026-01-02 15:00:00+00:00,2026-01-05 00:15:00+00:00,-1,4352.955,4378.587032157783,3.0,-1.0,-1.0169824810346855,stop,4,Ensemble ANY-FIRST,104.21770948521379,98.91833024721255,,,
ANY-FIRST,M15-0591 MTF,2026-01-05 00:15:00+00:00,2026-01-05 09:00:00+00:00,1,4377.625,4359.882088653809,3.0,3.0,2.9753274707031676,target,0,Ensemble ANY-FIRST,98.91833024721255,113.63405151424352,,,
ANY-FIRST,Outcome First M15,2026-01-05 11:30:00+00:00,2026-01-05 15:00:00+00:00,-1,4416.945,4440.459698997234,3.0,-1.0,-1.0187837615974564,stop,2,Ensemble ANY-FIRST,113.63405151424352,107.84562519188151,,,
ANY-FIRST,V1 Legacy M15,2026-01-05 23:00:00+00:00,2026-01-06 00:00:00+00:00,1,4446.615,4437.043498435291,2.0,-1.0,-1.0464568173545035,stop,3,Ensemble ANY-FIRST,107.84562519188151,102.20283570668636,,,
ANY-FIRST,V1 Legacy M15,2026-01-06 03:15:00+00:00,2026-01-06 19:30:00+00:00,1,4462.345,4437.305677294084,2.0,0.7320485547985144,0.7142272061446007,time_exit,3,Ensemble ANY-FIRST,102.20283570668636,105.85263799702848,,,
ANY-FIRST,V1 Legacy M15,2026-01-06 23:15:00+00:00,2026-01-07 01:00:00+00:00,1,4497.305,4487.690809936411,2.0,-1.0,-1.0467777833624496,stop,3,Ensemble ANY-FIRST,105.85263799702848,100.31242850874862,,,
ANY-FIRST,M15-0591 MTF,2026-01-07 02:00:00+00:00,2026-01-07 03:30:00+00:00,-1,4465.255,4478.500203791301,3.0,-1.0,-1.0337122408258654,stop,0,Ensemble ANY-FIRST,100.31242850874862,95.12771924592548,,,
ANY-FIRST,V1 Legacy M15,2026-01-07 05:45:00+00:00,2026-01-07 08:45:00+00:00,-1,4452.119,4472.356732081212,2.0,-1.0,-1.0219991004038105,stop,3,Ensemble ANY-FIRST,95.12771924592548,90.26669707128538,,,
