ensemble,month,trades,pnl_rm,ending_balance_rm
ANY-FIRST,2026-01,45,95.53450629420311,195.5345062942031
ANY-FIRST,2026-02,47,-34.37019799668309,161.16430829752002
ANY-FIRST,2026-03,54,39.4901708734925,200.65447917101253
ANY-FIRST,2026-04,55,-85.88608739693979,114.76839177407274
ANY-FIRST,2026-05,51,88.84054431726989,203.60893609134263
ANY-FIRST,2026-06,49,159.94787143535228,363.5568075266949
ANY-FIRST,2026-07,56,2.53676016639173,366.09356769308664
ANY-FIRST,2026-08,45,486.31558032070535,852.409148013792
ANY-FIRST,2026-09,30,-224.61049090383347,627.7986571099585
PRIORITY-VETO,2026-01,45,95.53450629420311,195.5345062942031
PRIORITY-VETO,2026-02,45,-16.75664551492258,178.77786077928053
PRIORITY-VETO,2026-03,54,43.806028426207575,222.5838892054881
PRIORITY-VETO,2026-04,55,-95.27252738355514,127.31136182193296
PRIORITY-VETO,2026-05,51,98.54987516335086,225.86123698528382
PRIORITY-VETO,2026-06,48,199.1986147624836,425.0598517477674
PRIORITY-VETO,2026-07,56,2.9659048542691835,428.0257566020366
PRIORITY-VETO,2026-08,45,568.5857731011407,996.6115297031773
PRIORITY-VETO,2026-09,30,-262.6079335828872,734.0035961202901
CONSENSUS-2,2026-01,13,74.4976005088574,174.4976005088574
CONSENSUS-2,2026-02,13,-49.78993066663358,124.70766984222382
CONSENSUS-2,2026-03,8,55.890410188328445,180.59808003055227
CONSENSUS-2,2026-04,15,11.028185122845628,191.6262651533979
CONSENSUS-2,2026-05,11,-19.926145525289655,171.70011962810824
CONSENSUS-2,2026-06,12,23.588522911002258,195.2886425391105
CONSENSUS-2,2026-07,12,72.52143674077823,267.8100792798887
CONSENSUS-2,2026-08,14,39.234906626649206,307.04498590653793
CONSENSUS-2,2026-09,7,-9.237841576148696,297.80714433038924
CORE+BOOSTER,2026-01,36,42.60363215381528,142.60363215381528
CORE+BOOSTER,2026-02,30,-59.6069569864039,82.99667516741138
CORE+BOOSTER,2026-03,36,42.49160549016928,125.48828065758066
CORE+BOOSTER,2026-04,35,-44.70093176711477,80.78734889046589
CORE+BOOSTER,2026-05,37,153.42375087260746,234.21109976307335
CORE+BOOSTER,2026-06,37,235.959357263744,470.17045702681736
CORE+BOOSTER,2026-07,37,-217.10574609464166,253.0647109321757
CORE+BOOSTER,2026-08,39,78.3986694551077,331.4633803872834
CORE+BOOSTER,2026-09,22,-28.366368543410886,303.0970118438725
REGIME-ROUTER,2026-01,35,148.13182261243546,248.13182261243546
REGIME-ROUTER,2026-02,27,-23.876880403560932,224.25494220887452
REGIME-ROUTER,2026-03,35,280.3034225821497,504.55836479102425
REGIME-ROUTER,2026-04,34,-25.446860767686587,479.11150402333766
REGIME-ROUTER,2026-05,33,-55.96380790214221,423.14769612119545
REGIME-ROUTER,2026-06,33,588.7470120478386,1011.894708169034
REGIME-ROUTER,2026-07,34,-284.6300317749773,727.2646763940567
REGIME-ROUTER,2026-08,31,353.8233170780253,1081.087993472082
REGIME-ROUTER,2026-09,22,-238.8034235873397,842.2845698847423
