technique,entry_time,exit_time,direction,entry,stop,target_r,gross_r,net_r,reason,priority
V1 Legacy M15,2026-01-02 01:00:00+00:00,2026-01-02 08:45:00+00:00,1,4353.695,4337.149156295635,2.0,2.0,1.973687077686757,target,3
M15-0591 MTF,2026-01-02 08:15:00+00:00,2026-01-02 13:30:00+00:00,1,4384.498,4374.355111388867,3.0,-1.0,-1.0432273109574297,stop,0
V1 Legacy M15,2026-01-02 13:15:00+00:00,2026-01-02 13:30:00+00:00,1,4399.425,4384.061197101517,2.0,-1.0,-1.0286350002604778,stop,3
Structural Frequency M15,2026-01-02 15:00:00+00:00,2026-01-05 00:15:00+00:00,-1,4352.955,4378.587032157783,3.0,-1.0,-1.0169824810346855,stop,4
M15-0591 MTF,2026-01-02 16:30:00+00:00,2026-01-04 23:15:00+00:00,-1,4321.105,4338.499979020557,3.0,-1.0,-1.0248411049814627,stop,0
V1 Legacy M15,2026-01-02 18:15:00+00:00,2026-01-04 23:15:00+00:00,-1,4314.115,4334.260602918481,3.0,-1.0,-1.021414673055242,stop,3
M15-0591 MTF,2026-01-05 00:15:00+00:00,2026-01-05 09:00:00+00:00,1,4377.625,4359.882088653809,3.0,3.0,2.9753274707031676,target,0
V1 Legacy M15,2026-01-05 06:15:00+00:00,2026-01-05 13:30:00+00:00,1,4417.889,4400.052762480986,2.0,-1.0,-1.024769175647556,stop,3
Outcome First M15,2026-01-05 11:30:00+00:00,2026-01-05 15:00:00+00:00,-1,4416.945,4440.459698997234,3.0,-1.0,-1.0187837615974564,stop,2
Structural Frequency M15,2026-01-05 14:30:00+00:00,2026-01-06 07:45:00+00:00,1,4420.905,4395.119315815294,3.0,1.6811653974150524,1.6640205934675112,time_exit,4
V1 Legacy M15,2026-01-05 23:00:00+00:00,2026-01-06 00:00:00+00:00,1,4446.615,4437.043498435291,2.0,-1.0,-1.0464568173545035,stop,3
V1 Legacy M15,2026-01-06 03:15:00+00:00,2026-01-06 19:30:00+00:00,1,4462.345,4437.305677294084,2.0,0.7320485547985144,0.7142272061446007,time_exit,3
Structural Portfolio MTF,2026-01-06 11:45:00+00:00,2026-01-07 05:00:00+00:00,1,4461.809,4447.384784487455,4.0,0.18760119034873718,0.1566684231828588,time_exit,1
Outcome First M15,2026-01-06 11:45:00+00:00,2026-01-07 05:00:00+00:00,1,4461.809,4447.384784487455,3.0,0.18760119034873718,0.1566684231828588,time_exit,2
Structural Frequency M15,2026-01-06 11:45:00+00:00,2026-01-07 05:00:00+00:00,1,4461.809,4447.384784487455,3.0,0.18760119034873718,0.1566684231828588,time_exit,4
M15-0591 MTF,2026-01-06 15:30:00+00:00,2026-01-06 15:45:00+00:00,1,4480.579,4463.884580014695,4.0,-1.0,-1.0268387820837377,stop,0
V1 Legacy M15,2026-01-06 23:15:00+00:00,2026-01-07 01:00:00+00:00,1,4497.305,4487.690809936411,2.0,-1.0,-1.0467777833624496,stop,3
M15-0591 MTF,2026-01-07 02:00:00+00:00,2026-01-07 03:30:00+00:00,-1,4465.255,4478.500203791301,3.0,-1.0,-1.0337122408258654,stop,0
V1 Legacy M15,2026-01-07 05:45:00+00:00,2026-01-07 08:45:00+00:00,-1,4452.119,4472.356732081212,2.0,-1.0,-1.0219991004038105,stop,3
M15-0591 MTF,2026-01-07 06:30:00+00:00,2026-01-07 08:45:00+00:00,-1,4454.725,4469.902278497453,3.0,-1.0,-1.02935127665179,stop,0
Structural Frequency M15,2026-01-07 07:45:00+00:00,2026-01-07 12:30:00+00:00,1,4458.665,4440.452797990826,2.0,-1.0,-1.024481745797428,stop,4
V1 Legacy M15,2026-01-07 11:45:00+00:00,2026-01-08 05:00:00+00:00,-1,4450.185,4468.183005335041,2.0,1.0506719854774254,1.0259459954737677,time_exit,3
Structural Frequency M15,2026-01-07 17:00:00+00:00,2026-01-08 02:45:00+00:00,1,4463.875,4439.0761888645275,3.0,-1.0,-1.0180003588704896,stop,4
Structural Portfolio MTF,2026-01-08 01:30:00+00:00,2026-01-08 02:00:00+00:00,1,4454.535,4443.4397037181225,3.0,-1.0,-1.0401479589803821,stop,1
V1 Legacy M15,2026-01-08 05:15:00+00:00,2026-01-08 15:15:00+00:00,-1,4426.995,4443.2153601280825,2.0,-1.0,-1.0272928280571,stop,3
Outcome First M15,2026-01-08 13:00:00+00:00,2026-01-08 20:30:00+00:00,1,4427.375,4406.747743719412,2.0,2.0,1.9785362874258436,target,2
V1 Legacy M15,2026-01-08 16:45:00+00:00,2026-01-09 10:00:00+00:00,1,4460.485,4441.940438262482,2.0,0.5570366205581984,0.5329838278142434,time_exit,3
Outcome First M15,2026-01-09 12:00:00+00:00,2026-01-09 12:45:00+00:00,1,4474.995,4466.298939202062,3.0,-1.0,-1.0514600243027399,stop,2
Structural Portfolio MTF,2026-01-09 14:00:00+00:00,2026-01-12 00:45:00+00:00,1,4482.178,4457.757192841831,4.0,4.0,3.981646069390869,target,1
Outcome First M15,2026-01-09 14:00:00+00:00,2026-01-12 00:30:00+00:00,1,4482.178,4457.757192841831,3.0,3.0,2.981646069390869,target,2
Structural Frequency M15,2026-01-09 14:00:00+00:00,2026-01-12 00:30:00+00:00,1,4482.178,4457.757192841831,3.0,3.0,2.981646069390869,target,4
V1 Legacy M15,2026-01-09 15:30:00+00:00,2026-01-12 00:45:00+00:00,1,4505.105,4477.9209063124845,3.0,3.0,2.983427422478061,target,3
M15-0591 MTF,2026-01-12 01:30:00+00:00,2026-01-12 11:45:00+00:00,1,4582.325,4560.545551210942,4.0,0.43710931769693656,0.41606964380811806,time_exit,0
V1 Legacy M15,2026-01-12 05:45:00+00:00,2026-01-12 22:00:00+00:00,1,4581.495,4562.253549023318,3.0,0.8861078107187564,0.8622972623066222,time_exit,3
Structural Portfolio MTF,2026-01-12 13:00:00+00:00,2026-01-12 23:15:00+00:00,1,4590.285,4577.452279810825,4.0,-1.0,-1.0357701635532583,stop,1
Outcome First M15,2026-01-12 13:00:00+00:00,2026-01-12 16:15:00+00:00,1,4590.285,4577.452279810825,3.0,3.0,2.9642298364467417,target,2
Structural Frequency M15,2026-01-12 13:00:00+00:00,2026-01-12 16:15:00+00:00,1,4590.285,4577.452279810825,3.0,3.0,2.9642298364467417,target,4
Outcome First M15,2026-01-12 17:00:00+00:00,2026-01-13 06:45:00+00:00,-1,4616.675,4631.072955200949,3.0,3.0,2.9679352037454887,target,2
Structural Portfolio MTF,2026-01-13 00:15:00+00:00,2026-01-13 01:45:00+00:00,1,4592.115,4576.383411445114,4.0,-1.0,-1.029190408737036,stop,1
Structural Portfolio MTF,2026-01-13 03:00:00+00:00,2026-01-13 06:45:00+00:00,1,4593.865,4574.350970562461,4.0,-1.0,-1.0235413450343724,stop,1
V1 Legacy M15,2026-01-13 05:30:00+00:00,2026-01-13 05:45:00+00:00,1,4601.125,4590.708125427659,2.0,-1.0,-1.0441699184150397,stop,3
V1 Legacy M15,2026-01-13 06:30:00+00:00,2026-01-13 13:15:00+00:00,-1,4584.725,4602.681773575089,2.0,-1.0,-1.0255320087477202,stop,3
Outcome First M15,2026-01-13 13:00:00+00:00,2026-01-13 20:45:00+00:00,1,4592.995,4576.9553120003175,3.0,-1.0,-1.0286351891638474,stop,2
M15-0591 MTF,2026-01-13 14:15:00+00:00,2026-01-13 16:30:00+00:00,1,4618.325,4598.923822214882,4.0,-1.0,-1.023804353793112,stop,0
M15-0591 MTF,2026-01-14 00:30:00+00:00,2026-01-14 10:45:00+00:00,1,4609.485,4595.722300672016,4.0,1.8993367054709893,1.8658441115390159,time_exit,0
V1 Legacy M15,2026-01-14 01:15:00+00:00,2026-01-14 17:30:00+00:00,1,4615.205,4592.670578939623,3.0,-0.1766186932131888,-0.19709938356522558,time_exit,3
Structural Portfolio MTF,2026-01-14 09:00:00+00:00,2026-01-14 14:45:00+00:00,1,4634.545,4620.506844928745,4.0,-1.0,-1.0330139179719542,stop,1
M15-0591 MTF,2026-01-14 15:30:00+00:00,2026-01-14 19:00:00+00:00,-1,4615.135,4635.929290602496,3.0,-1.0,-1.022194241141586,stop,0
