target,month,trades,wins,losses,wr,tp,sl,time_exit,net_r,expectancy,pf,max_win_streak,max_loss_streak,start_rm,end_rm,return_pct,max_dd_pct
3.0R,Jan,6,0,6,0.0000,0,6,0,-6.3526,-1.0588,0.0000,0,6,100.0000,72.1551,-27.8449,27.8449
3.0R,Feb,7,0,7,0.0000,0,7,0,-7.2302,-1.0329,0.0000,0,7,72.1551,49.7813,-31.0079,31.0079
3.0R,Mar,8,3,5,37.5000,3,5,0,3.7735,0.4717,1.7343,1,3,49.7813,57.9353,16.3795,14.6874
3.0R,Apr,16,3,13,18.7500,3,13,0,-4.7272,-0.2954,0.6530,1,8,57.9353,43.5728,-24.7905,36.6501
3.0R,May,12,4,8,33.3333,3,8,1,1.0913,0.0909,1.1293,1,4,43.5728,44.1307,1.2803,19.4983
3.0R,Jun,9,1,8,11.1111,1,8,0,-5.4334,-0.6037,0.3544,1,8,44.1307,32.9133,-25.4186,35.0967
3.0R,Jul,10,7,3,70.0000,7,3,0,17.4314,1.7431,6.5909,2,1,32.9133,73.1487,122.2468,5.3216
3.0R,Aug,11,4,7,36.3636,4,7,0,4.3483,0.3953,1.5931,2,4,73.1487,86.5797,18.3612,19.4273
3.0R,Sep,13,5,8,38.4615,5,8,0,6.3060,0.4851,1.7568,4,3,86.5797,111.7496,29.0714,14.8234
3.5R,Jan,6,0,6,0.0000,0,6,0,-6.3526,-1.0588,0.0000,0,6,100.0000,72.1551,-27.8449,27.8449
3.5R,Feb,7,0,7,0.0000,0,7,0,-7.2302,-1.0329,0.0000,0,7,72.1551,49.7813,-31.0079,31.0079
3.5R,Mar,8,3,5,37.5000,3,5,0,5.2735,0.6592,2.0262,1,3,49.7813,61.8014,24.1457,14.6874
3.5R,Apr,16,3,13,18.7500,3,13,0,-3.2272,-0.2017,0.7631,1,8,61.8014,49.5831,-19.7703,35.2706
3.5R,May,12,4,8,33.3333,3,8,1,2.5913,0.2159,1.3070,1,4,49.5831,53.5723,8.0456,19.4983
3.5R,Jun,9,1,8,11.1111,0,8,1,-6.6615,-0.7402,0.2084,1,8,53.5723,37.8200,-29.4039,35.0967
3.5R,Jul,10,7,3,70.0000,7,3,0,20.9314,2.0931,7.7135,2,1,37.8200,97.7504,158.4623,5.3216
3.5R,Aug,10,4,6,40.0000,4,6,0,7.3903,0.7390,2.1750,2,3,97.7504,133.0623,36.1245,14.9987
3.5R,Sep,13,4,9,30.7692,4,9,0,4.3060,0.3312,1.4587,3,4,133.0623,154.5873,16.1767,19.3085
