target,year,trades,wr,tp,sl,time_exit,net_r,expectancy,pf,max_win_streak,max_loss_streak,end_rm,return_pct,max_dd_pct
3.0R,2017,118,23.7288,27,90,1,-22.5207,-0.1909,0.7767,3,12,21.6115,-78.3885,87.9128
3.0R,2018,132,27.2727,34,96,2,-6.2641,-0.0475,0.9411,4,8,45.2902,-54.7098,60.3056
3.0R,2019,136,27.9412,34,97,5,-7.3305,-0.0539,0.9327,4,18,42.5794,-57.4206,75.6898
3.0R,2020,137,20.4380,21,107,9,-49.3861,-0.3605,0.5680,2,19,5.8691,-94.1309,95.5278
3.0R,2021,140,23.5714,23,104,13,-37.0894,-0.2649,0.6721,4,20,10.5834,-89.4166,94.3386
3.0R,2022,151,28.4768,39,106,6,4.8361,0.0320,1.0423,5,12,73.5836,-26.4164,61.9543
3.0R,2023,107,36.4486,33,67,7,28.6062,0.2673,1.3904,5,12,271.6509,171.6509,66.5267
3.0R,2024,132,31.8182,34,90,8,11.6145,0.0880,1.1193,6,11,109.8293,9.8293,54.0719
3.0R,2025,112,27.6786,25,81,6,-7.6950,-0.0687,0.9108,3,22,46.9561,-53.0439,80.2834
3.0R,2026,92,29.3478,26,65,1,9.2072,0.1001,1.1354,4,13,111.7496,11.7496,71.3577
3.5R,2017,111,19.8198,21,89,1,-28.4076,-0.2559,0.7156,3,12,15.8941,-84.1059,90.2010
3.5R,2018,126,26.9841,29,92,5,3.8598,0.0306,1.0378,4,10,71.0109,-28.9891,59.9716
3.5R,2019,130,24.6154,26,98,6,-13.5623,-0.1043,0.8765,3,27,30.3463,-69.6537,84.4653
3.5R,2020,133,21.0526,19,103,11,-40.3175,-0.3031,0.6340,2,18,8.8659,-91.1341,93.5297
3.5R,2021,131,22.1374,20,100,11,-32.4279,-0.2475,0.7009,3,19,12.9385,-87.0615,93.1894
3.5R,2022,143,25.1748,28,105,10,-5.1921,-0.0363,0.9543,4,14,44.4042,-55.5958,71.6732
3.5R,2023,97,37.1134,29,60,8,39.8435,0.4108,1.6065,5,10,453.2927,353.2927,51.5066
3.5R,2024,123,30.8943,31,85,7,20.8300,0.1693,1.2261,5,11,163.8885,63.8885,55.5106
3.5R,2025,108,24.0741,19,82,7,-14.0450,-0.1300,0.8394,2,21,33.6354,-66.3646,82.1747
3.5R,2026,91,28.5714,24,65,2,17.0211,0.1870,1.2503,3,13,154.5873,54.5873,65.2298
