year,technique,session,direction_text,router_mode,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Outcome First M15,LONDON,LONG,MIXED,<18,11,-11.531332505506269,-1.0483029550460243,0.0
2024,Structural Portfolio MTF,LONDON,SHORT,MIXED,18-22,9,-7.361410443009791,-0.8179344936677545,11.11111111111111
2024,Structural Portfolio MTF,NEW_YORK,SHORT,MIXED,<18,10,-6.347080482341906,-0.6347080482341906,20.0
2024,Structural Portfolio MTF,NEW_YORK,SHORT,MIXED,30+,6,-6.1988140279417285,-1.0331356713236215,0.0
2024,V1 Legacy M15,OTHER,SHORT,TREND,18-22,6,-5.647280751967395,-0.9412134586612325,0.0
2026,Structural Frequency M15,LONDON,SHORT,MIXED,22-30,5,-5.181412218842841,-1.036282443768568,0.0
2024,V1 Legacy M15,LONDON,LONG,TREND,30+,5,-5.1470702992611725,-1.0294140598522346,0.0
2026,Structural Portfolio MTF,LONDON,SHORT,MIXED,30+,5,-5.1348067338104615,-1.0269613467620924,0.0
2026,Structural Frequency M15,NEW_YORK,SHORT,MIXED,30+,6,-5.13250058694261,-0.855416764490435,0.0
2025,Structural Portfolio MTF,LONDON,LONG,MIXED,<18,5,-4.7959891565781785,-0.9591978313156357,0.0
2024,Outcome First M15,NEW_YORK,LONG,TREND,22-30,5,-4.543985629854517,-0.9087971259709035,0.0
2024,Structural Portfolio MTF,LONDON,LONG,MIXED,18-22,4,-4.251153060606841,-1.0627882651517102,0.0
2024,M15-0591 MTF,LONDON,LONG,TREND,22-30,4,-4.21783668946606,-1.054459172366515,0.0
2025,Structural Frequency M15,LONDON,SHORT,MIXED,22-30,4,-4.149599238702034,-1.0373998096755086,0.0
2026,M15-0591 MTF,ASIA,SHORT,TREND,30+,4,-4.09950584120129,-1.0248764603003224,0.0
2026,V1 Legacy M15,OTHER,LONG,TREND,22-30,4,-4.075883685807495,-1.0189709214518738,0.0
2026,Structural Portfolio MTF,ASIA,LONG,TREND,30+,5,-3.5610554335567,-0.71221108671134,20.0
2026,V1 Legacy M15,ASIA,LONG,TREND,18-22,5,-3.3766795293438063,-0.6753359058687612,20.0
2024,Structural Portfolio MTF,LONDON,LONG,MIXED,<18,5,-3.345257183616608,-0.6690514367233216,20.0
2024,Structural Portfolio MTF,ASIA,LONG,TREND,30+,3,-3.2100499498376065,-1.0700166499458688,0.0
2025,Structural Portfolio MTF,LONDON,LONG,TREND,18-22,3,-3.182105325484125,-1.060701775161375,0.0
2024,Structural Frequency M15,LONDON,LONG,MIXED,30+,3,-3.1808060083007446,-1.0602686694335814,0.0
2024,M15-0591 MTF,LONDON,SHORT,TREND,22-30,3,-3.1657697971835685,-1.0552565990611895,0.0
2024,Structural Portfolio MTF,ASIA,LONG,TREND,22-30,3,-3.1632956040203126,-1.0544318680067708,0.0
2024,Structural Portfolio MTF,OTHER,SHORT,MIXED,22-30,3,-3.152615882417434,-1.0508719608058115,0.0
2025,Structural Portfolio MTF,OTHER,LONG,MIXED,22-30,3,-3.1517773082598675,-1.0505924360866226,0.0
2024,M15-0591 MTF,LONDON,SHORT,TREND,30+,3,-3.150251563565635,-1.0500838545218782,0.0
2025,Structural Portfolio MTF,ASIA,LONG,MIXED,30+,3,-3.117766230741874,-1.0392554102472913,0.0
2025,M15-0591 MTF,LONDON,SHORT,MIXED,30+,3,-3.114189803493692,-1.0380632678312307,0.0
2024,V1 Legacy M15,LONDON,SHORT,TREND,18-22,3,-3.091126775821995,-1.030375591940665,0.0
2026,Outcome First M15,LONDON,SHORT,MIXED,18-22,3,-3.09011699221789,-1.0300389974059634,0.0
2024,V1 Legacy M15,NEW_YORK,SHORT,TREND,18-22,3,-3.0682701268759294,-1.0227567089586431,0.0
2025,Structural Portfolio MTF,NEW_YORK,SHORT,MIXED,18-22,3,-3.065535272410907,-1.0218450908036356,0.0
2026,V1 Legacy M15,NEW_YORK,SHORT,TREND,22-30,3,-3.0427109329242628,-1.0142369776414208,0.0
2025,V1 Legacy M15,OTHER,LONG,TREND,30+,16,-2.873349544994157,-0.17958434656213482,31.25
2025,Structural Portfolio MTF,NEW_YORK,SHORT,MIXED,<18,3,-2.5118823028483996,-0.8372941009494665,0.0
2025,Structural Portfolio MTF,OTHER,LONG,TREND,30+,7,-2.384837070161988,-0.3406910100231411,14.285714285714285
2025,Structural Portfolio MTF,OTHER,SHORT,MIXED,<18,5,-2.371298637411641,-0.47425972748232825,20.0
2024,M15-0591 MTF,ASIA,LONG,TREND,30+,4,-2.29112356898127,-0.5727808922453175,25.0
2025,Outcome First M15,LONDON,LONG,MIXED,<18,6,-2.279508998845138,-0.3799181664741897,16.666666666666664
2025,Outcome First M15,LONDON,SHORT,MIXED,<18,6,-2.2497204765464467,-0.37495341275774113,16.666666666666664
2025,Structural Portfolio MTF,ASIA,SHORT,MIXED,22-30,6,-2.207622276501473,-0.36793704608357886,16.666666666666664
2026,V1 Legacy M15,OTHER,LONG,TREND,18-22,3,-2.1858485025715844,-0.7286161675238615,0.0
2025,Structural Portfolio MTF,LONDON,LONG,MIXED,30+,6,-2.163311452007349,-0.3605519086678915,16.666666666666664
2026,Outcome First M15,LONDON,LONG,MIXED,<18,5,-2.152151731322631,-0.43043034626452614,20.0
2026,V1 Legacy M15,LONDON,SHORT,TREND,30+,6,-2.1480484738623016,-0.3580080789770503,16.666666666666664
2024,M15-0591 MTF,LONDON,LONG,MIXED,18-22,2,-2.1378757355756672,-1.0689378677878336,0.0
2024,Outcome First M15,LONDON,LONG,TREND,22-30,2,-2.1351356997810935,-1.0675678498905468,0.0
2024,Structural Portfolio MTF,ASIA,SHORT,TREND,22-30,2,-2.1329002283066925,-1.0664501141533462,0.0
2024,M15-0591 MTF,LONDON,SHORT,MIXED,<18,2,-2.121912594965594,-1.060956297482797,0.0
2024,Structural Frequency M15,LONDON,SHORT,MIXED,<18,2,-2.1206476960562792,-1.0603238480281396,0.0
2024,Structural Portfolio MTF,LONDON,SHORT,MIXED,30+,2,-2.1206109061609615,-1.0603054530804807,0.0
2024,M15-0591 MTF,LONDON,LONG,MIXED,<18,2,-2.1169827354250836,-1.0584913677125418,0.0
2024,Structural Portfolio MTF,ASIA,LONG,MIXED,<18,2,-2.1094196666038734,-1.0547098333019367,0.0
2024,V1 Legacy M15,ASIA,SHORT,TREND,22-30,2,-2.1068374833619985,-1.0534187416809992,0.0
2024,Structural Portfolio MTF,ASIA,SHORT,MIXED,22-30,2,-2.0965600128586503,-1.0482800064293252,0.0
2025,M15-0591 MTF,LONDON,LONG,TREND,18-22,2,-2.0954512102800846,-1.0477256051400423,0.0
2026,M15-0591 MTF,LONDON,SHORT,MIXED,<18,2,-2.084937479933134,-1.042468739966567,0.0
2024,Structural Portfolio MTF,LONDON,LONG,TREND,30+,2,-2.084684358155712,-1.042342179077856,0.0
2024,M15-0591 MTF,NEW_YORK,LONG,MIXED,<18,2,-2.083057714921548,-1.041528857460774,0.0
2024,M15-0591 MTF,ASIA,SHORT,TREND,22-30,2,-2.078931189705584,-1.039465594852792,0.0
2024,Outcome First M15,LONDON,LONG,MIXED,22-30,2,-2.0749656393681994,-1.0374828196840997,0.0
2026,Outcome First M15,OTHER,LONG,MIXED,<18,2,-2.074764589093733,-1.0373822945468665,0.0
2026,M15-0591 MTF,ASIA,LONG,MIXED,30+,2,-2.0714915770285303,-1.0357457885142651,0.0
2025,Structural Portfolio MTF,ASIA,LONG,MIXED,18-22,2,-2.0690477684832023,-1.0345238842416011,0.0
2025,V1 Legacy M15,OTHER,SHORT,TREND,30+,2,-2.0674228073951535,-1.0337114036975767,0.0
2024,M15-0591 MTF,NEW_YORK,LONG,MIXED,18-22,2,-2.0654757049887422,-1.0327378524943711,0.0
2024,V1 Legacy M15,OTHER,SHORT,TREND,30+,2,-2.0653961538342394,-1.0326980769171197,0.0
2025,Outcome First M15,LONDON,LONG,TREND,22-30,2,-2.0648767003369377,-1.0324383501684689,0.0
2025,Outcome First M15,LONDON,LONG,MIXED,22-30,2,-2.0619078556839225,-1.0309539278419613,0.0
2026,Structural Frequency M15,LONDON,SHORT,MIXED,30+,2,-2.0550081563883085,-1.0275040781941542,0.0
2026,Structural Portfolio MTF,LONDON,SHORT,MIXED,22-30,2,-2.052064017642574,-1.026032008821287,0.0
2026,Outcome First M15,LONDON,SHORT,MIXED,<18,2,-2.0504458591319734,-1.0252229295659867,0.0
2026,Outcome First M15,NEW_YORK,LONG,TREND,30+,2,-2.0500685503752774,-1.0250342751876387,0.0
2026,V1 Legacy M15,NEW_YORK,LONG,TREND,22-30,2,-2.0433085574233383,-1.0216542787116691,0.0
2026,Structural Frequency M15,NEW_YORK,SHORT,MIXED,22-30,2,-2.0385092502939335,-1.0192546251469667,0.0
2026,Structural Portfolio MTF,NEW_YORK,SHORT,TREND,30+,2,-2.031273604461083,-1.0156368022305415,0.0
2026,Outcome First M15,LONDON,LONG,MIXED,30+,2,-2.0236416265620885,-1.0118208132810442,0.0
2024,Outcome First M15,NEW_YORK,LONG,MIXED,22-30,3,-1.963911941479837,-0.6546373138266123,33.33333333333333
2024,Structural Portfolio MTF,NEW_YORK,LONG,TREND,30+,5,-1.8020424671206676,-0.3604084934241335,20.0
2024,V1 Legacy M15,OTHER,SHORT,TREND,22-30,5,-1.7294070409275932,-0.34588140818551866,40.0
2024,Structural Frequency M15,NEW_YORK,SHORT,MIXED,30+,5,-1.6577263946292593,-0.33154527892585184,20.0
2024,M15-0591 MTF,NEW_YORK,SHORT,TREND,30+,2,-1.6409192343370456,-0.8204596171685228,0.0
2025,Structural Frequency M15,NEW_YORK,LONG,MIXED,<18,7,-1.583950528974835,-0.22627864699640501,28.57142857142857
2024,M15-0591 MTF,LONDON,LONG,TREND,30+,4,-1.5099965908512338,-0.37749914771280846,25.0
2024,Outcome First M15,NEW_YORK,SHORT,TREND,30+,2,-1.4417569293062025,-0.7208784646531012,0.0
2024,M15-0591 MTF,OTHER,LONG,MIXED,<18,2,-1.4087439468215566,-0.7043719734107783,0.0
2024,Structural Portfolio MTF,OTHER,LONG,MIXED,22-30,2,-1.3218972144595056,-0.6609486072297528,0.0
2024,Structural Portfolio MTF,OTHER,LONG,MIXED,<18,7,-1.2612502703523842,-0.1801786100503406,28.57142857142857
2024,V1 Legacy M15,ASIA,LONG,TREND,22-30,4,-1.2356291499423566,-0.30890728748558915,25.0
2025,Structural Portfolio MTF,ASIA,LONG,MIXED,<18,5,-1.215892920083738,-0.2431785840167476,20.0
2024,M15-0591 MTF,NEW_YORK,LONG,TREND,18-22,2,-1.1678248748934894,-0.5839124374467447,0.0
2025,V1 Legacy M15,OTHER,SHORT,TREND,18-22,4,-1.158258139071928,-0.289564534767982,25.0
2025,Structural Frequency M15,LONDON,SHORT,MIXED,18-22,4,-1.148115189779782,-0.2870287974449455,25.0
2025,Structural Frequency M15,NEW_YORK,LONG,MIXED,22-30,2,-1.1426008941974788,-0.5713004470987394,0.0
2024,Outcome First M15,OTHER,LONG,MIXED,18-22,1,-1.1205050652223583,-1.1205050652223583,0.0
2026,M15-0591 MTF,ASIA,SHORT,TREND,22-30,2,-1.102629956866668,-0.551314978433334,0.0
2025,V1 Legacy M15,ASIA,SHORT,TREND,30+,4,-1.0893205262151087,-0.27233013155377717,25.0
2025,Structural Portfolio MTF,ASIA,SHORT,MIXED,18-22,1,-1.0848377182064244,-1.0848377182064244,0.0
2024,Structural Frequency M15,NEW_YORK,LONG,MIXED,22-30,1,-1.0845620723594358,-1.0845620723594358,0.0
2024,M15-0591 MTF,OTHER,SHORT,MIXED,30+,1,-1.082566814057112,-1.082566814057112,0.0
2025,Structural Portfolio MTF,ASIA,SHORT,MIXED,<18,1,-1.0824277665677045,-1.0824277665677045,0.0
2026,V1 Legacy M15,ASIA,SHORT,TREND,22-30,4,-1.0777791596254236,-0.2694447899063559,25.0
2024,Structural Portfolio MTF,OTHER,LONG,TREND,22-30,1,-1.0761917042137326,-1.0761917042137326,0.0
2024,M15-0591 MTF,LONDON,SHORT,TREND,18-22,1,-1.076149251544514,-1.076149251544514,0.0
2024,M15-0591 MTF,ASIA,LONG,MIXED,22-30,1,-1.0698952764830783,-1.0698952764830783,0.0
2024,Structural Portfolio MTF,LONDON,SHORT,MIXED,22-30,1,-1.0647692911117301,-1.0647692911117301,0.0
2024,Structural Frequency M15,OTHER,SHORT,MIXED,<18,1,-1.0638053178909708,-1.0638053178909708,0.0
2024,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,18-22,1,-1.063514535848665,-1.063514535848665,0.0
2025,Structural Portfolio MTF,OTHER,SHORT,MIXED,22-30,1,-1.0633037679662432,-1.0633037679662432,0.0
2024,V1 Legacy M15,ASIA,SHORT,TREND,18-22,1,-1.0629326604911367,-1.0629326604911367,0.0
2025,M15-0591 MTF,LONDON,SHORT,MIXED,<18,1,-1.0619590784495787,-1.0619590784495787,0.0
