year,session,direction_text,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,LONDON,LONG,85,-22.697372449010054,-0.26702791116482416,23.52941176470588
2024,LONDON,SHORT,59,-19.954808145554658,-0.3382170872127908,22.033898305084744
2024,NEW_YORK,SHORT,64,-12.952545201498943,-0.20238351877342098,29.6875
2026,OTHER,LONG,28,-6.411253588047639,-0.22897334243027284,21.428571428571427
2025,OTHER,SHORT,22,-3.813738517686758,-0.17335175080394355,27.27272727272727
2025,ASIA,SHORT,19,-3.2702622876945986,-0.17211906777339991,26.31578947368421
2026,ASIA,LONG,35,-2.4766543374566634,-0.07076155249876181,34.285714285714285
2026,LONDON,SHORT,50,-2.4271561167199107,-0.04854312233439821,28.000000000000004
2025,NEW_YORK,SHORT,28,-1.963380552878145,-0.07012073403136232,35.714285714285715
2024,ASIA,SHORT,22,-0.1989552458603785,-0.009043420266380841,27.27272727272727
2024,ASIA,LONG,34,0.10487458923561932,0.003084546742224098,35.294117647058826
2024,OTHER,SHORT,30,1.5093931448367541,0.0503131048278918,33.33333333333333
2025,LONDON,SHORT,48,3.552976143635492,0.07402033632573941,35.41666666666667
2026,NEW_YORK,SHORT,46,6.738099393217192,0.1464804215916781,36.95652173913043
2025,OTHER,LONG,46,8.260973074258985,0.17958637117954315,36.95652173913043
2026,LONDON,LONG,37,8.559704639787483,0.23134336864290495,40.54054054054054
2024,NEW_YORK,LONG,88,10.86176834797934,0.1234291857724925,40.909090909090914
2024,OTHER,LONG,51,12.666879372640427,0.24837018377726328,43.13725490196079
2026,ASIA,SHORT,30,14.081362685803406,0.4693787561934469,36.666666666666664
2026,OTHER,SHORT,28,16.091290022745365,0.574688929383763,53.57142857142857
2025,LONDON,LONG,78,16.20879839251723,0.20780510759637474,38.46153846153847
2025,NEW_YORK,LONG,70,24.0807640146138,0.34401091449448284,47.14285714285714
2025,ASIA,LONG,54,27.574237266869346,0.5106340234605434,44.44444444444444
2026,NEW_YORK,LONG,30,28.143716679547413,0.9381238893182471,56.666666666666664
