year,session,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,LONDON,<18,35,-20.945904871378755,-0.5984544248965359,14.285714285714285
2024,ASIA,22-30,18,-11.99965413361849,-0.6666474518676939,11.11111111111111
2024,LONDON,18-22,32,-11.492348976885125,-0.35913590552766017,18.75
2024,LONDON,30+,40,-5.800085027691874,-0.14500212569229684,25.0
2024,LONDON,22-30,37,-4.413841718608962,-0.11929301942186385,32.432432432432435
2026,ASIA,18-22,14,-4.235865698444531,-0.3025618356031808,28.57142857142857
2026,OTHER,<18,4,-4.1385524207162705,-1.0346381051790676,0.0
2024,OTHER,22-30,17,-3.7811449045165952,-0.2224202885009762,29.411764705882355
2024,NEW_YORK,30+,48,-3.431375999993966,-0.07148699999987429,31.25
2024,NEW_YORK,<18,42,-2.8526161636915845,-0.06791943246884725,35.714285714285715
2025,LONDON,<18,27,-2.7896953230342545,-0.10332204900126868,25.925925925925924
2026,LONDON,<18,19,-2.0772603471633855,-0.10932949195596765,31.57894736842105
2025,OTHER,22-30,15,-1.5948808108018606,-0.1063253873867907,26.666666666666668
2025,NEW_YORK,18-22,18,-1.5233914948435947,-0.08463286082464415,38.88888888888889
2026,ASIA,<18,8,-0.8116735354129618,-0.10145919192662023,25.0
2026,LONDON,18-22,14,-0.3249348260202698,-0.023209630430019272,35.714285714285715
2026,OTHER,22-30,10,-0.25240653783554357,-0.025240653783554355,30.0
2026,OTHER,18-22,16,-0.09279743844131616,-0.00579983990258226,31.25
2024,ASIA,30+,18,-0.0621345104071922,-0.003451917244844011,33.33333333333333
2024,OTHER,<18,13,1.1454170242873374,0.08810900186825672,30.76923076923077
2026,NEW_YORK,18-22,7,1.252740130455778,0.17896287577939685,42.857142857142854
2024,NEW_YORK,18-22,31,1.4787561693030344,0.04770181191300111,38.70967741935484
2025,OTHER,18-22,10,1.5147086281387616,0.15147086281387617,40.0
2025,OTHER,30+,33,1.610562219418099,0.048804915739942396,33.33333333333333
2025,ASIA,22-30,22,2.053656584568569,0.09334802657129858,31.818181818181817
2025,ASIA,<18,9,2.529539466834141,0.281059940759349,33.33333333333333
2024,NEW_YORK,22-30,31,2.714459140862911,0.08756319809235197,41.935483870967744
2025,OTHER,<18,10,2.9168445198172273,0.2916844519817227,40.0
2026,LONDON,30+,31,3.153741000931037,0.10173358067519475,32.25806451612903
2025,NEW_YORK,22-30,22,3.485752770501879,0.15844330775008542,40.909090909090914
2024,ASIA,<18,8,3.5270347825411354,0.44087934781764193,37.5
2025,NEW_YORK,<18,20,4.139231030748804,0.2069615515374402,40.0
2025,LONDON,18-22,24,4.992113258428657,0.20800471910119403,45.83333333333333
2026,LONDON,22-30,23,5.381002695320191,0.23395663892696483,34.78260869565217
2025,LONDON,30+,43,5.949476608964182,0.1383599211387019,37.2093023255814
2024,OTHER,18-22,22,6.290867763187342,0.2859485346903337,45.45454545454545
2026,NEW_YORK,22-30,24,6.389772803949372,0.2662405334978905,41.66666666666667
2025,ASIA,18-22,8,6.627380348118125,0.8284225435147656,50.0
2026,ASIA,22-30,12,7.6385041794894235,0.636542014957452,41.66666666666667
2024,ASIA,18-22,12,8.440673204859788,0.7033894337383156,58.333333333333336
2026,ASIA,30+,31,9.013743402714812,0.29076591621660686,38.70967741935484
2024,OTHER,30+,29,10.521132634519098,0.3627976770523827,44.827586206896555
2025,LONDON,22-30,32,11.60987999179414,0.36280874974356686,40.625
2025,ASIA,30+,34,13.09339857965391,0.385099958225115,44.11764705882353
2026,NEW_YORK,30+,31,13.595018334419764,0.43854897852966984,41.935483870967744
2026,NEW_YORK,<18,14,13.644284803939689,0.9745917717099778,57.14285714285714
2026,OTHER,30+,26,14.163792831690857,0.5447612627573407,50.0
2025,NEW_YORK,30+,38,16.015791155328568,0.4214681882981202,50.0
