year,session,router_mode,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,LONDON,MIXED,90,-31.179975249996122,-0.3464441694444014,23.333333333333332
2026,LONDON,MIXED,59,-11.914965832459538,-0.2019485734315176,28.8135593220339
2024,LONDON,TREND,54,-11.472205344568591,-0.21244824712164057,22.22222222222222
2024,ASIA,TREND,39,-6.122533095372914,-0.15698802808648496,30.76923076923077
2025,ASIA,MIXED,26,-5.924559522050789,-0.22786767392503032,23.076923076923077
2024,NEW_YORK,MIXED,94,-1.2942431082998331,-0.013768543705317373,39.361702127659576
2024,NEW_YORK,TREND,58,-0.7965337452197715,-0.013733340434823646,31.03448275862069
2025,OTHER,TREND,44,0.2373513464327316,0.005394348782562081,31.818181818181817
2026,OTHER,MIXED,19,0.4672101832444475,0.024590009644444605,36.84210526315789
2026,ASIA,TREND,43,0.9558529965908038,0.022229139455600087,32.55813953488372
2024,OTHER,MIXED,33,2.5790540818199954,0.07815315399454531,36.36363636363637
2025,OTHER,MIXED,24,4.209883210139496,0.17541180042247898,37.5
2024,ASIA,MIXED,17,6.028452438748155,0.35461484933812676,35.294117647058826
2025,NEW_YORK,TREND,39,6.0995278205645365,0.15639814924524453,43.58974358974359
2025,LONDON,TREND,40,7.739354217652082,0.19348385544130203,37.5
2026,OTHER,TREND,37,9.21282625145328,0.24899530409333187,37.83783783783784
2026,ASIA,MIXED,22,10.64885535175594,0.48403887962527,40.909090909090914
2026,NEW_YORK,MIXED,43,11.099680099268118,0.2581320953318167,41.86046511627907
2024,OTHER,TREND,48,11.597218435657187,0.24160871740952472,41.66666666666667
2025,LONDON,MIXED,86,12.022420318500643,0.13979558509884468,37.2093023255814
2025,NEW_YORK,MIXED,59,16.017855641171117,0.27148907866391725,44.06779661016949
2026,LONDON,TREND,28,18.04751435552711,0.6445540841259682,42.857142857142854
2026,NEW_YORK,TREND,33,23.782135973496487,0.7206707870756511,48.484848484848484
2025,ASIA,TREND,47,30.228534501225536,0.6431603085367136,48.93617021276596
