year,session,range_atr_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,LONDON,0.6-1.0 ATR,67,-21.97025888786406,-0.3279143117591651,23.88059701492537
2024,LONDON,1.0-1.5 ATR,42,-17.69478674377107,-0.42130444628026353,16.666666666666664
2024,NEW_YORK,1.5+ ATR,46,-10.096262309494351,-0.2194839632498772,30.434782608695656
2024,LONDON,1.5+ ATR,27,-8.59614832852816,-0.3183758640195615,22.22222222222222
2024,OTHER,1.0-1.5 ATR,26,-6.69313736931363,-0.25742836035821653,30.76923076923077
2025,OTHER,<0.6 ATR,9,-6.560371740147773,-0.7289301933497526,11.11111111111111
2026,LONDON,<0.6 ATR,6,-6.1644948357579885,-1.0274158059596648,0.0
2026,OTHER,<0.6 ATR,8,-5.580058915723448,-0.697507364465431,12.5
2026,ASIA,1.5+ ATR,10,-4.297575475962667,-0.42975754759626666,20.0
2024,ASIA,0.6-1.0 ATR,22,-4.232696206630774,-0.19239528211958062,27.27272727272727
2026,ASIA,<0.6 ATR,3,-3.102847447794834,-1.034282482598278,0.0
2024,OTHER,<0.6 ATR,20,-2.909075207834459,-0.14545376039172295,35.0
2025,NEW_YORK,<0.6 ATR,5,-2.228209634618261,-0.44564192692365223,20.0
2025,LONDON,1.0-1.5 ATR,52,-2.138707747457995,-0.04112899514342298,32.69230769230769
2026,OTHER,1.5+ ATR,9,-1.3319091812029675,-0.14798990902255194,33.33333333333333
2024,OTHER,1.5+ ATR,6,-0.9240853726245108,-0.1540142287707518,16.666666666666664
2024,NEW_YORK,<0.6 ATR,6,-0.5100052786962168,-0.0850008797827028,33.33333333333333
2025,ASIA,<0.6 ATR,10,-0.2503038415304004,-0.02503038415304004,30.0
2025,OTHER,1.5+ ATR,6,0.30350040013227986,0.05058340002204664,33.33333333333333
2025,NEW_YORK,1.5+ ATR,24,0.5921338230962458,0.024672242629010244,37.5
2024,ASIA,<0.6 ATR,4,0.7186510354628166,0.17966275886570415,25.0
2024,ASIA,1.0-1.5 ATR,21,1.0116961350443028,0.04817600643068108,33.33333333333333
2024,NEW_YORK,0.6-1.0 ATR,46,1.3509760681999732,0.029369044960868982,41.30434782608695
2025,LONDON,1.5+ ATR,13,1.3759293753132078,0.10584072117793906,38.46153846153847
2024,ASIA,1.5+ ATR,9,2.408268379498894,0.26758537549987715,44.44444444444444
2025,ASIA,1.5+ ATR,9,2.5637857402526834,0.28486508225029816,44.44444444444444
2026,LONDON,1.5+ ATR,12,2.757858688171372,0.22982155734761434,33.33333333333333
2025,OTHER,0.6-1.0 ATR,25,2.7758806616773275,0.1110352264670931,40.0
2026,NEW_YORK,1.5+ ATR,16,3.065919160400192,0.191619947525012,37.5
2026,ASIA,0.6-1.0 ATR,30,3.325347332630951,0.11084491108769837,33.33333333333333
2026,LONDON,0.6-1.0 ATR,39,4.430041957570323,0.11359081942488007,35.8974358974359
2026,LONDON,1.0-1.5 ATR,30,5.109142713083867,0.17030475710279555,36.666666666666664
2025,NEW_YORK,0.6-1.0 ATR,31,5.128119731587002,0.16542321714796782,41.935483870967744
2025,ASIA,0.6-1.0 ATR,28,5.29275788566593,0.18902706734521177,32.142857142857146
2024,LONDON,<0.6 ATR,8,5.6090133655985746,0.7011266706998218,50.0
2026,NEW_YORK,<0.6 ATR,2,5.968728167652346,2.984364083826173,100.0
2026,OTHER,0.6-1.0 ATR,23,6.668735448111782,0.28994501948312096,43.47826086956522
2024,NEW_YORK,1.0-1.5 ATR,54,7.164514666470989,0.13267619752724055,37.03703703703704
2025,OTHER,1.0-1.5 ATR,28,7.928225234910393,0.28315090124679976,35.714285714285715
2025,LONDON,<0.6 ATR,7,8.75081593327743,1.2501165618967758,57.14285714285714
2026,OTHER,1.0-1.5 ATR,16,9.92326908351236,0.6202043177195224,43.75
2026,NEW_YORK,1.0-1.5 ATR,35,11.516072111449803,0.3290306317557087,40.0
2025,LONDON,0.6-1.0 ATR,54,11.773736975020082,0.2180321662040756,38.88888888888889
2026,NEW_YORK,0.6-1.0 ATR,23,14.331096633262263,0.6230911579679245,52.17391304347826
2026,ASIA,1.0-1.5 ATR,22,15.679783939473293,0.7127174517942406,50.0
2025,ASIA,1.0-1.5 ATR,26,16.697735194786535,0.6422205844148667,50.0
2025,NEW_YORK,1.0-1.5 ATR,38,18.625339541670666,0.49014051425449123,52.63157894736842
2024,OTHER,0.6-1.0 ATR,29,24.70257046724978,0.8518127747327511,55.172413793103445
