year,technique,direction_text,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,SHORT,57,-26.188929661394017,-0.4594549063402459,19.298245614035086
2024,V1 Legacy M15,SHORT,32,-20.15712577169655,-0.6299101803655172,15.625
2024,Outcome First M15,LONG,52,-10.808980305794313,-0.20786500588065987,25.0
2024,Structural Portfolio MTF,LONG,66,-10.049965201439225,-0.15227220002180644,31.818181818181817
2026,V1 Legacy M15,LONG,30,-9.72739984970801,-0.32424666165693367,23.333333333333332
2025,V1 Legacy M15,SHORT,18,-8.550419778291557,-0.4750233210161976,16.666666666666664
2026,Structural Frequency M15,SHORT,25,-7.01771877651794,-0.2807087510607176,28.000000000000004
2025,M15-0591 MTF,SHORT,13,-4.9488026253249,-0.3806771250249923,23.076923076923077
2026,Outcome First M15,LONG,22,-0.09888573817951002,-0.004494806280886819,31.818181818181817
2025,Structural Portfolio MTF,SHORT,43,1.7257142639203034,0.04013288985861171,30.23255813953488
2024,M15-0591 MTF,LONG,54,2.8348558769807664,0.052497331055199374,35.18518518518518
2025,Outcome First M15,SHORT,16,2.8615872504191278,0.17884920315119548,43.75
2024,Structural Frequency M15,SHORT,25,2.8851840572734053,0.11540736229093622,40.0
2024,Outcome First M15,SHORT,27,3.036586445417279,0.1124661646450844,40.74074074074074
2025,Structural Frequency M15,SHORT,27,3.417515674653016,0.12657465461677836,44.44444444444444
2026,M15-0591 MTF,SHORT,24,5.991444655476222,0.24964352731150927,29.166666666666668
2025,Structural Portfolio MTF,LONG,79,7.480100939802751,0.09468482202281964,34.177215189873415
2026,Outcome First M15,SHORT,25,8.182584392434874,0.327303375697395,40.0
2024,Structural Frequency M15,LONG,32,8.205750236779817,0.2564296948993693,50.0
2024,M15-0591 MTF,SHORT,34,8.827369482322656,0.25962851418596045,32.35294117647059
2026,Structural Portfolio MTF,LONG,38,9.71734821820803,0.2557196899528429,39.473684210526315
2024,V1 Legacy M15,LONG,54,10.754489254318285,0.19915720841330156,38.88888888888889
2025,Structural Frequency M15,LONG,38,11.524885954585612,0.30328647248909507,44.73684210526316
2026,V1 Legacy M15,SHORT,37,11.896740771227913,0.32153353435751114,43.24324324324324
2026,Structural Frequency M15,LONG,21,12.660197800384116,0.6028665619230532,52.38095238095239
2025,Outcome First M15,LONG,34,14.496378182460152,0.42636406419000444,47.05882352941176
2026,M15-0591 MTF,LONG,19,15.264252963125967,0.8033817349013667,52.63157894736842
2026,Structural Portfolio MTF,SHORT,43,15.430544942424984,0.35884988238197635,39.53488372093023
2025,V1 Legacy M15,LONG,58,17.145370431348493,0.2956098350232499,43.103448275862064
2025,M15-0591 MTF,LONG,39,25.478037240062353,0.653283006155445,48.717948717948715
