year,technique,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2026,V1 Legacy M15,22-30,21,-11.439406109737394,-0.5447336242732093,14.285714285714285
2024,Structural Portfolio MTF,<18,42,-11.382616963327035,-0.27101468960302466,26.190476190476193
2024,Outcome First M15,22-30,19,-11.334821860262672,-0.5965695715927722,21.052631578947366
2024,Structural Portfolio MTF,18-22,23,-11.280672811744966,-0.4904640352932594,21.73913043478261
2024,Outcome First M15,<18,27,-8.232093018673126,-0.3048923340249306,22.22222222222222
2025,Structural Portfolio MTF,18-22,21,-7.482929649149362,-0.3563299832928268,28.57142857142857
2024,Structural Portfolio MTF,30+,33,-7.424660498725013,-0.22498971208257615,27.27272727272727
2024,Structural Portfolio MTF,22-30,25,-6.150944589036229,-0.24603778356144915,28.000000000000004
2024,V1 Legacy M15,18-22,29,-5.665823958072056,-0.19537323993351918,24.137931034482758
2026,M15-0591 MTF,<18,4,-4.136411803510841,-1.0341029508777102,0.0
2026,Outcome First M15,18-22,9,-3.898820926111755,-0.43320232512352835,22.22222222222222
2026,V1 Legacy M15,18-22,14,-3.5185584426428314,-0.2513256030459165,28.57142857142857
2026,Outcome First M15,<18,14,-2.4548422529425378,-0.17534587521018127,28.57142857142857
2024,M15-0591 MTF,<18,13,-2.1822533264933215,-0.16786564049948627,23.076923076923077
2025,Outcome First M15,22-30,9,-2.1316687422650715,-0.23685208247389683,33.33333333333333
2024,V1 Legacy M15,30+,33,-2.066851828482525,-0.06263187359037954,30.303030303030305
2024,M15-0591 MTF,30+,28,-1.9082013221067666,-0.06815004721809881,32.142857142857146
2024,V1 Legacy M15,22-30,22,-1.6176967662370605,-0.07353167119259366,36.36363636363637
2026,Structural Frequency M15,22-30,14,-1.3700267196176144,-0.09785905140125817,28.57142857142857
2024,Outcome First M15,18-22,10,-1.1886061759047404,-0.11886061759047403,40.0
2025,V1 Legacy M15,30+,47,-0.9133249419374149,-0.019432445573136486,31.914893617021278
2025,Structural Frequency M15,22-30,14,-0.9068711488683429,-0.06477651063345306,35.714285714285715
2025,Structural Portfolio MTF,<18,27,-0.7892816364596182,-0.029232653202208084,25.925925925925924
2024,M15-0591 MTF,22-30,22,-0.7817261708551353,-0.035533007766142516,27.27272727272727
2024,Structural Frequency M15,30+,18,-0.35587644872313295,-0.019770913817951832,33.33333333333333
2025,M15-0591 MTF,18-22,5,-0.22884478620676618,-0.045768957241353235,20.0
2024,V1 Legacy M15,<18,2,-0.05226396458662408,-0.02613198229331204,50.0
2026,Structural Portfolio MTF,18-22,10,0.3454633304924781,0.03454633304924781,30.0
2025,Structural Frequency M15,18-22,11,0.6029607624876421,0.05481461477160383,36.36363636363637
2026,Structural Frequency M15,30+,15,0.7974952878865831,0.053166352525772204,33.33333333333333
2026,Outcome First M15,30+,12,1.1720616441164322,0.09767180367636935,33.33333333333333
2026,Structural Frequency M15,18-22,10,1.381705411394406,0.1381705411394406,50.0
2025,Outcome First M15,<18,18,1.7080033609190193,0.09488907560661218,33.33333333333333
2026,M15-0591 MTF,18-22,8,2.2893527944173635,0.28616909930217044,37.5
2024,Structural Frequency M15,22-30,15,2.40500777050996,0.16033385136733067,46.666666666666664
2025,M15-0591 MTF,<18,5,2.7097237095669264,0.5419447419133853,40.0
2024,Structural Frequency M15,<18,14,2.723158044838241,0.19451128891701722,42.857142857142854
2025,Structural Portfolio MTF,22-30,34,2.7684543620448476,0.08142512829543669,32.35294117647059
2025,Structural Frequency M15,<18,16,3.1674742603395902,0.1979671412712244,43.75
2025,Outcome First M15,30+,14,4.14092944146638,0.2957806743904557,42.857142857142854
2025,V1 Legacy M15,22-30,15,4.429352555042869,0.29529017033619126,40.0
2026,Structural Frequency M15,<18,7,4.8333050442028025,0.690472149171829,57.14285714285714
2026,Structural Portfolio MTF,30+,37,4.900006293858716,0.13243260253672207,35.13513513513514
2025,V1 Legacy M15,18-22,14,5.078923039951482,0.36278021713939157,50.0
2024,Structural Frequency M15,18-22,10,6.318644927428155,0.6318644927428154,70.0
2025,M15-0591 MTF,30+,23,6.653214181268868,0.2892701817942986,47.82608695652174
2026,M15-0591 MTF,22-30,8,7.173329757701055,0.8966662197126318,50.0
2026,Structural Portfolio MTF,<18,20,8.374747512897647,0.41873737564488234,40.0
2025,M15-0591 MTF,22-30,19,11.395141510108424,0.5997442900057065,42.10526315789473
2026,Structural Portfolio MTF,22-30,14,11.527676023384172,0.8234054302417266,57.14285714285714
2025,Structural Frequency M15,30+,24,12.07883775527974,0.5032849064699891,54.166666666666664
2024,Outcome First M15,30+,23,12.983127194463503,0.5644837910636306,43.47826086956522
2026,Outcome First M15,22-30,12,13.265300189193225,1.1054416824327686,58.333333333333336
2025,Outcome First M15,18-22,9,13.640701372758953,1.515633485862106,88.88888888888889
2025,Structural Portfolio MTF,30+,40,14.709572127287187,0.3677393031821797,40.0
2026,M15-0591 MTF,30+,23,15.929426869994613,0.6925837769562875,43.47826086956522
2024,M15-0591 MTF,18-22,25,16.534406178758644,0.6613762471503457,48.0
2026,V1 Legacy M15,30+,32,17.12730547390013,0.535228296059379,50.0
