year,technique,htf_state,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,NEUTRAL_MIX,92,-17.818498142016136,-0.19367932763061016,29.347826086956523
2024,Structural Portfolio MTF,STRONG_ALIGNED,23,-16.449892791817348,-0.7152127300790151,13.043478260869565
2024,Outcome First M15,ALIGNED_WEAK,20,-9.932147325414789,-0.4966073662707394,15.0
2024,V1 Legacy M15,STRONG_ALIGNED,81,-9.274019940725855,-0.11449407334229451,29.629629629629626
2026,Outcome First M15,ALIGNED_WEAK,10,-6.264222556238447,-0.6264222556238447,10.0
2024,M15-0591 MTF,ALIGNED_WEAK,2,-2.093110067667727,-1.0465550338338634,0.0
2026,M15-0591 MTF,ALIGNED_WEAK,2,-2.0586977683066108,-1.0293488841533054,0.0
2024,Structural Portfolio MTF,ALIGNED_WEAK,8,-1.9705039289997612,-0.24631299112497015,25.0
2024,Outcome First M15,NEUTRAL_MIX,29,-1.7723143781476516,-0.06111428890164316,37.93103448275862
2025,M15-0591 MTF,NEUTRAL_MIX,14,-1.5510793920325103,-0.1107913851451793,28.57142857142857
2024,V1 Legacy M15,NEUTRAL_MIX,4,-1.1115048950551567,-0.2778762237637892,25.0
2024,M15-0591 MTF,OPPOSED_HTF,1,-1.038145818677748,-1.038145818677748,0.0
2025,M15-0591 MTF,ALIGNED_WEAK,1,-1.035598847446374,-1.035598847446374,0.0
2026,V1 Legacy M15,NEUTRAL_MIX,1,-1.022464157036448,-1.022464157036448,0.0
2026,Outcome First M15,OPPOSED_HTF,1,-1.0178586684280668,-1.0178586684280668,0.0
2026,Outcome First M15,NEUTRAL_MIX,15,-0.505270296510389,-0.03368468643402593,40.0
2024,M15-0591 MTF,NEUTRAL_MIX,23,0.5032895666227466,0.021882155070554198,30.434782608695656
2026,Structural Portfolio MTF,NEUTRAL_MIX,56,0.5784136437108609,0.010328815066265373,33.92857142857143
2024,Structural Frequency M15,STRONG_ALIGNED,3,0.7075994608275545,0.2358664869425182,66.66666666666666
2025,Structural Portfolio MTF,ALIGNED_WEAK,4,0.8612057147585181,0.21530142868962954,25.0
2024,V1 Legacy M15,ALIGNED_WEAK,1,0.9828883184027482,0.9828883184027482,100.0
2026,Structural Frequency M15,STRONG_ALIGNED,4,1.4697946704870641,0.36744866762176603,50.0
2025,Outcome First M15,ALIGNED_WEAK,14,2.3661148891555452,0.16900820636825323,28.57142857142857
2025,Structural Portfolio MTF,STRONG_ALIGNED,34,2.7804041124840113,0.08177659154364739,32.35294117647059
2024,Structural Frequency M15,ALIGNED_WEAK,1,2.9626250851178186,2.9626250851178186,100.0
2025,Structural Frequency M15,STRONG_ALIGNED,3,2.988090824436143,0.9960302748120476,66.66666666666666
2026,V1 Legacy M15,STRONG_ALIGNED,66,3.19180507855635,0.04836068300842954,34.84848484848485
2024,Outcome First M15,STRONG_ALIGNED,30,3.932067843185406,0.1310689281061802,33.33333333333333
2026,Structural Frequency M15,NEUTRAL_MIX,42,4.172684353379113,0.09934962746140745,38.095238095238095
2025,Structural Portfolio MTF,NEUTRAL_MIX,84,5.564205376480524,0.06624054019619671,33.33333333333333
2026,M15-0591 MTF,NEUTRAL_MIX,10,5.70901782031906,0.570901782031906,40.0
2025,Outcome First M15,STRONG_ALIGNED,20,6.825409441681455,0.34127047208407274,50.0
2024,Structural Frequency M15,NEUTRAL_MIX,53,7.420709748107849,0.140013391473733,43.39622641509434
2025,Outcome First M15,NEUTRAL_MIX,16,8.166441102042281,0.5104025688776426,56.25
2025,V1 Legacy M15,STRONG_ALIGNED,76,8.594950653056937,0.1130914559612755,36.84210526315789
2026,Structural Portfolio MTF,ALIGNED_WEAK,6,10.709177430919894,1.7848629051533156,83.33333333333334
2025,Structural Frequency M15,NEUTRAL_MIX,62,11.954310804802484,0.19281146459358844,43.54838709677419
2026,Structural Portfolio MTF,STRONG_ALIGNED,19,13.860302086002259,0.7294895834738031,42.10526315789473
2024,M15-0591 MTF,STRONG_ALIGNED,62,14.290191679026151,0.23048696256493792,37.096774193548384
2026,Outcome First M15,STRONG_ALIGNED,21,15.871050175432266,0.7557642940682031,47.61904761904761
2026,M15-0591 MTF,STRONG_ALIGNED,31,17.60537756658974,0.5679154053738626,41.935483870967744
2025,M15-0591 MTF,STRONG_ALIGNED,37,23.115912854216337,0.6247544014653064,48.64864864864865
