year,technique,router_mode,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,MIXED,100,-19.789002071015897,-0.19789002071015896,28.999999999999996
2024,Structural Portfolio MTF,TREND,23,-16.449892791817348,-0.7152127300790151,13.043478260869565
2024,Outcome First M15,MIXED,49,-11.70446170356244,-0.2388665653788253,28.57142857142857
2024,V1 Legacy M15,TREND,81,-9.274019940725855,-0.11449407334229451,29.629629629629626
2026,Outcome First M15,MIXED,26,-7.787351521176903,-0.2995135200452655,26.923076923076923
2024,M15-0591 MTF,MIXED,26,-2.627966319722729,-0.10107562768164342,26.923076923076923
2025,M15-0591 MTF,MIXED,15,-2.5866782394788843,-0.17244521596525894,26.666666666666668
2026,V1 Legacy M15,MIXED,1,-1.022464157036448,-1.022464157036448,0.0
2024,V1 Legacy M15,MIXED,5,-0.12861657665240855,-0.02572331533048171,40.0
2024,Structural Frequency M15,TREND,3,0.7075994608275545,0.2358664869425182,66.66666666666666
2026,Structural Frequency M15,TREND,4,1.4697946704870641,0.36744866762176603,50.0
2025,Structural Portfolio MTF,TREND,34,2.7804041124840113,0.08177659154364739,32.35294117647059
2025,Structural Frequency M15,TREND,3,2.988090824436143,0.9960302748120476,66.66666666666666
2026,V1 Legacy M15,TREND,66,3.19180507855635,0.04836068300842954,34.84848484848485
2026,M15-0591 MTF,MIXED,12,3.6503200520124497,0.3041933376677041,33.33333333333333
2024,Outcome First M15,TREND,30,3.932067843185406,0.1310689281061802,33.33333333333333
2026,Structural Frequency M15,MIXED,42,4.172684353379113,0.09934962746140745,38.095238095238095
2025,Structural Portfolio MTF,MIXED,88,6.425411091239043,0.0730160351277164,32.95454545454545
2025,Outcome First M15,TREND,20,6.825409441681455,0.34127047208407274,50.0
2025,V1 Legacy M15,TREND,76,8.594950653056937,0.1130914559612755,36.84210526315789
2024,Structural Frequency M15,MIXED,54,10.383334833225668,0.1922839783930679,44.44444444444444
2025,Outcome First M15,MIXED,30,10.532555991197825,0.35108519970659413,43.333333333333336
2026,Structural Portfolio MTF,MIXED,62,11.287591074630756,0.18205792055856057,38.70967741935484
2025,Structural Frequency M15,MIXED,62,11.954310804802484,0.19281146459358844,43.54838709677419
2026,Structural Portfolio MTF,TREND,19,13.860302086002259,0.7294895834738031,42.10526315789473
2024,M15-0591 MTF,TREND,62,14.290191679026151,0.23048696256493792,37.096774193548384
2026,Outcome First M15,TREND,21,15.871050175432266,0.7557642940682031,47.61904761904761
2026,M15-0591 MTF,TREND,31,17.60537756658974,0.5679154053738626,41.935483870967744
2025,M15-0591 MTF,TREND,37,23.115912854216337,0.6247544014653064,48.64864864864865
