year,technique,range_atr_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Outcome First M15,1.0-1.5 ATR,28,-13.243952386646033,-0.4729982995230726,17.857142857142858
2024,Structural Portfolio MTF,0.6-1.0 ATR,61,-10.446645776519178,-0.17125648813965866,29.508196721311474
2024,Structural Portfolio MTF,1.0-1.5 ATR,29,-9.659423231056428,-0.33308355969160097,27.586206896551722
2024,Structural Portfolio MTF,1.5+ ATR,13,-8.650037550399272,-0.6653875038768671,15.384615384615385
2026,V1 Legacy M15,0.6-1.0 ATR,21,-7.749258118202487,-0.3690122913429756,23.809523809523807
2024,Structural Portfolio MTF,<0.6 ATR,20,-7.482788304858362,-0.3741394152429181,20.0
2024,V1 Legacy M15,1.5+ ATR,25,-6.114038660260764,-0.24456154641043057,24.0
2024,V1 Legacy M15,1.0-1.5 ATR,27,-5.9827061648833615,-0.22158170981049488,25.925925925925924
2026,Outcome First M15,1.5+ ATR,7,-5.7978981272224,-0.8282711610317713,14.285714285714285
2026,M15-0591 MTF,1.5+ ATR,10,-5.218679035339655,-0.5218679035339655,10.0
2024,M15-0591 MTF,0.6-1.0 ATR,31,-4.735249284607291,-0.15274997692281583,25.806451612903224
2025,V1 Legacy M15,1.5+ ATR,16,-4.487628514005225,-0.28047678212532656,25.0
2026,Structural Frequency M15,1.0-1.5 ATR,12,-4.205498995468608,-0.35045824962238403,25.0
2025,Structural Portfolio MTF,0.6-1.0 ATR,61,-3.7531984236464973,-0.06152784301059831,31.147540983606557
2026,Structural Portfolio MTF,<0.6 ATR,11,-3.65187590416258,-0.33198871856023454,18.181818181818183
2024,Structural Frequency M15,1.0-1.5 ATR,17,-3.4315909361691537,-0.20185829036289138,29.411764705882355
2025,V1 Legacy M15,<0.6 ATR,3,-3.103359671403947,-1.0344532238013155,0.0
2025,Outcome First M15,<0.6 ATR,3,-3.0688766811704165,-1.0229588937234722,0.0
2024,M15-0591 MTF,1.5+ ATR,12,-2.7799540484198477,-0.23166283736832063,25.0
2025,Outcome First M15,0.6-1.0 ATR,14,-2.5813276435314494,-0.1843805459665321,28.57142857142857
2026,V1 Legacy M15,<0.6 ATR,2,-2.07841465489658,-1.03920732744829,0.0
2024,Outcome First M15,1.5+ ATR,23,-2.0753036713760094,-0.09023059440765258,30.434782608695656
2026,Structural Frequency M15,<0.6 ATR,2,-2.0588946446085714,-1.0294473223042857,0.0
2025,Structural Frequency M15,1.0-1.5 ATR,28,-2.0189292894518283,-0.07210461748042243,35.714285714285715
2025,Structural Frequency M15,<0.6 ATR,4,-1.1930023502746097,-0.2982505875686524,25.0
2026,M15-0591 MTF,<0.6 ATR,1,-1.0313499242637196,-1.0313499242637196,0.0
2026,Structural Frequency M15,1.5+ ATR,10,-0.2013269596712708,-0.02013269596712708,30.0
2026,Outcome First M15,<0.6 ATR,3,-0.058137903692473625,-0.01937930123082454,33.33333333333333
2025,Structural Frequency M15,1.5+ ATR,9,0.16712761901218465,0.018569735445798295,44.44444444444444
2024,V1 Legacy M15,0.6-1.0 ATR,28,0.6479939345197014,0.023142640518560766,35.714285714285715
2025,Structural Portfolio MTF,<0.6 ATR,17,1.254726249356477,0.07380742643273394,35.294117647058826
2026,V1 Legacy M15,1.5+ ATR,13,1.6635530292759708,0.12796561763661313,38.46153846153847
2024,V1 Legacy M15,<0.6 ATR,6,2.0461143732461586,0.3410190622076931,50.0
2025,M15-0591 MTF,1.5+ ATR,9,2.1098076769520917,0.2344230752168991,44.44444444444444
2024,Structural Frequency M15,<0.6 ATR,8,2.319536548091988,0.2899420685114985,50.0
2024,Structural Frequency M15,1.5+ ATR,15,2.4111062993077654,0.16074041995385102,46.666666666666664
2024,Outcome First M15,<0.6 ATR,1,2.954252012905941,2.954252012905941,100.0
2024,M15-0591 MTF,<0.6 ATR,3,3.071469285144989,1.0238230950483296,66.66666666666666
2025,Structural Portfolio MTF,1.5+ ATR,8,3.181111550964142,0.39763894387051774,37.5
2025,Outcome First M15,1.5+ ATR,10,3.864931005871223,0.3864931005871223,50.0
2024,Outcome First M15,0.6-1.0 ATR,27,4.592610184739067,0.17009667350885435,40.74074074074074
2026,Structural Portfolio MTF,0.6-1.0 ATR,40,4.787536459665936,0.1196884114916484,37.5
2026,Outcome First M15,0.6-1.0 ATR,15,4.81579482817567,0.32105298854504466,40.0
2025,M15-0591 MTF,<0.6 ATR,4,5.822443170473491,1.4556107926183728,50.0
2025,M15-0591 MTF,1.0-1.5 ATR,20,6.175771364220699,0.30878856821103495,45.0
2025,M15-0591 MTF,0.6-1.0 ATR,19,6.421212403091172,0.3379585475311143,36.84210526315789
2025,V1 Legacy M15,0.6-1.0 ATR,20,6.896603268084234,0.3448301634042117,45.0
2025,Structural Portfolio MTF,1.0-1.5 ATR,36,8.523175827048933,0.23675488408469259,33.33333333333333
2026,Outcome First M15,1.0-1.5 ATR,22,9.123939856994568,0.41472453895429856,40.909090909090914
2025,V1 Legacy M15,1.0-1.5 ATR,37,9.289335570381873,0.2510631235238344,40.54054054054054
2026,Structural Portfolio MTF,1.5+ ATR,7,9.748644284363284,1.3926634691947548,71.42857142857143
2024,Structural Frequency M15,0.6-1.0 ATR,17,9.791882382822623,0.5759930813425073,58.82352941176471
2026,V1 Legacy M15,1.0-1.5 ATR,31,10.333460665342997,0.33333744081751604,41.935483870967744
2026,Structural Frequency M15,0.6-1.0 ATR,22,12.108199623614627,0.5503727101643012,54.54545454545454
2026,M15-0591 MTF,1.0-1.5 ATR,15,12.71277799988399,0.8475185333255993,53.333333333333336
2026,Structural Portfolio MTF,1.0-1.5 ATR,23,14.263588320766374,0.6201560139463641,43.47826086956522
2026,M15-0591 MTF,0.6-1.0 ATR,17,14.792948578321575,0.870173445783622,47.05882352941176
2024,M15-0591 MTF,1.0-1.5 ATR,42,16.10595940718557,0.3834752239806088,40.476190476190474
2025,Structural Frequency M15,0.6-1.0 ATR,24,17.98720564995288,0.74946690208137,58.333333333333336
2025,Outcome First M15,1.0-1.5 ATR,23,19.143238751709923,0.832314728335214,60.86956521739131
