technique,session,avg_net_r_2024,avg_net_r_2025,avg_net_r_2026,net_r_sum_2024,net_r_sum_2025,net_r_sum_2026,trades_2024,trades_2025,trades_2026
M15-0591 MTF,ASIA,0.3538202510146501,1.3068027584757038,-0.06572534839720004,5.307303765219752,19.602041377135556,-1.1830562711496007,15,15,18
M15-0591 MTF,LONDON,-0.3630492194365022,-0.13412487505067036,0.7216778285269889,-10.891476583095066,-2.145998000810726,5.773422628215911,30,16,8
M15-0591 MTF,NEW_YORK,0.010900922074990983,0.28941888445607655,0.3482751671318488,0.29432489602475653,4.341283266841148,3.8310268384503368,27,15,11
M15-0591 MTF,OTHER,1.0595045800721237,-0.21134867140475458,2.139050737180924,16.95207328115398,-1.2680920284285275,12.834304423085543,16,6,6
Outcome First M15,LONDON,-0.14423964418995158,0.21944299314600924,0.012251850675796047,-5.625346123408112,6.583289794380277,0.31854811757069723,39,30,26
Outcome First M15,NEW_YORK,-0.031975287667679986,0.40509183486003086,0.6983135436378316,-1.0871597807011195,6.886561192620524,11.871330241843138,34,17,17
Outcome First M15,OTHER,-0.1766479927113004,1.2960381486261596,-1.0265449262896178,-1.0598879562678025,3.888114445878479,-4.106179705158471,6,3,4
Structural Frequency M15,LONDON,0.017578071749481804,0.1971849529888917,0.300448102703816,0.38671757848859967,7.295843260588993,7.5112025675954,22,37,25
Structural Frequency M15,NEW_YORK,0.29780442491049824,0.15060961122989622,-0.019428945259113428,8.934132747314948,3.7652402807474052,-0.3497210146640417,30,25,18
Structural Frequency M15,OTHER,0.3540167936499352,1.2937726959674098,-0.5063341763550604,1.770083968249676,3.8813180879022298,-1.5190025290651812,5,3,3
Structural Portfolio MTF,ASIA,-0.33179833335709347,-0.1922095234863829,0.6096947387027385,-7.299563333856057,-6.342914275050636,17.07145268367668,22,33,28
Structural Portfolio MTF,LONDON,-0.5830827317835587,0.16552439591480253,-0.38579305720529755,-19.824812880640998,4.9657318774440755,-6.172688915284761,34,30,16
Structural Portfolio MTF,NEW_YORK,-0.26904998683950543,0.2782427596363141,0.7855058704085843,-10.761999473580216,8.347282789089423,15.710117408171687,40,30,20
Structural Portfolio MTF,OTHER,0.06101780834237139,0.07709361421517909,-0.08594047152532869,1.6474808252440274,2.2357148122401935,-1.4609880159305877,27,29,17
V1 Legacy M15,ASIA,0.09990415326376557,0.441793915083593,-0.22545726653580703,1.898178912011546,11.044847877089826,-4.283688064180334,19,25,19
V1 Legacy M15,LONDON,-0.3524875045215336,0.23560827727308487,-0.10816132291913932,-6.697262585909138,3.0629076045501034,-1.297935875029672,19,13,12
V1 Legacy M15,NEW_YORK,0.02523451225819175,-0.11118036977844037,0.3819062598963484,0.5299247574220267,-1.222984067562844,3.819062598963484,21,11,10
V1 Legacy M15,OTHER,-0.1901288000334333,-0.1588822504081536,0.15122701006793937,-5.133477600902699,-4.289820761020147,3.9319022617664237,27,27,26
