year,feed,entry_time,month,hour_utc,session,technique,direction,direction_text,net_r,gross_r,target_r,reason,h1_bias,h4_bias,h1_align_trade,h4_align_trade,both_align_trade,both_oppose_trade,htf_state,router_mode,h4_adx,h4_adx_band,m15_adx,m15_adx_band,range_atr,range_atr_band,atr
2024,secondary,2024-01-02 05:45:00+00:00,2024-01,5,ASIA,M15-0591 MTF,1,LONG,-1.0698952764830783,-1.0,3.0,stop,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,23.11525781108285,22-30,13.154093622368709,<15,0.8252415603283043,0.6-1.0 ATR,1.878237929974768
2024,secondary,2024-01-03 07:15:00+00:00,2024-01,7,LONDON,Structural Frequency M15,-1,SHORT,1.9408608945514405,2.0,2.0,target,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,18.034586140946573,18-22,28.468742434287332,25+,1.56773347356977,1.5+ ATR,1.5691442719523951
2024,secondary,2024-01-04 04:15:00+00:00,2024-01,4,ASIA,Structural Portfolio MTF,-1,SHORT,-1.0570735683342922,-1.0,3.0,stop,-1,0,True,False,False,False,NEUTRAL_MIX,MIXED,22.18692950688532,22-30,15.942144524050711,15-20,1.1075006632594218,1.0-1.5 ATR,1.9051907326089603
2024,secondary,2024-01-04 12:00:00+00:00,2024-01,12,OTHER,Outcome First M15,-1,SHORT,0.25144683349926417,0.29410596510112036,3.0,time_exit,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,22.21887386554356,22-30,19.15843500737531,15-20,1.3586041879392796,1.0-1.5 ATR,2.14190418801369
2024,secondary,2024-01-05 06:45:00+00:00,2024-01,6,OTHER,V1 Legacy M15,-1,SHORT,-1.0506787685382553,-1.0,2.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,24.16505778440481,22-30,17.361209684497855,15-20,1.2898663551450364,1.0-1.5 ATR,1.4807735641614714
2024,secondary,2024-01-05 09:45:00+00:00,2024-01,9,LONDON,V1 Legacy M15,-1,SHORT,1.924272150273666,2.0,2.0,target,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,24.384491132364612,22-30,12.464745380302741,<15,0.9338699658180438,0.6-1.0 ATR,1.7561331449001882
2024,secondary,2024-01-05 16:15:00+00:00,2024-01,16,NEW_YORK,Structural Frequency M15,-1,SHORT,1.9767920357582147,2.0,2.0,target,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,23.62824686254003,22-30,20.796154690077685,20-25,0.8197779267518255,0.6-1.0 ATR,5.379505663776387
2024,secondary,2024-01-08 11:15:00+00:00,2024-01,11,LONDON,V1 Legacy M15,-1,SHORT,-1.0316939764226083,-1.0,3.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,19.37663945960435,18-22,44.432618913806934,25+,1.1973684481604951,1.0-1.5 ATR,2.313406541032131
2024,secondary,2024-01-09 01:45:00+00:00,2024-01,1,ASIA,Structural Portfolio MTF,-1,SHORT,-1.05044158343634,-1.0,3.0,stop,0,-1,False,True,False,False,NEUTRAL_MIX,MIXED,20.959086426296107,18-22,26.63181338448602,25+,0.9619238401472042,0.6-1.0 ATR,1.8816458480984932
2024,secondary,2024-01-09 08:00:00+00:00,2024-01,8,LONDON,M15-0591 MTF,1,LONG,-1.0654190672931918,-1.0,3.0,stop,0,-1,False,False,False,False,NEUTRAL_MIX,MIXED,19.57195247187011,18-22,23.405028641215335,20-25,0.929771036819384,0.6-1.0 ATR,2.204843901153037
