year,m15_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,25+,185,-24.69100078004821,-0.13346486908134167,29.72972972972973
2024,<15,46,-15.542441061658941,-0.3378791535143248,21.73913043478261
2025,20-25,85,-1.0124798306163654,-0.011911527419016063,36.470588235294116
2024,20-25,100,1.1588238333297725,0.011588238333297725,37.0
2026,20-25,63,2.414568334838253,0.038326481505369096,33.33333333333333
2024,15-20,102,8.413852421145478,0.08248874922691644,35.294117647058826
2025,<15,47,13.377527813299707,0.2846282513468023,42.5531914893617
2025,25+,144,16.587861983413696,0.11519348599592844,35.41666666666667
2026,25+,129,18.423674253693754,0.1428191802611919,35.65891472868217
2026,<15,35,19.247494478841904,0.5499284136811973,48.57142857142857
2026,15-20,57,22.213372311502734,0.38970828616671466,40.35087719298245
2025,15-20,89,41.67745756753831,0.46828604008470015,44.9438202247191
