year,session,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,LONDON,144,-42.65218059456471,-0.29619569857336603,22.916666666666664
2024,NEW_YORK,152,-2.0907768535196047,-0.013755110878418452,36.18421052631579
2024,ASIA,56,-0.09408065662475917,-0.0016800117254421282,32.142857142857146
2025,OTHER,68,4.447234556572226,0.06540050818488569,33.82352941176471
2026,LONDON,87,6.132548523067573,0.07048906348353533,33.33333333333333
2026,OTHER,56,9.680036434697726,0.1728577934767451,37.5
2026,ASIA,65,11.604708348346742,0.17853397458994988,35.38461538461539
2024,OTHER,81,14.176272517477182,0.1750157100923109,39.50617283950617
2025,LONDON,126,19.76177453615272,0.15683948044565652,37.301587301587304
2025,NEW_YORK,98,22.117383461735656,0.22568758634424138,43.87755102040816
2025,ASIA,73,24.303974979174747,0.3329311640982842,39.726027397260275
2026,NEW_YORK,76,34.88181607276461,0.4589712641153238,44.73684210526316
