year,alignment,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,BOTH_OPPOSE,9,-9.481610963203112,-1.05351232924479,0.0
2024,ONE_ALIGN,108,-8.404210539445398,-0.07781676425412405,32.407407407407405
2024,BOTH_ALIGN,222,-7.362690704862691,-0.03316527344532744,31.08108108108108
2024,NO_ALIGN,94,-5.412253379720696,-0.057577163614049964,36.17021276595745
2026,BOTH_OPPOSE,5,-1.115090766286628,-0.2230181532573256,20.0
2025,BOTH_OPPOSE,4,-0.17471460566255503,-0.04367865141563876,25.0
2026,NO_ALIGN,55,2.7769211267624447,0.05048947503204445,36.36363636363637
2026,ONE_ALIGN,70,5.137601568671685,0.07339430812388122,35.714285714285715
2025,ONE_ALIGN,100,7.353518337962934,0.07353518337962935,37.0
2025,NO_ALIGN,76,16.780359553329845,0.2207942046490769,40.78947368421053
2025,BOTH_ALIGN,185,46.671204248005125,0.25227677971894663,39.45945945945946
2026,BOTH_ALIGN,154,55.49967744972915,0.36038751590733215,39.61038961038961
