policy,questionable_type,signals,confirmed,confirm_rate_pct
A15_STRUCTURE,MIXED_STALLED_H4,77,24,31.16883116883117
A15_STRUCTURE,TREND_NO_V1_SLOW,29,13,44.827586206896555
A30_STRUCTURE,MIXED_STALLED_H4,77,38,49.35064935064935
A30_STRUCTURE,TREND_NO_V1_SLOW,29,14,48.275862068965516
B15_MICRO0591,MIXED_STALLED_H4,77,17,22.07792207792208
B15_MICRO0591,TREND_NO_V1_SLOW,29,7,24.137931034482758
B30_MICRO0591,MIXED_STALLED_H4,77,20,25.974025974025974
B30_MICRO0591,TREND_NO_V1_SLOW,29,8,27.586206896551722
C15_EITHER,MIXED_STALLED_H4,77,33,42.857142857142854
C15_EITHER,TREND_NO_V1_SLOW,29,16,55.172413793103445
C30_EITHER,MIXED_STALLED_H4,77,44,57.142857142857146
C30_EITHER,TREND_NO_V1_SLOW,29,17,58.62068965517241
