policy,year,trades,wins_3r,breakeven_exits,losses,expectancy_r,profit_factor,max_drawdown_pct
P15_10,2017,78,9,37,32,-0.064103,0.843750,51.484390
P15_10,2018,99,15,51,33,0.121212,1.363636,39.588700
P15_10,2019,85,20,36,29,0.364706,2.068966,22.621906
P15_10,2020,68,13,16,39,0.000000,1.000000,42.609200
P15_10,2021,81,11,41,29,0.049383,1.137931,38.729700
P15_10,2022,76,13,24,39,0.000000,1.000000,70.801100
P15_10,2023,76,11,35,30,0.039474,1.100000,44.703600
P15_10,2024,83,19,23,41,0.192771,1.390244,40.965700
P15_10,2025,100,30,30,40,0.500000,2.250000,31.500900
P15_10,2026,69,29,2,38,0.710145,2.289474,22.621906
