year,trades,wins,win_rate_pct,expectancy_r,profit_factor,median_duration_h,winner_median_duration_h,loser_median_duration_h,loss_reached_0p5r_pct,loss_reached_1p0r_pct,loss_reached_1p5r_pct,loss_reached_2p0r_pct,pct_target_requires_over_1adr_day,median_h4_bias_age,median_d1_bias_age
2017,73,17,23.287671,-0.068493,0.910714,2.500,6.250,2.500,51.785714,28.571429,17.857143,10.714286,45.205479,8.0,0.0
2018,94,20,21.276596,-0.148936,0.810811,3.500,4.250,2.875,63.513514,33.783784,24.324324,13.513514,42.553191,5.0,5.5
2019,78,26,33.333333,0.333333,1.500000,5.125,7.625,3.375,57.692308,30.769231,25.000000,19.230769,50.000000,4.0,5.0
2020,68,16,23.529412,-0.058824,0.923077,4.875,7.375,3.500,55.769231,30.769231,21.153846,11.538462,52.941176,3.0,5.0
2021,78,19,24.358974,-0.025641,0.966102,4.250,7.250,3.250,57.627119,38.983051,20.338983,10.169492,34.615385,3.5,3.0
2022,75,17,22.666667,-0.093333,0.879310,3.250,6.250,2.125,55.172414,41.379310,24.137931,10.344828,38.666667,5.0,5.0
2023,74,18,24.324324,-0.027027,0.964286,4.500,6.375,3.375,60.714286,32.142857,23.214286,16.071429,41.891892,6.0,5.0
2024,80,27,33.750000,0.350000,1.528302,5.750,12.000,2.750,49.056604,30.188679,15.094340,7.547170,51.250000,6.0,9.0
2025,95,42,44.210526,0.768421,2.377358,5.000,5.875,2.500,54.716981,33.962264,18.867925,11.320755,62.105263,6.0,9.0
2026,69,30,43.478261,0.739130,2.307692,4.750,6.125,3.500,56.410256,35.897436,25.641026,15.384615,55.072464,9.0,7.0
