year,trades,win_rate_pct,expectancy_r,profit_factor,trades_per_30d,max_drawdown_pct,net_r
2017,62,22.5806,-0.096774,0.875000,6.1386,44.7819,-6
2018,71,21.1268,-0.154930,0.803571,5.8356,74.1516,-11
2019,68,33.8235,0.352941,1.533333,5.5890,34.5880,24
2020,56,26.7857,0.071429,1.097561,4.5902,44.7036,4
2021,59,30.5085,0.220339,1.317073,4.8493,31.1453,13
2022,66,22.7273,-0.090909,0.882353,5.4247,75.3165,-6
2023,57,28.0702,0.122807,1.170732,4.6849,42.6092,7
2024,67,35.8209,0.432836,1.674419,5.4918,30.1663,29
2025,79,45.5696,0.822785,2.511628,6.4932,23.0216,65
2026,61,42.6230,0.704918,2.228571,7.0115,22.6219,43
