sample,router_mode,feature,winner_mean,loser_mean,winner_median,loser_median,winner_n,loser_n
2017-2023,TREND,H4 ADX,32.1342,31.9342,29.3522,29.7920,81,236
2017-2023,TREND,H4 ADX slope (3 bars),1.2854,1.3591,0.8295,1.9063,81,236
2017-2023,TREND,H4 ER20,0.3675,0.3443,0.3701,0.3146,81,236
2017-2023,TREND,H4 normalized pace,1.0229,1.0386,0.9905,0.9967,81,236
2017-2023,TREND,H4 bias persistence (bars),16.3704,14.9576,11.0000,10.5000,81,236
2017-2023,TREND,H4 EMA20/50 sep / ATR,1.3322,1.3270,1.1117,1.3828,81,236
2017-2023,TREND,H4 +DI/-DI separation,16.7560,17.3345,14.8767,16.8742,81,236
2017-2023,TREND,Support count,1.8148,1.6568,2.0000,2.0000,81,236
2017-2023,MIXED,H4 ADX,20.6749,20.9850,20.2777,18.8560,52,171
2017-2023,MIXED,H4 ADX slope (3 bars),-0.8186,-1.5538,-0.9258,-1.5124,52,171
2017-2023,MIXED,H4 ER20,0.2127,0.1565,0.1919,0.1382,52,171
2017-2023,MIXED,H4 normalized pace,0.9765,0.9952,0.9500,0.9450,52,171
2017-2023,MIXED,H4 bias persistence (bars),2.7500,1.7368,0.0000,0.0000,52,171
2017-2023,MIXED,H4 EMA20/50 sep / ATR,0.7484,0.6847,0.6261,0.6386,52,171
2017-2023,MIXED,H4 +DI/-DI separation,7.5706,6.6859,5.9951,5.0531,52,171
2017-2023,MIXED,Support count,2.0577,2.0175,2.0000,2.0000,52,171
2024-2026,TREND,H4 ADX,30.6059,33.9481,30.4273,31.7477,69,86
2024-2026,TREND,H4 ADX slope (3 bars),0.5372,1.9022,0.5240,1.5555,69,86
2024-2026,TREND,H4 ER20,0.3354,0.4002,0.3344,0.3985,69,86
2024-2026,TREND,H4 normalized pace,1.0959,1.0839,1.0163,1.0052,69,86
2024-2026,TREND,H4 bias persistence (bars),15.2319,16.6628,13.0000,12.0000,69,86
2024-2026,TREND,H4 EMA20/50 sep / ATR,1.5212,1.4457,1.6252,1.3270,69,86
2024-2026,TREND,H4 +DI/-DI separation,14.3283,19.2998,15.5425,18.4164,69,86
2024-2026,TREND,Support count,1.8841,1.8256,2.0000,2.0000,69,86
2024-2026,MIXED,H4 ADX,20.4348,22.1139,17.2206,20.0267,30,59
2024-2026,MIXED,H4 ADX slope (3 bars),-1.1291,-1.1206,-0.8720,-1.4367,30,59
2024-2026,MIXED,H4 ER20,0.1484,0.2045,0.1374,0.1798,30,59
2024-2026,MIXED,H4 normalized pace,0.9263,1.0190,0.9551,0.9527,30,59
2024-2026,MIXED,H4 bias persistence (bars),2.6000,3.1356,0.0000,1.0000,30,59
2024-2026,MIXED,H4 EMA20/50 sep / ATR,0.6092,0.7017,0.5134,0.5694,30,59
2024-2026,MIXED,H4 +DI/-DI separation,6.8451,8.3236,5.4649,7.2654,30,59
2024-2026,MIXED,Support count,2.0333,2.0508,2.0000,2.0000,30,59
