year,router_mode,trades,wins,win_rate_pct,expectancy_r,net_r
2017,MIXED,16,6,37.500000,0.500000,8
2017,TREND,57,11,19.298246,-0.228070,-13
2018,MIXED,42,8,19.047619,-0.238095,-10
2018,TREND,52,12,23.076923,-0.076923,-4
2019,MIXED,33,10,30.303030,0.212121,7
2019,TREND,45,16,35.555556,0.422222,19
2020,MIXED,33,7,21.212121,-0.151515,-5
2020,TREND,35,9,25.714286,0.028571,1
2021,MIXED,38,9,23.684211,-0.052632,-2
2021,TREND,40,10,25.000000,0.000000,0
2022,MIXED,33,8,24.242424,-0.030303,-1
2022,TREND,42,9,21.428571,-0.142857,-6
2023,MIXED,28,4,14.285714,-0.428571,-12
2023,TREND,46,14,30.434783,0.217391,10
