policy,year,trades,win_rate_pct,expectancy_r,profit_factor,trades_per_30d,max_drawdown_pct
Baseline RR10,2017,73,23.287671,-0.068493,0.910714,7.227723,62.122450
Baseline RR10,2018,94,21.276596,-0.148936,0.810811,7.726027,72.688649
Baseline RR10,2019,78,33.333333,0.333333,1.500000,6.410959,35.504984
Baseline RR10,2020,68,23.529412,-0.058824,0.923077,5.573770,51.484390
Baseline RR10,2021,78,24.358974,-0.025641,0.966102,6.410959,42.609234
Baseline RR10,2022,75,22.666667,-0.093333,0.879310,6.164384,78.837020
Baseline RR10,2023,74,24.324324,-0.027027,0.964286,6.082192,63.829504
Baseline RR10,2024,80,33.750000,0.350000,1.528302,6.557377,35.504984
Baseline RR10,2025,95,44.210526,0.768421,2.377358,7.808219,27.521318
Baseline RR10,2026,69,43.478261,0.739130,2.307692,7.934835,22.621906
Q1 MIXED ER20>=0.25,2017,60,21.666667,-0.133333,0.829787,5.940594,66.119740
Q1 MIXED ER20>=0.25,2018,58,24.137931,-0.034483,0.954545,4.767123,41.270578
Q1 MIXED ER20>=0.25,2019,50,38.000000,0.520000,1.838710,4.109589,33.657957
Q1 MIXED ER20>=0.25,2020,42,26.190476,0.047619,1.064516,3.442623,40.965660
Q1 MIXED ER20>=0.25,2021,50,30.000000,0.200000,1.285714,4.109589,33.062235
Q1 MIXED ER20>=0.25,2022,53,24.528302,-0.018868,0.975000,4.356164,66.421262
Q1 MIXED ER20>=0.25,2023,54,29.629630,0.185185,1.263158,4.438356,47.468406
Q1 MIXED ER20>=0.25,2024,61,27.868852,0.114754,1.159091,5.000000,44.703586
Q1 MIXED ER20>=0.25,2025,72,51.388889,1.055556,3.171429,5.917808,19.691211
Q1 MIXED ER20>=0.25,2026,54,42.592593,0.703704,2.225806,6.209871,23.706650
Q2 MIXED Persist>=6,2017,57,19.298246,-0.228070,0.717391,5.643564,68.988321
Q2 MIXED Persist>=6,2018,57,24.561404,-0.017544,0.976744,4.684932,38.179555
Q2 MIXED Persist>=6,2019,48,37.500000,0.500000,1.800000,3.945205,27.521318
Q2 MIXED Persist>=6,2020,39,25.641026,0.025641,1.034483,3.196721,35.504984
Q2 MIXED Persist>=6,2021,45,26.666667,0.066667,1.090909,3.698630,33.062235
Q2 MIXED Persist>=6,2022,46,21.739130,-0.130435,0.833333,3.780822,64.653960
Q2 MIXED Persist>=6,2023,50,30.000000,0.200000,1.285714,4.109589,44.703586
Q2 MIXED Persist>=6,2024,54,31.481481,0.259259,1.378378,4.426230,33.657957
Q2 MIXED Persist>=6,2025,69,52.173913,1.086957,3.272727,5.671233,18.549375
Q2 MIXED Persist>=6,2026,47,44.680851,0.787234,2.423077,5.404887,19.691211
Q3 Veto lowER+fallingADX,2017,64,21.875000,-0.125000,0.840000,6.336634,67.813753
Q3 Veto lowER+fallingADX,2018,66,22.727273,-0.090909,0.882353,5.424658,58.403929
Q3 Veto lowER+fallingADX,2019,63,36.507937,0.460317,1.725000,5.178082,27.521318
Q3 Veto lowER+fallingADX,2020,52,25.000000,0.000000,1.000000,4.262295,55.592119
Q3 Veto lowER+fallingADX,2021,62,29.032258,0.161290,1.227273,5.095890,28.537378
Q3 Veto lowER+fallingADX,2022,61,22.950820,-0.081967,0.893617,5.013699,69.695189
Q3 Veto lowER+fallingADX,2023,63,25.396825,0.015873,1.021277,5.178082,57.812513
Q3 Veto lowER+fallingADX,2024,69,28.985507,0.159420,1.224490,5.655738,47.468406
Q3 Veto lowER+fallingADX,2025,82,43.902439,0.756098,2.347826,6.739726,45.478772
Q3 Veto lowER+fallingADX,2026,58,44.827586,0.793103,2.437500,6.669861,22.621906
