year,variant,technique,trades
2024,BASELINE,Structural Portfolio MTF,123
2024,BASELINE,M15-0591 MTF,88
2024,BASELINE,V1 Legacy M15,86
2024,BASELINE,Outcome First M15,79
2024,BASELINE,Structural Frequency M15,57
2024,NO_DOUBLE_OPPOSE,Structural Portfolio MTF,122
2024,NO_DOUBLE_OPPOSE,M15-0591 MTF,89
2024,NO_DOUBLE_OPPOSE,V1 Legacy M15,86
2024,NO_DOUBLE_OPPOSE,Outcome First M15,70
2024,NO_DOUBLE_OPPOSE,Structural Frequency M15,58
2024,LONDON_CONSENSUS,Structural Portfolio MTF,120
2024,LONDON_CONSENSUS,V1 Legacy M15,77
2024,LONDON_CONSENSUS,M15-0591 MTF,73
2024,LONDON_CONSENSUS,Outcome First M15,54
2024,LONDON_CONSENSUS,Structural Frequency M15,36
2024,NARROW_CONFIRM,Structural Portfolio MTF,116
2024,NARROW_CONFIRM,M15-0591 MTF,93
2024,NARROW_CONFIRM,Outcome First M15,75
2024,NARROW_CONFIRM,V1 Legacy M15,61
2024,NARROW_CONFIRM,Structural Frequency M15,59
2024,COMBINED_GUARD,Structural Portfolio MTF,118
2024,COMBINED_GUARD,M15-0591 MTF,87
2024,COMBINED_GUARD,Outcome First M15,64
2024,COMBINED_GUARD,V1 Legacy M15,63
2024,COMBINED_GUARD,Structural Frequency M15,49
2025,BASELINE,Structural Portfolio MTF,122
2025,BASELINE,V1 Legacy M15,76
2025,BASELINE,Structural Frequency M15,65
2025,BASELINE,M15-0591 MTF,52
2025,BASELINE,Outcome First M15,50
2025,NO_DOUBLE_OPPOSE,Structural Portfolio MTF,122
2025,NO_DOUBLE_OPPOSE,V1 Legacy M15,76
2025,NO_DOUBLE_OPPOSE,Structural Frequency M15,65
2025,NO_DOUBLE_OPPOSE,M15-0591 MTF,52
2025,NO_DOUBLE_OPPOSE,Outcome First M15,46
2025,LONDON_CONSENSUS,Structural Portfolio MTF,120
2025,LONDON_CONSENSUS,V1 Legacy M15,70
2025,LONDON_CONSENSUS,M15-0591 MTF,48
2025,LONDON_CONSENSUS,Outcome First M15,42
2025,LONDON_CONSENSUS,Structural Frequency M15,30
2025,NARROW_CONFIRM,Structural Portfolio MTF,116
2025,NARROW_CONFIRM,Structural Frequency M15,65
2025,NARROW_CONFIRM,V1 Legacy M15,59
2025,NARROW_CONFIRM,M15-0591 MTF,59
2025,NARROW_CONFIRM,Outcome First M15,49
2025,COMBINED_GUARD,Structural Portfolio MTF,119
2025,COMBINED_GUARD,M15-0591 MTF,58
2025,COMBINED_GUARD,V1 Legacy M15,56
2025,COMBINED_GUARD,Structural Frequency M15,45
2025,COMBINED_GUARD,Outcome First M15,44
2026,BASELINE,Structural Portfolio MTF,81
2026,BASELINE,V1 Legacy M15,67
2026,BASELINE,Outcome First M15,47
2026,BASELINE,Structural Frequency M15,46
2026,BASELINE,M15-0591 MTF,43
2026,NO_DOUBLE_OPPOSE,Structural Portfolio MTF,83
2026,NO_DOUBLE_OPPOSE,V1 Legacy M15,66
2026,NO_DOUBLE_OPPOSE,Structural Frequency M15,46
2026,NO_DOUBLE_OPPOSE,Outcome First M15,42
2026,NO_DOUBLE_OPPOSE,M15-0591 MTF,41
2026,LONDON_CONSENSUS,Structural Portfolio MTF,77
2026,LONDON_CONSENSUS,V1 Legacy M15,57
2026,LONDON_CONSENSUS,M15-0591 MTF,45
2026,LONDON_CONSENSUS,Outcome First M15,30
2026,LONDON_CONSENSUS,Structural Frequency M15,28
2026,NARROW_CONFIRM,Structural Portfolio MTF,77
2026,NARROW_CONFIRM,M15-0591 MTF,51
2026,NARROW_CONFIRM,Structural Frequency M15,46
2026,NARROW_CONFIRM,Outcome First M15,44
2026,NARROW_CONFIRM,V1 Legacy M15,37
2026,COMBINED_GUARD,Structural Portfolio MTF,78
2026,COMBINED_GUARD,M15-0591 MTF,49
2026,COMBINED_GUARD,Structural Frequency M15,40
2026,COMBINED_GUARD,Outcome First M15,36
2026,COMBINED_GUARD,V1 Legacy M15,33
