year,variant,month,trades,pnl_rm,ending_balance_rm
2024,BASELINE,2024-01,31,-30.686952983113528,69.31304701688647
2024,BASELINE,2024-02,34,-22.419664803929493,46.89338221295698
2024,BASELINE,2024-03,35,21.94648526425786,68.83986747721484
2024,BASELINE,2024-04,39,-31.804150661623837,37.035716815591
2024,BASELINE,2024-05,39,-19.16860840589408,17.86710840969692
2024,BASELINE,2024-06,35,-7.808867527426633,10.058240882270288
2024,BASELINE,2024-07,36,-1.8450775993832664,8.213163282887022
2024,BASELINE,2024-08,33,-0.4514675029085007,7.761695779978521
2024,BASELINE,2024-09,35,0.8042577397939175,8.565953519772439
2024,BASELINE,2024-10,42,-1.3866092323145338,7.179344287457905
2024,BASELINE,2024-11,34,-0.883195764464352,6.296148522993553
2024,BASELINE,2024-12,40,0.5634624204279906,6.8596109434215435
2024,NO_DOUBLE_OPPOSE,2024-01,30,-26.89735076347162,73.10264923652838
2024,NO_DOUBLE_OPPOSE,2024-02,34,-23.64543131054259,49.45721792598579
2024,NO_DOUBLE_OPPOSE,2024-03,35,23.146381284562807,72.6035992105486
2024,NO_DOUBLE_OPPOSE,2024-04,36,-26.579216162730077,46.02438304781852
2024,NO_DOUBLE_OPPOSE,2024-05,38,-22.587825092020267,23.43655795579825
2024,NO_DOUBLE_OPPOSE,2024-06,35,-10.243010350592584,13.193547605205666
2024,NO_DOUBLE_OPPOSE,2024-07,35,-1.825432300058221,11.368115305147445
2024,NO_DOUBLE_OPPOSE,2024-08,33,-0.6248913424483575,10.743223962699087
2024,NO_DOUBLE_OPPOSE,2024-09,35,1.1132001649211993,11.856424127620286
2024,NO_DOUBLE_OPPOSE,2024-10,42,-1.9192524357792546,9.937171691841032
2024,NO_DOUBLE_OPPOSE,2024-11,34,-1.2224609375986208,8.714710754242411
2024,NO_DOUBLE_OPPOSE,2024-12,38,1.9598070200251918,10.674517774267603
2024,LONDON_CONSENSUS,2024-01,26,-32.24910826966344,67.75089173033656
2024,LONDON_CONSENSUS,2024-02,29,-22.904750145115194,44.84614158522137
2024,LONDON_CONSENSUS,2024-03,32,14.115553839610307,58.961695424831674
2024,LONDON_CONSENSUS,2024-04,30,-14.57483894518689,44.386856479644784
2024,LONDON_CONSENSUS,2024-05,31,-12.829891782085511,31.556964697559273
2024,LONDON_CONSENSUS,2024-06,31,-12.463469197509387,19.093495500049887
2024,LONDON_CONSENSUS,2024-07,27,2.744401466487435,21.837896966537322
2024,LONDON_CONSENSUS,2024-08,30,-6.573034143590796,15.264862822946526
2024,LONDON_CONSENSUS,2024-09,28,0.8496762379722433,16.11453906091877
2024,LONDON_CONSENSUS,2024-10,34,4.705017811692642,20.81955687261141
2024,LONDON_CONSENSUS,2024-11,30,-0.5268110943711726,20.29274577824024
2024,LONDON_CONSENSUS,2024-12,32,5.129831815150311,25.42257759339055
2024,NARROW_CONFIRM,2024-01,27,-25.887672100767176,74.11232789923282
2024,NARROW_CONFIRM,2024-02,31,-10.15393411253914,63.958393786693684
2024,NARROW_CONFIRM,2024-03,35,22.396007842417212,86.3544016291109
2024,NARROW_CONFIRM,2024-04,35,-28.67497985521372,57.679421773897175
2024,NARROW_CONFIRM,2024-05,34,-22.352599333574325,35.32682244032285
2024,NARROW_CONFIRM,2024-06,34,-14.338387587333337,20.988434852989514
2024,NARROW_CONFIRM,2024-07,33,-0.9000802926259581,20.088354560363555
2024,NARROW_CONFIRM,2024-08,32,-0.08089522635712498,20.00745933400643
2024,NARROW_CONFIRM,2024-09,34,0.9979852932155779,21.00544462722201
2024,NARROW_CONFIRM,2024-10,42,-3.400758013980404,17.604686613241604
2024,NARROW_CONFIRM,2024-11,32,-2.7855769989556904,14.819109614285914
2024,NARROW_CONFIRM,2024-12,35,4.126208706397001,18.945318320682915
2024,COMBINED_GUARD,2024-01,25,-28.588838767437323,71.41116123256268
2024,COMBINED_GUARD,2024-02,29,-12.159130298511691,59.252030934050985
2024,COMBINED_GUARD,2024-03,34,10.556589953645066,69.80862088769605
2024,COMBINED_GUARD,2024-04,32,-15.10074193364862,54.70787895404743
2024,COMBINED_GUARD,2024-05,31,-16.994250646911212,37.71362830713622
2024,COMBINED_GUARD,2024-06,33,-14.059900693836532,23.653727613299687
2024,COMBINED_GUARD,2024-07,30,2.960334345183192,26.61406195848288
2024,COMBINED_GUARD,2024-08,33,-4.448090160289098,22.16597179819378
2024,COMBINED_GUARD,2024-09,31,0.39664300996720314,22.562614808160983
2024,COMBINED_GUARD,2024-10,39,-0.3153550993751928,22.24725970878579
2024,COMBINED_GUARD,2024-11,30,-1.425204649803618,20.822055058982173
2024,COMBINED_GUARD,2024-12,34,5.527433443722877,26.34948850270505
2025,BASELINE,2025-01,36,54.54056365488,154.54056365488
2025,BASELINE,2025-02,32,5.3218788236384,159.8624424785184
2025,BASELINE,2025-03,31,103.93802277652713,263.80046525504554
2025,BASELINE,2025-04,36,174.29292731951796,438.0933925745635
2025,BASELINE,2025-05,28,-85.52789609040423,352.56549648415927
2025,BASELINE,2025-06,29,130.30961550481152,482.8751119889708
2025,BASELINE,2025-07,41,1.180156800252064,484.05526878922285
2025,BASELINE,2025-08,31,-191.32442082007805,292.7308479691448
2025,BASELINE,2025-09,19,150.25210188287815,442.98294985202295
2025,BASELINE,2025-10,20,138.0549880160483,581.0379378680713
2025,BASELINE,2025-11,28,-75.02279980763103,506.0151380604402
2025,BASELINE,2025-12,34,550.1632190845082,1056.1783571449484
2025,NO_DOUBLE_OPPOSE,2025-01,36,54.54056365488,154.54056365488
2025,NO_DOUBLE_OPPOSE,2025-02,32,5.3218788236384,159.8624424785184
2025,NO_DOUBLE_OPPOSE,2025-03,30,118.64190454041449,278.5043470189329
2025,NO_DOUBLE_OPPOSE,2025-04,36,184.00777976722026,462.51212678615315
2025,NO_DOUBLE_OPPOSE,2025-05,28,-90.295105543244,372.21702124290914
2025,NO_DOUBLE_OPPOSE,2025-06,28,71.80722247949546,444.0242437224046
2025,NO_DOUBLE_OPPOSE,2025-07,41,1.0852044714987983,445.1094481939034
2025,NO_DOUBLE_OPPOSE,2025-08,30,-161.03374977375353,284.0756984201499
2025,NO_DOUBLE_OPPOSE,2025-09,19,145.80961001408747,429.88530843423734
2025,NO_DOUBLE_OPPOSE,2025-10,20,133.97312723658752,563.8584356708249
2025,NO_DOUBLE_OPPOSE,2025-11,27,-46.08126124669275,517.7771744241321
2025,NO_DOUBLE_OPPOSE,2025-12,34,562.9514526809204,1080.7286271050525
2025,LONDON_CONSENSUS,2025-01,33,48.65467645890217,148.65467645890217
2025,LONDON_CONSENSUS,2025-02,25,0.24031721243707693,148.89499367133925
2025,LONDON_CONSENSUS,2025-03,24,90.24360296080988,239.13859663214913
2025,LONDON_CONSENSUS,2025-04,31,130.18166544984138,369.3202620819905
2025,LONDON_CONSENSUS,2025-05,25,-120.9135202807555,248.406741801235
2025,LONDON_CONSENSUS,2025-06,24,4.115207669905942,252.52194947114094
2025,LONDON_CONSENSUS,2025-07,35,-76.21027289186321,176.31167657927773
2025,LONDON_CONSENSUS,2025-08,28,-67.89300935931178,108.41866721996595
2025,LONDON_CONSENSUS,2025-09,18,11.838601777924723,120.25726899789068
2025,LONDON_CONSENSUS,2025-10,18,33.57719036130224,153.83445935919292
2025,LONDON_CONSENSUS,2025-11,19,32.108380413166486,185.9428397723594
2025,LONDON_CONSENSUS,2025-12,30,142.28219807579032,328.2250378481497
2025,NARROW_CONFIRM,2025-01,36,54.54056365488,154.54056365488
2025,NARROW_CONFIRM,2025-02,32,5.3218788236384,159.8624424785184
2025,NARROW_CONFIRM,2025-03,29,134.38458376892646,294.24702624744486
2025,NARROW_CONFIRM,2025-04,35,220.5906843016213,514.8377105490662
2025,NARROW_CONFIRM,2025-05,26,-117.53679325811981,397.30091729094636
2025,NARROW_CONFIRM,2025-06,28,78.19483958321024,475.4957568741566
2025,NARROW_CONFIRM,2025-07,40,26.952601050946612,502.4483579251032
2025,NARROW_CONFIRM,2025-08,27,-125.95221408279605,376.49614384230716
2025,NARROW_CONFIRM,2025-09,18,224.32850640499004,600.8246502472972
2025,NARROW_CONFIRM,2025-10,18,273.46809225011134,874.2927424974085
2025,NARROW_CONFIRM,2025-11,25,16.529019633623648,890.8217621310322
2025,NARROW_CONFIRM,2025-12,34,968.5428980703813,1859.3646602014135
2025,COMBINED_GUARD,2025-01,35,78.67509720742407,178.67509720742407
2025,COMBINED_GUARD,2025-02,28,9.971374115313836,188.6464713227379
2025,COMBINED_GUARD,2025-03,26,192.5546288610214,381.2011001837593
2025,COMBINED_GUARD,2025-04,33,146.4386801194447,527.639780303204
2025,COMBINED_GUARD,2025-05,25,-173.1981645701852,354.4416157330188
2025,COMBINED_GUARD,2025-06,24,-31.054633363830817,323.386982369188
2025,COMBINED_GUARD,2025-07,36,-21.001628292325336,302.38535407686265
2025,COMBINED_GUARD,2025-08,27,-75.47132963891934,226.9140244379433
2025,COMBINED_GUARD,2025-09,18,24.77751149344863,251.69153593139194
2025,COMBINED_GUARD,2025-10,18,89.90521373569388,341.5967496670858
