year,daily_atr_pct_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,0.8-1.2%,233,-16.85202395530283,-0.07232628306996923,33.47639484978541
2024,1.8%+,15,-10.7883300342385,-0.7192220022825667,6.666666666666667
2024,1.2-1.8%,170,-3.7956734354406603,-0.022327490796709766,31.76470588235294
2024,<0.8%,15,0.775261837750095,0.051684122516673,33.33333333333333
2025,<0.8%,3,2.9127827113186227,0.9709275704395409,66.66666666666666
2025,1.2-1.8%,109,7.809345225050493,0.07164536903716048,38.53211009174312
2026,1.2-1.8%,44,20.03942377288207,0.4554414493836834,45.45454545454545
2025,1.8%+,96,20.792001816043925,0.21658335225045755,40.625
2025,0.8-1.2%,157,39.11623778122232,0.24914801134536507,37.57961783439491
2026,1.8%+,240,42.25968560599458,0.17608202335831075,36.25
