year,rv_ratio_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,1.0-1.25,159,-26.398452911023362,-0.1660280057297067,26.41509433962264
2026,0.75-1.0,107,-13.48485165372868,-0.12602665096942692,28.037383177570092
2024,<0.75,55,-10.824279414781337,-0.19680508026875157,30.909090909090907
2025,1.0-1.25,77,-8.778443511655048,-0.11400575989162401,31.16883116883117
2024,0.75-1.0,169,-2.755593697369481,-0.016305288150115272,35.50295857988166
2024,1.25+,50,9.317560435942285,0.1863512087188457,38.0
2025,1.25+,55,16.27769568445602,0.29595810335374584,41.81818181818181
2026,1.25+,55,23.136907681563336,0.420671048755697,41.81818181818181
2026,1.0-1.25,73,25.13533347289024,0.34431963661493475,41.0958904109589
2026,<0.75,49,27.511719878151755,0.5614636709826889,48.97959183673469
2025,0.75-1.0,113,29.785406905296817,0.2635876717282904,39.823008849557525
2025,<0.75,120,33.34570845553756,0.27788090379614633,41.66666666666667
