year,technique,rv_ratio_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,Structural Portfolio MTF,1.0-1.25,45,-13.858823187716869,-0.3079738486159304,22.22222222222222
2026,M15-0591 MTF,0.75-1.0,23,-12.095691068089938,-0.5258996116560842,13.043478260869565
2024,V1 Legacy M15,1.0-1.25,40,-11.204271057483513,-0.2801067764370878,22.5
2024,Structural Portfolio MTF,0.75-1.0,52,-9.847646362527113,-0.18937781466398296,32.69230769230769
2024,Structural Portfolio MTF,1.25+,12,-7.331870729938919,-0.6109892274949099,16.666666666666664
2025,V1 Legacy M15,1.0-1.25,15,-5.600136911463154,-0.37334246076421024,20.0
2024,M15-0591 MTF,0.75-1.0,36,-5.5006092649489435,-0.15279470180413732,30.555555555555557
2024,Outcome First M15,1.0-1.25,29,-5.489093242373949,-0.18927907732323962,27.586206896551722
2024,Outcome First M15,<0.75,11,-5.459726241912115,-0.49633874926473776,18.181818181818183
2024,Structural Portfolio MTF,<0.75,14,-5.200554582650341,-0.37146818447502433,21.428571428571427
2025,Structural Frequency M15,1.0-1.25,10,-4.499492353068591,-0.44994923530685915,30.0
2024,Outcome First M15,1.25+,11,-3.7543391923073925,-0.3413035629370357,18.181818181818183
2025,M15-0591 MTF,1.25+,6,-3.311240183857969,-0.5518733639763281,33.33333333333333
2024,V1 Legacy M15,<0.75,9,-3.160940243917204,-0.3512155826574671,33.33333333333333
2026,Structural Portfolio MTF,1.25+,17,-2.4785826216979103,-0.1457989777469359,29.411764705882355
2025,V1 Legacy M15,1.25+,13,-2.2472589229177493,-0.17286607099367302,23.076923076923077
2026,Structural Frequency M15,<0.75,10,-2.1319213997464646,-0.21319213997464645,30.0
2026,V1 Legacy M15,0.75-1.0,25,-1.9331473069635159,-0.07732589227854064,32.0
2025,Outcome First M15,1.0-1.25,14,-1.8310202256101555,-0.13078715897215396,35.714285714285715
2024,M15-0591 MTF,<0.75,7,-1.3262076022423699,-0.18945822889176714,28.57142857142857
2026,V1 Legacy M15,1.0-1.25,17,-0.7623266302074101,-0.04484274295337706,29.411764705882355
2026,Structural Portfolio MTF,0.75-1.0,29,-0.5419892659447423,-0.01868928503257732,27.586206896551722
2026,Outcome First M15,1.0-1.25,12,-0.4319987696460328,-0.03599989747050273,25.0
2026,Outcome First M15,0.75-1.0,18,-0.21518284807228572,-0.011954602670682539,33.33333333333333
2024,Structural Frequency M15,1.0-1.25,15,-0.20385535692565648,-0.0135903571283771,40.0
2026,V1 Legacy M15,1.25+,11,0.9081324336017274,0.0825574939637934,36.36363636363637
2025,M15-0591 MTF,1.0-1.25,10,1.076746190854776,0.1076746190854776,30.0
2026,Structural Frequency M15,0.75-1.0,12,1.3011588353418004,0.10842990294515004,41.66666666666667
2024,V1 Legacy M15,1.25+,9,1.8812404554976216,0.2090267172775135,44.44444444444444
2026,Outcome First M15,<0.75,4,2.0031047682017302,0.5007761920504326,75.0
2025,Structural Portfolio MTF,1.0-1.25,28,2.0754597876320764,0.07412356384400273,35.714285714285715
2025,Structural Frequency M15,0.75-1.0,19,2.122344906516419,0.11170236350086415,36.84210526315789
2025,Structural Portfolio MTF,0.75-1.0,36,2.1573914360752493,0.059927539890979147,27.77777777777778
2025,Structural Portfolio MTF,<0.75,42,2.441170429823826,0.05812310547199585,35.714285714285715
2025,Structural Portfolio MTF,1.25+,16,2.5317935501919036,0.15823709688699397,31.25
2024,Structural Frequency M15,0.75-1.0,25,2.5805627853653226,0.1032225114146129,40.0
