year,trend_eff20_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,0.20-0.40,134,-22.690507739267037,-0.16933214730796298,27.611940298507463
2024,<0.20,229,-8.68958795019526,-0.03794579890914961,34.06113537117904
2024,0.60+,10,-5.586627752580567,-0.5586627752580566,10.0
2026,0.40-0.60,21,6.023827067609895,0.2868489079814236,42.857142857142854
2024,0.40-0.60,60,6.305957854810968,0.1050992975801828,36.666666666666664
2026,0.60+,12,10.704264858812929,0.892022071567744,50.0
2025,0.60+,40,11.756227823074433,0.2939056955768608,40.0
2025,0.20-0.40,105,13.90839293957836,0.13246088513884152,36.19047619047619
2026,<0.20,147,19.59190647831413,0.13327827536268116,35.374149659863946
2025,<0.20,146,22.292457203768993,0.15268806303951366,40.41095890410959
2025,0.40-0.60,74,22.67328956721357,0.30639580496234553,39.189189189189186
2026,0.20-0.40,104,25.97911097413969,0.2497991439821124,38.46153846153847
