year,rv_ratio_band,trend_eff20_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2024,1.0-1.25,<0.20,83,-14.97676597212502,-0.18044296351957856,26.506024096385545
2026,0.75-1.0,0.20-0.40,35,-12.74952659700212,-0.36427218848577486,22.857142857142858
2024,0.75-1.0,0.20-0.40,52,-11.339322317569328,-0.21806389072248708,28.846153846153843
2024,<0.75,0.20-0.40,14,-10.621457801447821,-0.758675557246273,7.142857142857142
2025,1.0-1.25,0.40-0.60,11,-6.742404142736093,-0.6129458311578266,18.181818181818183
2026,1.0-1.25,<0.20,31,-4.530094426169418,-0.1461320782635296,25.806451612903224
2024,1.0-1.25,0.20-0.40,46,-4.335296090881499,-0.09424556719307607,28.26086956521739
2024,1.0-1.25,0.60+,4,-4.263504245942159,-1.0658760614855398,0.0
2026,0.75-1.0,0.40-0.60,5,-2.987396790307966,-0.5974793580615932,20.0
2024,1.0-1.25,0.40-0.60,26,-2.8228866020746826,-0.10857256161825703,26.923076923076923
2025,1.25+,0.20-0.40,36,-2.746947867958254,-0.07630410744328484,30.555555555555557
2025,1.0-1.25,<0.20,46,-2.736384197548991,-0.05948661299019546,34.78260869565217
2026,1.25+,0.60+,2,-2.016076788878186,-1.008038394439093,0.0
2024,0.75-1.0,0.60+,6,-1.3231235066384075,-0.22052058443973457,16.666666666666664
2026,0.75-1.0,<0.20,65,-0.703797500302085,-0.010827653850801307,30.76923076923077
2024,<0.75,<0.20,41,-0.20282161333351434,-0.004946868617890594,39.02439024390244
2025,0.75-1.0,0.60+,19,0.272490973253928,0.014341630171259369,31.57894736842105
2025,1.0-1.25,0.20-0.40,20,0.7003448286300357,0.03501724143150178,30.0
2026,<0.75,0.40-0.60,9,1.2441554028609925,0.13823948920677695,33.33333333333333
2026,1.25+,<0.20,24,1.9850643204107403,0.08271101335044752,33.33333333333333
2024,1.25+,<0.20,16,2.3817276222582144,0.1488579763911384,37.5
2025,1.25+,0.60+,5,2.911585425095778,0.5823170850191556,40.0
2026,0.75-1.0,0.60+,2,2.95586923388349,1.477934616941745,50.0
2024,1.25+,0.40-0.60,12,3.330264343052457,0.27752202858770475,41.66666666666667
2026,<0.75,0.20-0.40,13,3.4268303909158666,0.263602337762759,38.46153846153847
2024,1.25+,0.20-0.40,22,3.6055684706316127,0.16388947593780057,36.36363636363637
2025,<0.75,0.40-0.60,25,4.103302975391003,0.16413211901564012,32.0
2024,0.75-1.0,<0.20,89,4.108272013005062,0.046160359696686096,38.20224719101123
2025,0.75-1.0,0.20-0.40,19,5.639309190029696,0.29680574684366823,36.84210526315789
2024,0.75-1.0,0.40-0.60,22,5.798580113833193,0.2635718233560542,45.45454545454545
2025,1.25+,<0.20,5,6.051629589691688,1.2103259179383374,60.0
2026,1.0-1.25,0.40-0.60,7,7.767068455056869,1.109581207865267,71.42857142857143
2025,<0.75,0.60+,16,8.572151424724728,0.5357594640452955,50.0
2025,0.75-1.0,<0.20,46,8.622644545081346,0.18744879445829013,43.47826086956522
2026,1.0-1.25,0.60+,8,9.764472413807624,1.220559051725953,62.5
2025,1.25+,0.40-0.60,9,10.06142853762681,1.1179365041807567,77.77777777777779
2025,<0.75,0.20-0.40,30,10.315686788876882,0.3438562262958961,46.666666666666664
2025,<0.75,<0.20,49,10.354567266544949,0.21131769931724387,40.816326530612244
2026,1.0-1.25,0.20-0.40,27,12.133887030195162,0.44940322334056154,44.44444444444444
2025,0.75-1.0,0.40-0.60,29,15.250962196931846,0.5258952481700636,41.37931034482759
2026,<0.75,<0.20,27,22.840734084374894,0.8459531142361072,59.25925925925925
2026,1.25+,0.20-0.40,29,23.16792015003078,0.7988937982769235,51.724137931034484
