signal_i,signal_time,direction,playbook,session,mode,entry_model,entry,stop,risk,target,target_r,external_liquidity,external_liquidity_type,external_runway_r,trend_vote,day_open_aligned,d1_range_ratio20,h4_range_ratio12,route,quality_score,fresh_internal,fresh_external,trend_aligned,m15_aligned,clean_displacement,fvg_entry,entry_time,exit_time,exit_price,gross_r,cost_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
37826,2026-01-05 07:40:00+00:00,1,SESSION_EXPANSION_RETEST,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4423.13,4416.067934216424,7.062065783576145,4444.3161973507285,3.0,4527.545,PWH,14.785333810233281,3,True,0.48528155339805484,1.7331955899537808,A_STRUCTURAL_ASYMMETRIC,3,False,False,True,True,True,False,2026-01-05 07:50:00+00:00,2026-01-05 11:30:00+00:00,4416.067934216424,-1.0,0.0626322401341351,-1.062632240134135,stop,100.0,5.0,-5.313161200670676,94.68683879932932
38436,2026-01-07 12:30:00+00:00,1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,FVG50,4448.37,4438.664499815478,9.705500184521952,4467.781000369044,2.0,4474.648,H1_H,2.7075369121014115,1,False,1.1083250667684013,0.9191201463185757,A_STRUCTURAL_ASYMMETRIC,4,True,True,False,False,True,True,2026-01-07 12:55:00+00:00,2026-01-07 13:10:00+00:00,4438.664499815478,-1.0,0.04583349559968203,-1.045833495599682,stop,94.68683879932932,4.734341939966466,-4.951333380439309,89.73550541889001
38453,2026-01-07 13:55:00+00:00,1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4450.6665,4431.67712552113,18.98937447887056,4488.645248957741,2.0,4495.595,ASIA_H,2.3659810411339164,1,False,1.1083250667684013,0.9191201463185757,A_STRUCTURAL_ASYMMETRIC,2,False,True,False,False,True,False,2026-01-07 14:05:00+00:00,2026-01-07 15:15:00+00:00,4431.67712552113,-1.0,0.02343766775968449,-1.0234376677596846,stop,89.73550541889001,4.486775270944501,-4.5919348190572675,85.14357059983274
38688,2026-01-08 10:30:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4427.725,4422.339277620234,5.385722379766776,4438.496444759534,2.0,4439.448,H1_H,2.1766810788542004,0,False,1.0458252146929308,0.8337911859214465,A_STRUCTURAL_ASYMMETRIC,3,True,True,False,False,True,False,2026-01-08 11:15:00+00:00,2026-01-08 11:50:00+00:00,4422.339277620234,-1.0,0.08221227697577199,-1.082212276975772,stop,85.14357059983274,4.257178529991637,-4.6071708704346195,80.53639972939813
40322,2026-01-16 08:40:00+00:00,-1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,FVG50,4605.57,4610.750655249251,5.180655249251686,4595.208689501496,2.0,4590.975,ASIA_L,2.817211201634678,-2,True,0.6325966850828785,0.759111419645954,A_STRUCTURAL_ASYMMETRIC,5,True,False,True,True,True,True,2026-01-16 08:55:00+00:00,2026-01-16 10:30:00+00:00,4610.750655249251,-1.0,0.0888993723460994,-1.0888993723460993,stop,80.53639972939813,4.026819986469906,-4.38480175581781,76.15159797358032
41451,2026-01-22 13:15:00+00:00,1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,FVG50,4825.125,4815.372348124739,9.752651875261108,4864.135607501044,4.0,4888.075,PDH,6.45465467291833,2,True,1.8297112687220405,0.583857492677789,A_STRUCTURAL_ASYMMETRIC,4,True,False,True,False,True,True,2026-01-22 13:35:00+00:00,2026-01-22 13:45:00+00:00,4815.372348124739,-1.0,0.04947500497007966,-1.0494750049700796,stop,76.15159797358032,3.807579898679016,-3.995959933090136,72.15563804049019
42550,2026-01-28 12:50:00+00:00,1,SESSION_EXPANSION_RETEST,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,5271.005,5257.227444036745,13.777555963255509,5298.560111926511,2.0,5311.245,H1_H,2.9206921828021697,2,True,2.3760138816028378,1.153116102499207,A_STRUCTURAL_ASYMMETRIC,2,False,False,True,False,True,False,2026-01-28 13:15:00+00:00,2026-01-28 13:50:00+00:00,5257.227444036745,-1.0,0.038257910285813206,-1.0382579102858132,stop,72.15563804049019,3.6077819020245094,-3.7458080983629434,68.40982994212725
44728,2026-02-09 10:25:00+00:00,-1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4998.43,5015.987512924687,17.557512924686307,4963.314974150628,2.0,4962.605,PDL,2.04043705698373,-2,True,0.5443320296085659,0.6252391237272422,A_STRUCTURAL_ASYMMETRIC,3,True,False,True,False,True,False,2026-02-09 10:40:00+00:00,2026-02-09 11:55:00+00:00,5015.987512924687,-1.0,0.02846889546054146,-1.0284688954605414,stop,68.40982994212725,3.4204914971063625,-3.5178691119611543,64.89196083016608
44764,2026-02-09 13:25:00+00:00,-1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,5010.215,5025.510606149984,15.295606149983541,4979.623787700033,2.0,4967.835,ASIA_L,2.770730338139997,-3,True,0.5443320296085659,0.7306925759840521,A_STRUCTURAL_ASYMMETRIC,4,True,False,True,True,True,False,2026-02-09 13:35:00+00:00,2026-02-09 14:35:00+00:00,5025.510606149984,-1.0,0.03275591010170847,-1.0327559101017085,stop,64.89196083016608,3.244598041508304,-3.35087780327213,61.54108302689396
45037,2026-02-10 13:10:00+00:00,1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,5038.0115000000005,5018.645319133003,19.366180866997638,5076.743861733996,2.0,5086.265,PDH,2.491637371942019,2,True,0.7656204544719959,0.6891378275655307,A_STRUCTURAL_ASYMMETRIC,2,False,False,True,False,True,False,2026-02-10 13:25:00+00:00,2026-02-10 14:35:00+00:00,5076.743861733996,2.0,0.026014481299125907,1.9739855187008741,target,61.54108302689396,3.077054151344698,6.074060335012842,67.6151433619068
45330,2026-02-11 14:35:00+00:00,-1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,5057.355,5084.386579249471,27.03157924947118,5003.291841501057,2.0,4998.685,PDL,2.1704244305721403,0,False,0.5158871254484891,1.884086888277024,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,True,True,False,2026-02-11 14:55:00+00:00,2026-02-11 17:15:00+00:00,5084.386579249471,-1.0,0.01870906229090902,-1.018709062290909,stop,67.6151433619068,3.3807571680953403,-3.444007964543673,64.17113539736313
