signal_i,entry_i,signal_time,session,style,direction,entry,stop,risk,target_r,range_ratio,excursion_atr,body_frac,entry_time,exit_time,gross_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
17992,17993,2026-01-02 13:40:00+00:00,NEW_YORK,REVERSAL,1,4372.325,4367.0445967261985,5.280403273801312,2.0,1.4215653167778872,0.6467463561960377,0.6369565217391433,2026-01-02 13:45:00+00:00,2026-01-02 13:50:00+00:00,-1.0,-1.08280286132109,stop,100.0,5.0,-5.41401430660545,94.58598569339455
18192,18193,2026-01-05 07:20:00+00:00,LONDON,REVERSAL,-1,4420.565,4423.16737754655,2.6023775465500876,2.0,1.2782912815388412,0.2957923766026052,0.7530864197529663,2026-01-05 07:25:00+00:00,2026-01-05 07:35:00+00:00,-1.0,-1.1698663979736623,stop,94.58598569339455,4.729299284669728,-5.532648319095992,89.05333737429855
18260,18261,2026-01-05 13:00:00+00:00,NEW_YORK,REVERSAL,1,4415.185,4406.772166600663,8.412833399337615,2.0,1.3952053168763472,0.5865839645118132,0.6800432536345724,2026-01-05 13:05:00+00:00,2026-01-05 13:20:00+00:00,-1.0,-1.0524815456389238,stop,89.05333737429855,4.452666868714927,-4.686349708200313,84.36698766609824
18563,18564,2026-01-06 15:15:00+00:00,NEW_YORK,REVERSAL,-1,4474.075,4483.974548589863,9.899548589863116,2.0,1.5850937574174855,1.2030321573832303,0.6391104122205371,2026-01-06 15:20:00+00:00,2026-01-06 16:25:00+00:00,-1.0,-1.0451947375113784,stop,84.36698766609824,4.218349383304912,-4.408996576414663,79.95799108968357
18740,18741,2026-01-07 07:00:00+00:00,LONDON,REVERSAL,1,4447.485,4440.527227605397,6.957772394603126,2.0,1.2838109633457997,0.29441864536861984,0.5956381260097151,2026-01-07 07:05:00+00:00,2026-01-07 07:45:00+00:00,2.0,1.9360788949714747,target,79.95799108968357,3.997899554484179,7.74024895165268,87.69824004133625
18816,18817,2026-01-07 13:20:00+00:00,NEW_YORK,REVERSAL,1,4441.995,4431.293308686596,10.701691313403899,2.0,1.5407733271590853,1.4035205891403673,0.750902527075791,2026-01-07 13:25:00+00:00,2026-01-07 15:10:00+00:00,-1.0,-1.0415074110242406,stop,87.69824004133625,4.384912002066812,-4.566918346841725,83.13132169449452
19368,19369,2026-01-09 13:20:00+00:00,NEW_YORK,REVERSAL,1,4472.015,4461.030070144618,10.984929855382688,2.0,0.6269969900439958,0.4834040674034803,0.725957446808489,2026-01-09 13:25:00+00:00,2026-01-09 13:30:00+00:00,-1.0,-1.0407104556776818,stop,83.13132169449452,4.156566084724726,-4.325781784088267,78.80553991040625
20219,20220,2026-01-14 15:15:00+00:00,NEW_YORK,REVERSAL,1,4621.705,4612.748873967248,8.956126032751854,2.0,0.8603114676734265,0.8912713507862505,0.6995515695066963,2026-01-14 15:20:00+00:00,2026-01-14 15:30:00+00:00,-1.0,-1.0516038405790493,stop,78.80553991040625,3.9402769955203127,-4.143610421434438,74.66192948897182
20447,20448,2026-01-15 11:15:00+00:00,LONDON,REVERSAL,-1,4617.365,4619.38070198227,2.015701982270002,2.0,0.7999137559292937,0.32283170693979013,0.785714285713679,2026-01-15 11:20:00+00:00,2026-01-15 11:20:00+00:00,-1.0,-1.2290698248359169,stop,74.66192948897182,3.7330964744485913,-4.588236229946109,70.07369325902572
20482,20483,2026-01-15 14:10:00+00:00,NEW_YORK,REVERSAL,1,4599.635,4594.817720256888,4.817279743112522,2.0,1.183105238319971,0.3242970223247901,0.9822784810127311,2026-01-15 14:15:00+00:00,2026-01-15 14:30:00+00:00,2.0,1.9045180009199942,target,70.07369325902572,3.503684662951286,6.672830510138027,76.74652376916374
20752,20753,2026-01-16 13:40:00+00:00,NEW_YORK,REVERSAL,1,4599.325,4589.6740586728,9.65094132719969,2.0,0.8850967007963731,0.8915007750690297,0.7492739593417073,2026-01-16 13:45:00+00:00,2026-01-16 15:05:00+00:00,2.0,1.9523432498026123,target,76.74652376916374,3.8373261884581873,7.4917778813271285,84.23830165049087
21284,21285,2026-01-20 14:30:00+00:00,NEW_YORK,REVERSAL,-1,4730.535,4752.01149501983,21.47649501983051,2.0,1.2302973100519208,1.8427617316330793,0.9710500490677064,2026-01-20 14:35:00+00:00,2026-01-20 16:55:00+00:00,-1.0,-1.0220265690264265,stop,84.23830165049087,4.211915082524544,-4.304689120823218,79.93361252966766
21551,21552,2026-01-21 13:45:00+00:00,NEW_YORK,REVERSAL,-1,4873.635,4878.498434616765,4.863434616764607,2.0,1.922811556705516,0.13089337075510918,0.7072243346009018,2026-01-21 13:50:00+00:00,2026-01-21 13:55:00+00:00,-1.0,-1.1002097362057717,stop,79.93361252966766,3.996680626483383,-4.397186937762001,75.53642559190565
21777,21778,2026-01-22 09:35:00+00:00,LONDON,REVERSAL,-1,4820.395,4826.660756088172,6.265756088171656,2.0,1.0114374034003153,0.9528768272276127,0.6178861788617633,2026-01-22 09:40:00+00:00,2026-01-22 10:15:00+00:00,-1.0,-1.0769323754734057,stop,75.53642559190565,3.776821279595283,-4.067381112373056,71.4690444795326
21841,21842,2026-01-22 14:55:00+00:00,NEW_YORK,REVERSAL,-1,4834.498,4845.926887202153,11.428887202153419,2.0,1.0355117635230535,0.7452702795899468,0.9351403678605927,2026-01-22 15:00:00+00:00,2026-01-22 15:25:00+00:00,-1.0,-1.042300688724,stop,71.4690444795326,3.57345222397663,-3.724611714173151,67.74443276535945
22304,22305,2026-01-26 07:30:00+00:00,LONDON,REVERSAL,-1,5092.745,5096.839301726751,4.094301726750928,2.0,1.344389629474132,0.3373452560675403,0.5714285714285134,2026-01-26 07:35:00+00:00,2026-01-26 08:15:00+00:00,-1.0,-1.1243861674073883,stop,67.74443276535945,3.3872216382679725,-3.8085451560115007,63.93588760934795
22386,22387,2026-01-26 14:20:00+00:00,NEW_YORK,REVERSAL,1,5077.505,5069.844066026023,7.66093397397708,2.0,0.957234937666459,0.3454892559539791,0.7349551856593454,2026-01-26 14:25:00+00:00,2026-01-26 14:50:00+00:00,2.0,1.9337221151200696,target,63.93588760934795,3.1967943804673977,6.181711991001369,70.11759960034932
22590,22591,2026-01-27 08:20:00+00:00,LONDON,REVERSAL,-1,5083.615,5087.633826042722,4.018826042722139,2.0,1.4312587552531482,0.24348584197641487,0.5787139689579724,2026-01-27 08:25:00+00:00,2026-01-27 08:25:00+00:00,2.0,1.8735049751853248,target,70.11759960034932,3.5058799800174665,6.56828358496535,76.68588318531468
22673,22674,2026-01-27 15:15:00+00:00,NEW_YORK,REVERSAL,1,5070.965,5053.877266922077,17.087733077923076,2.0,1.3036782585202018,0.9022180810699607,0.7394404827207967,2026-01-27 15:20:00+00:00,2026-01-27 20:00:00+00:00,2.0,1.97032394538892,target,76.68588318531468,3.8342941592657342,7.554801595666154,84.24068478098083
23128,23129,2026-01-29 07:10:00+00:00,LONDON,REVERSAL,-1,5561.729,5573.461991225734,11.732991225733713,2.0,2.4011807084250663,0.5650868710141558,0.6377436450192216,2026-01-29 07:15:00+00:00,2026-01-29 07:25:00+00:00,2.0,1.952597518458877,target,84.24068478098083,4.212034239049042,8.224407602830984,92.46509238381181
