candidate,trades,trades_per_30d,min_month_trades,end_rm,lowest_rm,max_drawdown_pct,params
M15-0591,759,31.149110807113544,11,157.5731057173761,6.401529817917707,95.01771365390012,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0593,727,29.835841313269494,12,152.33988925503587,8.304873374326542,92.70576251155099,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0597,763,31.31326949384405,11,129.1653476018868,6.012005619844265,95.32087885795882,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0581,567,23.269493844049247,11,119.3481689421911,11.108788377980886,90.82564565458297,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0599,732,30.041039671682626,12,117.85450649666922,7.799533364477412,93.14960673145802,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0579,581,23.84404924760602,10,115.26158150784181,6.062043774145914,95.64253116345257,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0585,582,23.885088919288645,10,108.1463105385151,5.687824684691262,95.91152427552714,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0587,569,23.351573187414502,11,105.6845566758811,10.423026145533449,91.39199236163226,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0615,727,29.835841313269494,10,104.95688196357852,7.2450872678252995,93.7403294631526,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0617,699,28.68673050615595,11,101.78883766922449,10.797076725275357,90.51684014128026,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
