candidate,trades,trades_per_30d,min_month_trades,end_rm,lowest_rm,max_drawdown_pct,passes_monthly_frequency,discovery_end_rm,params
M15-0605,190,22.044960116026107,13,648.2434987700549,56.66426112385593,58.564701745867524,True,66.21999918707789,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0611,190,22.044960116026107,13,648.2434987700549,56.66426112385593,58.564701745867524,True,58.63878197036577,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0647,228,26.453952139231326,19,472.30668630266484,37.62491203089457,72.70901549790064,True,53.803080455514554,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0581,204,23.669325598259608,15,421.0941747989192,45.34755736594158,69.68469741645937,True,119.3481689421911,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0587,204,23.669325598259608,15,421.0941747989192,45.34755736594158,69.68469741645937,True,105.6845566758811,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0599,255,29.58665699782451,21,395.62717589567563,29.655314919450507,77.30862440694699,True,117.85450649666922,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0623,241,27.96229151559101,19,361.4172402107412,38.46081297459358,70.56208485615724,True,78.74676349733181,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0329,291,33.76359680928209,24,352.0592676032458,34.370427215471,69.1523856197974,True,52.59820191830452,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 12, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0311,305,35.38796229151559,25,337.0330432154419,31.583115609031793,73.70391983871734,True,81.8700324388784,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 12, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0641,226,26.221899927483683,18,329.37347430153574,31.4000666149131,77.22416651369626,True,69.54638869413554,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 20, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
