signal_i,signal_time,entry_i,entry_time,direction,entry,stop,risk,target,target_r,impulse_i,impulse_time,broken_level,risk_atr,exit_time,gross_r,net_r,reason,pnl_rm,balance_rm
5976,2026-01-02 08:15:00+00:00,5977,2026-01-02 08:15:00+00:00,1,4384.498,4374.355111388867,10.142888611132548,4414.926665833397,3.0,5975,2026-01-02 07:45:00+00:00,4381.495,1.6017434864856877,2026-01-02 13:30:00+00:00,-1.0,-1.0432273109574297,stop,-5.216136554787148,94.78386344521286
6009,2026-01-02 16:30:00+00:00,6010,2026-01-02 16:30:00+00:00,-1,4321.105,4338.499979020557,17.394979020557003,4268.920062938329,3.0,6008,2026-01-02 16:00:00+00:00,4330.065,1.4857143430086956,2026-01-04 23:15:00+00:00,-1.0,-1.0248411049814627,stop,-4.856919967380201,89.92694347783265
6036,2026-01-05 00:15:00+00:00,6037,2026-01-05 00:15:00+00:00,1,4377.625,4359.882088653809,17.74291134619125,4430.853734038574,3.0,6035,2026-01-04 23:45:00+00:00,4372.025,1.7554039445896874,2026-01-05 09:00:00+00:00,3.0,2.9753274707031676,target,13.378105264298327,103.30504874213098
6189,2026-01-06 15:30:00+00:00,6190,2026-01-06 15:30:00+00:00,1,4480.579,4463.884580014695,16.694419985305103,4530.662259955915,3.0,6186,2026-01-06 14:30:00+00:00,4472.998,2.0024893821220764,2026-01-06 15:45:00+00:00,-1.0,-1.0268387820837377,stop,-5.303881521673547,98.00116722045743
6227,2026-01-07 02:00:00+00:00,6228,2026-01-07 02:00:00+00:00,-1,4465.255,4478.500203791301,13.24520379130081,4425.519388626098,3.0,6226,2026-01-07 01:30:00+00:00,4468.945,1.6995487718723123,2026-01-07 03:30:00+00:00,-1.0,-1.0337122408258654,stop,-5.06525030855047,92.93591691190696
6245,2026-01-07 06:30:00+00:00,6246,2026-01-07 06:30:00+00:00,-1,4454.725,4469.902278497453,15.17727849745279,4409.193164507642,3.0,6242,2026-01-07 05:30:00+00:00,4459.308,2.029774952663222,2026-01-07 08:45:00+00:00,-1.0,-1.02935127665179,stop,-4.783185236003806,88.15273167590315
6501,2026-01-12 01:30:00+00:00,6502,2026-01-12 01:30:00+00:00,1,4582.325,4560.545551210942,21.779448789057824,4647.663346367173,3.0,6498,2026-01-12 00:30:00+00:00,4565.705,2.0066307993396477,2026-01-12 11:45:00+00:00,0.43710931769693656,0.41606964380811806,time_exit,1.8338837834552817,89.98661545935843
6580,2026-01-12 21:15:00+00:00,6581,2026-01-12 21:15:00+00:00,-1,4592.288,4605.651293228545,13.363293228545444,4552.198120314363,3.0,6578,2026-01-12 20:30:00+00:00,4599.505,1.5326441418859482,2026-01-12 23:15:00+00:00,-1.0,-1.034364942244853,stop,-4.653950015121455,85.33266544423698
6644,2026-01-13 14:15:00+00:00,6645,2026-01-13 14:15:00+00:00,1,4618.325,4598.923822214882,19.401177785117397,4676.528533355352,3.0,6642,2026-01-13 13:30:00+00:00,4606.225,2.372802737206953,2026-01-13 16:30:00+00:00,-1.0,-1.023804353793112,stop,-4.368197720129044,80.96446772410793
6681,2026-01-14 00:30:00+00:00,6682,2026-01-14 00:30:00+00:00,1,4609.485,4595.722300672016,13.762699327983682,4650.773097983951,3.0,6680,2026-01-14 00:00:00+00:00,4601.735,1.6148675120511895,2026-01-14 10:45:00+00:00,1.8993367054709893,1.8658441115390159,time_exit,7.553353767345874,88.5178214914538
6741,2026-01-14 15:30:00+00:00,6742,2026-01-14 15:30:00+00:00,-1,4615.135,4635.929290602496,20.794290602495494,4552.752128192514,3.0,6738,2026-01-14 14:30:00+00:00,4623.645,2.396367417817316,2026-01-14 19:00:00+00:00,-1.0,-1.022194241141586,stop,-4.52412036834815,83.99370112310565
6779,2026-01-15 02:00:00+00:00,6780,2026-01-15 02:00:00+00:00,-1,4599.748,4610.966832961378,11.218832961378212,4566.091501115865,3.0,6777,2026-01-15 01:15:00+00:00,4602.575,1.233027397951608,2026-01-15 02:15:00+00:00,-1.0,-1.041000236083691,stop,-4.371873134934798,79.62182798817085
6827,2026-01-15 14:00:00+00:00,6828,2026-01-15 14:00:00+00:00,-1,4588.195,4605.954816873127,17.75981687312742,4534.915549380617,3.0,6826,2026-01-15 13:30:00+00:00,4598.985,2.4786417798765683,2026-01-15 14:30:00+00:00,-1.0,-1.0258346976929837,stop,-4.0839416922004,75.53788629597045
6955,2026-01-19 00:00:00+00:00,6956,2026-01-19 00:00:00+00:00,1,4672.375,4651.682709466431,20.692290533568666,4734.451871600706,3.0,6953,2026-01-18 23:15:00+00:00,4661.448,1.4672863877531934,2026-01-19 10:15:00+00:00,-0.11115250852818544,-0.13373277818185236,time_exit,-0.5050945696172501,75.0327917263532
7041,2026-01-20 01:00:00+00:00,7042,2026-01-20 01:00:00+00:00,-1,4660.115,4668.4275384518605,8.312538451860746,4635.1773846444175,3.0,7039,2026-01-20 00:15:00+00:00,4663.798,1.6284767285926907,2026-01-20 01:15:00+00:00,-1.0,-1.056061274507029,stop,-3.961961283017651,71.07083044333554
7065,2026-01-20 07:00:00+00:00,7066,2026-01-20 07:00:00+00:00,1,4712.245,4703.865451600229,8.37954839977101,4737.383645199313,3.0,7061,2026-01-20 05:45:00+00:00,4706.035,1.2121605059452294,2026-01-20 14:00:00+00:00,3.0,2.9437649289056105,target,10.460790906364418,81.53162134969996
7130,2026-01-21 00:15:00+00:00,7131,2026-01-21 00:15:00+00:00,1,4776.445,4757.521033022679,18.92396697732056,4833.216900931961,3.0,7128,2026-01-20 23:30:00+00:00,4766.145,2.5402236266975384,2026-01-21 01:45:00+00:00,3.0,2.9747598111657862,target,12.126849526513691,93.65847087621366
7149,2026-01-21 05:00:00+00:00,7150,2026-01-21 05:00:00+00:00,1,4865.695,4848.134175476963,17.5608245230369,4918.37747356911,3.0,7148,2026-01-21 04:30:00+00:00,4853.975,1.4524836803506298,2026-01-21 07:00:00+00:00,-1.0,-1.0277076682454005,stop,-4.812676435781165,88.84579444043248
